RISM_ID,ID,240$m,500
850778744,IT\ICCU\MSM\0258167,A,
850721390,IT\ICCU\MSM\0123675,A,
850721949,IT\ICCU\MSM\0123776,A,
850720298,IT\ICCU\MSM\0123716,A,
850721249,IT\ICCU\MSM\0122547,A,
850721389,IT\ICCU\MSM\0123674,A,
850721391,IT\ICCU\MSM\0123676,A,
850721392,IT\ICCU\MSM\0123677,A,
850721950,IT\ICCU\MSM\0123777,A,
850721952,IT\ICCU\MSM\0123779,A,
850721974,IT\ICCU\MSM\0124215,A,
850722185,IT\ICCU\MSM\0124216,A,
850722381,IT\ICCU\MSM\0123767,A,
850722382,IT\ICCU\MSM\0123768,A,
850722383,IT\ICCU\MSM\0123769,A,
850722384,IT\ICCU\MSM\0123770,A,
850722385,IT\ICCU\MSM\0123771,A,
850722386,IT\ICCU\MSM\0123772,A,
850722388,IT\ICCU\MSM\0123774,A,
850722946,IT\ICCU\MSM\0124270,A,
850725812,IT\ICCU\MSM\0129112,A,
850730964,IT\ICCU\MSM\0125627,A,
850778669,IT\ICCU\MSM\0258229,A,
850783762,IT\ICCU\MSM\0258897,A,
850633851,IT\ICCU\MSM\0036714,"A (2), orch","A1, A2, fl, ob, cl, cor1, cor2, org, archi"
850742571,IT\ICCU\MSM\0137316,"A (2), pf","A1, A2, pf"
850742857,IT\ICCU\MSM\0137313,"A (2), pf","A1, A2, pf"
850742858,IT\ICCU\MSM\0137314,"A (2), pf","A1, A2, pf"
850742859,IT\ICCU\MSM\0137315,"A (2), pf","A1, A2, pf"
850803464,IT\ICCU\TO0\1889037,a-fl,fl-a
850812558,IT\ICCU\MIL\0928248,"a-saxofono, pf","Sax-a, pf"
850778726,IT\ICCU\MSM\0258243,"A, b",
850782398,IT\ICCU\MSM\0258039,"A, b",
850782560,IT\ICCU\MSM\0258041,"A, b",
850782564,IT\ICCU\MSM\0258045,"A, b",
850778741,IT\ICCU\MSM\0258245,"A, b;B, b","A/B, b"
850738544,IT\ICCU\MSM\0145047,"A, bc",
850738546,IT\ICCU\MSM\0145049,"A, bc",
850738548,IT\ICCU\MSM\0145051,"A, bc",
850738549,IT\ICCU\MSM\0145052,"A, bc",
850738550,IT\ICCU\MSM\0145053,"A, bc",
850738551,IT\ICCU\MSM\0145054,"A, bc",
850738552,IT\ICCU\MSM\0145055,"A, bc",
850738553,IT\ICCU\MSM\0145056,"A, bc",
850738554,IT\ICCU\MSM\0145057,"A, bc",
850743467,IT\ICCU\MSM\0145074,"A, bc",
850743468,IT\ICCU\MSM\0145075,"A, bc",
850743469,IT\ICCU\MSM\0145076,"A, bc",
850743471,IT\ICCU\MSM\0145078,"A, bc",
850743631,IT\ICCU\MSM\0145058,"A, bc",
850743632,IT\ICCU\MSM\0145059,"A, bc",
850743633,IT\ICCU\MSM\0145060,"A, bc",
850743782,IT\ICCU\MSM\0145064,"A, bc",
850743783,IT\ICCU\MSM\0145065,"A, bc",
850743785,IT\ICCU\MSM\0145067,"A, bc",
850743787,IT\ICCU\MSM\0145069,"A, bc",
850743788,IT\ICCU\MSM\0145070,"A, bc",
850743789,IT\ICCU\MSM\0145071,"A, bc",
850743790,IT\ICCU\MSM\0145072,"A, bc",
850657587,IT\ICCU\MSM\0062149,"A, bc",
850657735,IT\ICCU\MSM\0062156,"A, bc",
850657903,IT\ICCU\MSM\0062137,"A, bc",
850657906,IT\ICCU\MSM\0062140,"A, bc",
850657912,IT\ICCU\MSM\0062299,"A, bc",
850657915,IT\ICCU\MSM\0062302,"A, bc",
850658070,IT\ICCU\MSM\0062131,"A, bc",
850658071,IT\ICCU\MSM\0062132,"A, bc",
850658075,IT\ICCU\MSM\0062288,"A, bc",
850658078,IT\ICCU\MSM\0062291,"A, bc",
850658240,IT\ICCU\MSM\0062296,"A, bc",
850660083,IT\ICCU\MSM\0062159,"A, bc",
850660247,IT\ICCU\MSM\0062165,"A, bc",
850660251,IT\ICCU\MSM\0062169,"A, bc",
850698622,IT\ICCU\MSM\0106457,"A, bc",
850778763,IT\ICCU\MSM\0258251,"A, bc",
850778764,IT\ICCU\MSM\0258252,"A, bc",
850782266,IT\ICCU\MSM\0258078,"A, bc",
850724122,IT\ICCU\MSM\0128400,"A, bc",
850778742,IT\ICCU\MSM\0258246,"A, bc;B, bc","A/B, bc"
850794085,IT\ICCU\MSM\0281893,"A, cemb",
850615155,IT\ICCU\MSM\0017970,"A, cemb",
850620843,IT\ICCU\MSM\0017950,"A, cemb",
850658241,IT\ICCU\MSM\0062297,"A, Coro, bc","A, Coro (A1, A2), bc"
850784369,IT\ICCU\LO1\1169771,"A, Coro, orch","A, Coro, orch"
850626775,IT\ICCU\MSM\0030387,"A, Coro, orch","A, Coro (S, A, T, B), fl1, fl2, ob1, ob2, cor1, cor2, vl1, vl2, vla, arp, b"
850785846,IT\ICCU\URB\0666205,"A, Coro, orch","A, Coro, fl, ob, cl, cor, tr, fag, arp, vl1, vcl2, vla, vlc, cb"
850784035,IT\ICCU\URB\0650064,"A, Coro, orch","A, Coro, vl, vla, fl, cl, cor, fag, bc"
850783627,IT\ICCU\URB\0648893,"A, Coro, orch","A, vl, vla, fl, ob, cl, cor, tr, fag, trb, bc, Coro"
