1,Ort (260$a),Jahr (260$c),"Quellenart, Umfang (300$a)",Format (300$c),Quellentyp (593$a),Zusätzl. Bemerkung (500$a),Lit. Fest (657$a)
850815740,,,vocal score,344 x 267 mm,,[Spartito],
850802381,,1912,score,330x240 mm,Manuscript copy,,
850810305,[s.l.],[1850-1880],1 vocal score,325x250 mm,,[Spartito],
850795059,s.l.,1979,,42 cm.,,Partitura,
850795083,s.l.,1950,,39 cm.,,Partitura,
850811468,,1860-1890,score,325x250 mm,Possible autograph manuscript,,
850789524,Romae,1670,10 parts,23 cm.,,,
850811179,,1860-1890,,325x250 mm,Possible autograph manuscript,,
850811441,,1860-1890,,325x250 mm,Possible autograph manuscript,,
850810941,,,part,330 x 238 mm,,,
850808259,,,,330 x 240 mm,,,
850811440,,1860-1890,,325x250 mm,Possible autograph manuscript,,
850811041,[Varsavia],[1890?],1 vocal score,330x240 mm,,[Spartito],
850793061,,[1940-1960],12 parts,315-325x235 mm,Manuscript copy,,
850795060,Upsala,1953,,36 cm.,,Partitura,
850802082,,circa 1862,score,245x335 mm,Manuscript copy,,
850809162,,,part,334 x 246 mm,,,
850809289,,,part,334 x 246 mm,,,
850794886,s.l.,1960,1 score,34 cm,,Partitura,
850794644,Cambridge,1946,,30 cm,,Partitura,
850815019,,,,28 x 43 cm,Autograph manuscript,[Fotocopia di riproduzione eliografica del manoscritto autografo],
850808944,,,part,300 x 230 mm,,,
850802508,,[1800-1849],4 parts,230x305 mm,Manuscript copy,,
850794805,s.l.,1960,,34 cm,,Partitura,
850795024,Den Haag,1972,1 score,35 cm.,,Partitura,
850795079,Los Angeles,1950,,44x28 cm.,,Partitura,
850813748,s.l.,[after 1850],1 vocal score,340 mm,,[Spartito],
850793055,,[1940-1960],9 parts,315-325x235 mm,Manuscript copy,,
850802103,,1841,parts,310x235 mm,Possible autograph manuscript,,
850793076,,[1940-1960],parts,325x235 mm,Manuscript copy,,
850794878,s.l.,1961,1 score,34 cm.,,Partitura,
850795033,s.l.,1960,1 score,39 cm.,,Partitura,
850799514,,[1890-1899],1 score + parts,195x280 mm,Autograph manuscript,,
850816843,,1872,1 score + parts,317x238 mm,Autograph manuscript,,
850769855,,[1841-1860],1 score + parts,230x300 mm,Autograph manuscript,,
850775358,,maggio 1883,1 score + parts,240x300 mm,Autograph manuscript,,
850775360,,1849,1 score + parts,230x290 mm,Autograph manuscript,,
850776356,,[1819],score + parts,450x310 mm,Autograph manuscript,,
850776642,[Bergamo],1809,score + parts,240x320 mm,Autograph manuscript,,
850799549,,[1890-1899],score + parts,195x280 mm,Autograph manuscript,,
850799554,,1895,score + parts,240x335 mm,Autograph manuscript,,
850799573,,1907,score + parts,235x315 mm,Autograph manuscript,,
850800152,,1923,score + parts,240x335 mm,Autograph manuscript,,
850801268,,[1900-1910],score + parts,325x240 mm,Autograph manuscript,,
850801383,,[1890-1910],score + parts,245x330 mm,Autograph manuscript,,
850801457,,[1900-1910],score + parts,235x330 mm,Autograph manuscript,,
850801526,,1896,score + parts,240x330 mm,Autograph manuscript,,
850805093,,1898,score + parts,220 x 290 mm.,Autograph manuscript,,
850805107,,[1850-1899],score + parts,240 x 320 mm.,Autograph manuscript,,
850805123,,1894,score + parts,230 x 320 mm.,Autograph manuscript,,
850805587,,[1850-1899],score + parts,230 x 320 mm.,Autograph manuscript,,
850808151,,[1950-1999],score + parts,325 x 235 mm,Autograph manuscript,,
850793322,,1935,3 scores + 2 vocal scores,190-325x330x235 mm,Autograph manuscript,,
850793327,,1936,1 score + vocal score,155-330x330-240 mm,Autograph manuscript,,
850801097,,circa 1889,1 vocal score,245x340 mm,Autograph manuscript,,
850811375,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,,
850811427,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,,
850811571,,[1950-1999],1 vocal score,330 x 240 mm,Autograph manuscript,,
850811860,,[1940-1960],3 vocal scores,330 x 240 mm.,Autograph manuscript,,
850811870,,[1940-1960],1 vocal score,316 x 225 mm,Autograph manuscript,,
850811901,,[1940-1960],1 vocal score,315 x 220 mm,Autograph manuscript,,
850812404,,[1940-1960],1 vocal score,335 x 235 mm,Autograph manuscript,,
850814376,[s.l.],1995,1 score,210 x 298 mm,Autograph manuscript,,
850815429,,,,28x22 cm,Autograph manuscript,,
850815805,,,,35 cm,Autograph manuscript,,
850811069,,[1850-1899],score,310x250 mm,Autograph manuscript,,
850808603,,[1940-1960],1 vocal score,325 x 235 mm,Autograph manuscript,[Sparito],
850803714,,[circa 1840],vocal score,269x341 mm,Autograph manuscript,[Spartitino],
850801009,,after 1915,1 vocal score + parts,245x330 mm,Autograph manuscript,[Spartito e parti],
850801189,,1915,1 vocal score + parts,235x320 mm,Autograph manuscript,[Spartito e parti],
850801427,,[1900-1949],1 vocal score + parts,330x240 mm,Autograph manuscript,[Spartito e parti],
850780596,,[1930-1939],1 vocal score,340x266 mm.,Autograph manuscript,[Spartito],
850784918,,[1850-1899],1 vocal score,270x355 mm,Autograph manuscript,[Spartito],
850784924,,[1850-1899],1 vocal score,228x307 mm,Autograph manuscript,[spartito],
850785050,,[1850-1899],1 vocal score,270x350 mm,Autograph manuscript,[Spartito],
850785057,,[1850-1899],1 vocal score,271x351 mm,Autograph manuscript,[Spartito],
850785801,,1866,1 vocal score,270x351 mm,Autograph manuscript,[Spartito],
850785835,,1857,1 vocal score,271x349 mm,Autograph manuscript,[Spartito],
850785851,,[1800-1899],1 vocal score,273x350 mm.,Autograph manuscript,[Spartito],
850785856,,[1800-1899],1 vocal score,271x173 mm.,Autograph manuscript,[Spartito],
850785863,,[1800-1899],1 vocal score,271x176 mm,Autograph manuscript,[Spartito],
850785867,,[1800-1899],1 vocal score,271x351 mm.,Autograph manuscript,[Spartito],
850785877,,[1860-1866],1 vocal score,240x315 mm.,Autograph manuscript,[Spartito],
850785890,,[1848],1 vocal score,351x272 mm,Autograph manuscript,[Spartito],
850785895,,[1800-1899],1 vocal score,269x353 mm.,Autograph manuscript,[Spartito],
850785908,,[1800-1899],1 vocal score,268x178 mm.,Autograph manuscript,[Spartito],
850785912,,[1800-1899],1 vocal score,233x309 mm.,Autograph manuscript,[Spartito],
850785964,,1857-1868,vocal score,270x355 mm,Autograph manuscript,[Spartito],
850785972,,[1800-1899],1 vocal score,268x352 mm.,Autograph manuscript,[spartito],
850785975,,1857-1868,1 vocal score,270x355 mm.,Autograph manuscript,[Spartito],
850785981,,[1800-1899],1 vocal score,271x176 mm.,Autograph manuscript,[Spartito],
850785986,,[1800-1899],1 vocal score,273x350 mm.,Autograph manuscript,[Spartito],
