RISM ID,240$a,240$o,240$k,650$a,690$a,690$n,240$m,383$b,599$a
850601157,?Artaserse?,,Excerpts,Operas;Arias (voc.),,,,,"Artaserse ist nicht bekannt von Isouard; der Text von Metastasio ist: Per quel paterno amplesso (GK, ICCU-Import 2021-07)"
850816318,10 Arias,,,Arias (voc.),,,"V, orch",,
850817634,10 Arias,,,Arias (voc.),,,"V, orch",,
850809318,10 Dances,,,Dances,,,,,
850601524,10 Duets,,,Duets (voc.),,,"V (2), bc",,
850609761,10 Madrigals,,,,,,,,
850672165,10 Psalms,,,Psalms,,,"V (4), org",,
850603121,10 Quartets,,,Quartets (inst.),,,,,
850620274,10 Sacred songs,,,Sacred songs,,,,,
850600607,10 Sacred songs,,,,,,V (4),,
850603186,10 Sacred songs,,,,,,"V (4), bc",,
850779512,10 Studies,,,Studies,,,cor,,
850670907,10 Versets,,,Versets (inst.),,,,,"keine Einzeleinträge (GK, ICCU-Import 2021-07)"
850616692,10 Versets,,,Versi (voc.),,,,,
850601688,11 Duets,,,Duets (voc.),,,"V (2), bc",,
850776898,11 Duets,,,Duets (voc.),,,"S, Contra-A, bc",,
850799639,11 Duets,,,Duets (voc.),,,"V (2), b",,
850601649,11 Madrigals,,,Madrigals,,,,,
850659335,11 Marce funebri,,,Marches;Funeral music,,,,,
850689410,11 Psalms,,,Psalms,,,,,
850780447,11 Psalms,,,,,,"V (3), bc",,
850640867,11 Sacred songs,,,Sacred songs,,,,,
850816255,12 Arias,,,Arias (voc.),,,"V, orch",,
850816806,12 Arias,,,Arias (voc.),,,"V, orch",,
850611507,12 Canzoni,,,,,,,,
850611958,12 Concerti grossi ,,,Concerti grossi,,,,,
850793076,12 Concertos,,,,,,,op. 9,"12 Concertos, keine Einzeleinträge (GK, ICCU-Import 2021-07)"
850796546,12 Dances,,,Dances,,,orch,,
850797152,12 Deutsche Tänze,,,Dances,,,orch,,
850797351,12 Deutsche Tänze,,,Dances,,,orch,,
850797539,12 Deutsche Tänze,,,Deutsche Tänze,,,orch,,
850770428,12 Duets,,,Duets (voc.),,,,,
850778365,12 Duets,,,Duets (voc.),,,,,
850668338,12 Duets,,,Duets (voc.),,,"V (2), bc",,
850782530,12 Duets,,,Duets (voc.),,,"V (2), bc",,
850797599,12 Duets,,,Duets (voc.),,,,,
850808546,12 Duets,,,Duets (voc.),,,,,
850603976,12 Duets,,,Duets (inst.),,,,,
850619700,12 Duets,,,Duets (voc.),,,,,
850702712,12 Duets,,,Duets (inst.),,,,,
850635919,12 Duets,,,Duets (voc.),,,"S (2), b",,
850813277,12 Exercises,,,Exercises (inst.),,,,,
850632293,12 Magnificat,,,Canticles,,,,,
850726558,12 Marches,,,Marches,,,,,
850798998,12 Masses,,,Masses,,,,,
850799003,12 Masses,,,Masses,,,,,
850799004,12 Masses,,,Masses,,,,,
850799048,12 Masses,,,Masses,,,,,
850799082,12 Masses,,,Masses,,,,,
850799360,12 Masses,,,Masses,,,,,
850799407,12 Masses,,,Masses,,,,,
850799597,12 Masses,,,Masses,,,,,
850799653,12 Masses,,,Masses,,,,,
850799698,12 Masses,,,Masses,,,,,
850799749,12 Masses,,,Masses,,,,,
850799984,12 Masses,,,Masses,,,,,
850676971,12 Operas,,Excerpts,Operas;Overtures,,,orch,,
850795033,12 Preludes,,,Preludes,,,pf,op. 9,
850814096,12 Sacred songs,,Fragments,Sacred songs,,,,,
850600548,12 Sacred songs,,,,,,V (4),,
850643254,12 Sacred songs,,,Sacred songs,,,,,
850804109,12 Sonatas,,,Sonatas,,,,,
850603499,12 Sonatas,,,Sonatas,,,,,
850605065,12 Sonatas,,,Sonatas,,,,,
850611776,12 Sonatas,,,Sonatas,,,,,
850611952,12 Sonatas,,,Sonatas,,,,,
850703172,12 Sonatas,,,Sonatas,,,,,
850668714,12 Sonatas,,,Sonatas,,,,,
850766394,12 Sonatas,,,Sonatas,,,,,
850730496,12 Sonatas,,,Sonatas,,,"vl, bc",,
850812771,12 Studies,,,Tutors (inst.),,,,,
850617718,12 Vocal pieces,,,Vocal pieces,,,,,
850609307,12 Vocal pieces,,,Ariettes;Duets (voc.),,,,,
850620387,12 Vocal pieces,,,Duets (voc.);Cantatas,,,,,
850779723,12 Waltzes,,,Waltzes,,,,,"keine Einzeleinträge  (GK, ICCU-Import 2021-07)"
850782133,12 Waltzes,,,,,,winds,,
850796548,12 Waltzes,,,Waltzes,,,,,
850796551,12 Waltzes,,,Waltzes,,,,,
850796126,13 Duets,,,Duets (voc.),,,"S (2), bc",,
850601700,13 Duets,,,Duets (voc.),,,,,
850601508,13 Duets,,,Duets (voc.),,,,,"alle von Steffani; Angabe in 500: 12; angehängt: 13 (GK, ICCU-Import 2021-07)"
850619421,13 Instrumental pieces,,,Sonatas;Concertos,,,,,
850782969,13 Pieces,,,,,,,,"Zusätzlich 1 Canon für Gesangstimme: Ut relevet (GK, ICCU-Import 2021-07)"
850600374,13 Psalms,,,,,,V (8),,"In allen Einzeleinträge muss der Komponist in Colonna geändert werden - ist jetzt Anonymus.  (GK, ICCU-Import 2021-07)"
850615873,13 Psalms,,,Psalms,,,,,
850817408,13 Vocal pieces,,,Arias (voc.);Duets (voc.),,,"V (X), orch",,
850796552,13 Waltzes,,,Waltzes,,,,,
850633303,14 Motets,,,Motets,,,,,
850608293,14 Sonatas,,,Trio sonatas,,,,,
850616884,14 Vocal pieces,,,Duets (voc.);Terzets (voc.),,,,,
850740466,15 Dances,,,Dances,,,,,
850685326,15 Duets,,,Duets (inst.),,,,,
850601629,15 Madrigals,,,Madrigals,,,,,
850812782,15 Pieces,,,Organ pieces;Litanies;Hymns,,,"V (X), org",,
850605203,15 Quartets,,,Quartets (inst.),,,,,
850619239,15 Sacred songs,,,,,,V (X),,
850780738,16 Dances,,,Dances,,,,,
850617971,16 Sacred songs,,,Sacred songs,,,,,
850780653,16 Versets,,,Versets (inst.),,,org,,
850781667,16 Versets,,,Versets (inst.),,,org,,
850617349,17 Arias,,,,,,"V (X), orch",,
850817695,17 Arias,,,Arias (voc.),,,"V, orch",,
850765201,17 Fugues,,,,,,,,
850766307,17 Notturni,,,Notturni (voc.),,,,,
850601045,17 Sacred songs,,,,,,"V (4), org ",,
850764702,17 Sonatas,,,Sonatas,,,,,
850733464,18 Duets,,,Duets (voc.),,,,,
850625615,18 Psalms,,,Psalms,,,V (8),,"Einzeleintrage nicht vorhanden  (GK, ICCU-Import 2021-07)"
850600342,18 Psalms,,,,,,Coro (2),,"In allen Einzeleinträge muss der Komponist in Colonna geändert werden - ist jetzt Anonymus.  (GK, ICCU-Import 2021-07)"
850600451,18 Sacred songs,,,Sacred songs,,,V (8),,
850602390,18 Sacred songs,,,Sacred songs,,,"Coro (2), vl (2), bc",,
850602089,18 Sacred songs,,,,,,"V (4), bc",,"In allen Einzeleinträge muss der Komponist in Clari geändert werden - ist jetzt Anonymus. 730: Vespers (GK, ICCU-Import 2021-07)"
850600650,18 Sacred songs,,,,,,"V (4), bc",,
850817404,18 Vocal pieces,,,Arias (voc.);Duets (voc.),,,"V (X), orch",,
850817523,19 Arias,,,Arias (voc.),,,"V, orch",,
850600482,19 Psalms,,,Psalms,,,"V (1), Coro, bc",,
850602246,19 Sacred songs,,,Psalms;Vespers,,,"Coro (2), bc",,
850765573,19 Sacred songs,,,,,,"V (2), bc",,
850619759,19 Sacred songs,,,,,,V (X),,
850781106,19 Vocal pieces,,,Vocal pieces,,,,,
850777869,19 Vocal pieces,,,Vocal pieces,,,,,
850791435,2 Arias,,,Arias (voc.),,,,,
850792008,2 Ariettes,,,Ariettes,,,,,
850611734,2 Canzonettas,,,Canzonettas,,,,,
850765895,2 Chansons,,,Chansons,,,,,
850623966,2 Confitebor,,,Psalms,,,,,
850692276,2 Dances,,,Polkas;Quadrilles,,,,,
850692535,2 Dances,,,Mazurkas;Polkas,,,,,
850692184,2 Dances,,,Dances,,,strings,,
850692856,2 Divertimentos,,,Divertimentos,,,,,
850796725,2 Divertimentos,,,Divertimentos,,,orch,,"keine Einzeleinträge (GK, ICCU-Import 2021-07)"
850600871,2 Dixit Dominus,,Excerpts,Psalms,,,,,
850734288,2 Duets,Arr,,Duets (voc.),,,"S (2), guit",,
850606588,2 Duets,,,Duets (voc.),,,,,
850603554,2 Duets,,,Duets (inst.),,,,,
850783221,2 Duets,,,Duets (inst.),,,,,
850687840,2 Duets,,,Duets (voc.),,,"S (2), bc",,
850782239,2 Duets,,,Duets (inst.),,,fag,,
850607239,2 Duets,,,Duets (inst.),,,,,
850783097,2 Duets,,,Duets (inst.),,,,,
850605128,2 Fantasies,,,Fantasies,,,,,
850605131,2 Fantasies,,,Fantasies,,,,,
850733637,2 Finales,,,Finales,,,,,
850618530,2 Fugues,,,Fugues (voc.),,,,,
850676664,2 Instrumental pieces,,,Instrumental pieces,,,,,
850669878,2 Instrumental pieces,,,Instrumental pieces,,,,,
850611248,2 Instrumental pieces,,,Instrumental pieces,,,,,
850766391,2 Instrumental pieces,,,Instrumental pieces,,,,,
850671530,2 Instrumental pieces,,,Sonatas;Dances,,,,,
850611695,2 Instrumental pieces,,,Instrumental pieces,,,,,
