001	852$c	500$a	500$a	856$u	856$x	856$z
00000990059038	A.277.(7.)	Copy at A.277.(7.). Imperfect: canto part book only.	Title information: Corona, il secondo libro delle canzoni alla Napolitana à tre voci. In Vinegia: Appresso Girolamo Scotto, MDLXXI [1571].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004650112	Other	Description in British Library catalogue
00000990011160	f.17.h.(3.)		Title information: Sonate da camera à tre. À Amsterdam: chez Pierre Mortier, [1705]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004764424	Other	Description in British Library catalogue
00000990000829	i.279.x.	Imperfect: keyboard part only.	Title information: Six concertos for the harpsichord. London: printed by Welcker, [1769]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013591287	Other	Description in British Library catalogue
00000990002803	i.309.w.(1.)		Title information: Sonnates à violon seul et basse continüe. Se vend à Paris: chez l'Auteur, 1721.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01017605985	Other	Description in British Library catalogue
00000990003986	A.1100.(1.)		Title information: Ariette e Duettini, etc. London: Welcker, [1770?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004198412	Other	Description in British Library catalogue
00000990004090	g.406.		Title information: Six Sonata's for Two Violins with a Thorough Bass for the Harpsichord or Violoncello. London: John Cox, for the Author, [1750?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004198757	Other	Description in British Library catalogue
00000990004335	D.402.(10.)		Title information: The Toast. A Bacchanalian Glee. London: The Author, [1795]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004202197	Other	Description in British Library catalogue
00000990004572	A.38.		Title information: Il Primo Libro de Madrigali a Cinque, et a Sei voci. In Venetia: Appresso Angelo Gardano, 1589.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004207893	Other	Description in British Library catalogue
00000990005368	C.163.		Title information: Sacri concentus octonis vocibus. Venetiis: Apud Angelum Gardanum & Fratres, MDCIX [1609]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004217402	Other	Description in British Library catalogue
00000990005880	g.398.g.		Title information: Sei Quartetti per Due Violini, Viola e Violoncello. Vienna: Presso Artaria Comp, [1782-1783]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004225285	Other	Description in British Library catalogue
00000990005921	R.M.17.b.3.(4.)		Title information: Tre Quintetti per due Violini, Viola, e due Violoncelli. Opera XXXVI. [Separate Parts.]. Vienna: Artaria Comp, [1784]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004225405	Other	Description in British Library catalogue
00000990005957	Hirsch III.127.	Copy at Hirsch III.127. Imperfect: wanting the parts for violino secondo ripieno, viola and basso, which have been supplied in MS.	Title information: Concerto per il violoncello obligato. Vienna: presso Artaria compagni, [1782-1783]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004225245	Other	Description in British Library catalogue
00000990006272	I.354.c		Title information: The Symphonys or Instrumental Parts in the Opera Call'd Camilla,. London: Printed for I. Walsh ... and P. Randall, [1707]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004253023	Other	Description in British Library catalogue
00000990006986	g.511.f.(1.)		Title information: Six sonates a violoncel et basse .. Gravées par Richomme. Ces sonates peuvent se jouër sur le violon. Opera xii. Paris: Chez l'auteur, [1783]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004237580	Other	Description in British Library catalogue
00000990006988	h.1860.		Title information: Six solos for the violoncello & bass, opera XII. London: Preston, [ca. 1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013395691	Other	Description in British Library catalogue
00000990007008	Hirsch III.141.		Title information: Six duo faciles pour un violon et un violoncel, la partie du violoncel, peut s'éxécuter avec le basson .. Oeuvre XXI. 7e livre de duo .. Gravé par Richomme. Paris: Chez Imbault, [1785?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004237562	Other	Description in British Library catalogue
00000990007699	g.96.a.(1.)		Title information: Six sonates pour la vielle, musette, violon, flutes, hautbois et pardessus de violles. A Paris: chez L'auteur: chez Madame Boivin: chez Monsieur Le Clerc: chez Monsieur Louvet; A Lyon: chez Monsieur Brotonne, [1746]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004249055	Other	Description in British Library catalogue
00000990007805	K.8.h.14.		Title information: Le nuove musiche. In Venetia: Appresso Alessandro Rauerii, M.D.CII. [1602]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004250716	Other	Description in British Library catalogue
00000990007809	K.7.f.3.		Title information: Nuove musiche e nuova maniera di scriverle. In Fiorenza: Appresso Zanobi Pignoni, e Compagni, 1614.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004250721	Other	Description in British Library catalogue
00000990010517	Tyson P.M.24.		Title information: Gradus ad Parnassum,. London: printed for Clementi, Banger, Collard, Davis & Collard, [1817-1819]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005031176	Other	Description in British Library catalogue
00000990011265	h.202.c.	Imperfect: wanting the Violoncello concertino part.	Title information: Two Concertos being the first & eleventh Solos of .. A. Corelli, as they are made into Concerto's by Mr. Obadiah Shuttleworth. London: Ingrav'd by T. Cross, Joseph Hare, [1726]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004281592	Other	Description in British Library catalogue
00000990011941	a.109.		Title information: The Portsmouth harmony,. London: Printed for the author, and sold by S. Major ... R. Cust ... and the Engraver, [ca. 1800]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004290936	Other	Description in British Library catalogue
00000990015248	C.179.	Copy at C.179. Imperfect: wanting the other parts.	Title information: Di Gio. Andrea Dragoni .. Il Terzo Libro delli Madrigali à cinque voci, con vno a sette nel fine. Nuouamente posti in luce. Tenore. Vineggia: Appresso l'Herede di Girolamo Scotto, 1579.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004312295	Other	Description in British Library catalogue
00000990017370	K.4.h.4.		Title information: Introitus et alleluia per omnes festivitates totius anni cum quinque vocibus. Venetijs: Apud Filios Antonij Gardani, 1575.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004330448	Other	Description in British Library catalogue
00000990017594	H.799.g.(6.)		Title information: Deh se pietà ritrova. [London]: printed for Corri Dussek & Co. ... no 67, Dean Street Soho, & Bridge Street, Edinburgh, [1794?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034110	Other	Description in British Library catalogue
00000990021700	g.161.m.		Title information: Six Sonatas, for the Harpsichord with Accompanyments for a Violin, and a Violoncello .. Op: 6: [Parts.]. London: printed for the Author by W. Forster, [ca. 1790]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004361258	Other	Description in British Library catalogue
00000990021707	D.854.		Title information: Six Sonatas, for the Piano-Forte. Op. 6. Periodical Publications. - London. The Piano-Forte Magazine. Vol.V. No. 4. . London: printed for Harrison, Cluse, & Co., [1798]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004361259	Other	Description in British Library catalogue
00000990022362	h.4261.ss.(5.)		Title information: A second sett of six duetts for two German flutes, op. II. London (45 Holborn): printed by J. Bland, [between 1778 and 1795?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013770789	Other	Description in British Library catalogue
00000990022640	g.443.y.(26.)		Title information: A favorite Lesson for the Harpsichord or Piano Forte. London: Printed for P. Hodgson, [ca. 1780]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004374486	Other	Description in British Library catalogue
00000990023512	h.1728.ff.		Title information: Six sonatas for two German flutes. London, Sweetings Alley opposite the East door of the Royal Exchange: Printed for, & sold by J. Simpson at the Bass Viol & Flute, [1744?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01017752378	Other	Description in British Library catalogue
00000990024896	H.1660.nn.(12.)		Title information: Ye sacred priests. London (133 New Bond Street): Printed for Rt. Birchall, [between 1789 and 1819]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013394874	Other	Description in British Library catalogue
00000990025022	K.3.m.22		Title information: Songs in Messiah,. London: Printed for I. Walsh, [1763?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01004385620	Other	Description in British Library catalogue
00000990025521	i.31.f.(1.)		Title information: Six overtures for violins &c. in eight parts,. London: printed for I. Walsh, [ca. 1760]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034191	Other	Description in British Library catalogue
00000990025522	g.61.s.(3.)		Title information: Six overtures set for the harpsichord or organ,. London: printed for I. Walsh, [ca. 1760]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034188	Other	Description in British Library catalogue
00000990025638	h.436.n.(2.)		Title information: Sonatas or chamber aires for a violin & bass,. London: Printed for and sold by I. Walsh ... and Ioseph Hare, [ca. 1730]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034194	Other	Description in British Library catalogue
00000990026724	Tyson P.M.13.		Title information: A favorite Italian cantata,. London: printed by Longman & Broderip, [1791?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034577	Other	Description in British Library catalogue
