1	852$a	852$c	500$a1	500$a2	856$u	856$x	856$z
990042787	GB-Lbl	h.405.zz.(1.)	Copy at h.405.zz.(1.). Imperfect: wanting the part for voice and piano.	Title information: [Scena ed aria]. Scelta di scene, duetti ed arie. [Offenbach sul meno]: [presso Giov: André], [1797].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027954	Other	Description in British Library catalogue.
990043861	GB-Lbl	h.405.zz.(2.)	Copy at h.405.zz.(2.). Imperfect: wanting the part for voice and piano.	Title information: [Scena ed aria]. Scelta di scene, duetti ed arie. [Offenbach sul Meno]: [presso Giov: André], [1798]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005027953	Other	Description in British Library catalogue.
990045327	GB-Lbl	Tyson P.M.33.(1.)	Imperfect; the string parts only; piano part is placed at h.321.aa.(1.)	Title information: Three sonatas for the piano-forte. London: Preston & son, [1799]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01005034488	Other	Description in British Library catalogue.
990025503	GB-Lbl	h.436.p.	Copy at h.436.p. Imperfect: violino primo ripieno and violino secondo ripieno parts only. Violino primo ripieno lacking Concerto 12.	Title information: Twelve grand concertos in seven parts for four violins, a tenor violin, a violoncello, with a through bass for the harpsicord. London: Printed for and sold by H. Wright, musick printer and instrument maker. at the Harp and Hoboy in Catherine Street in the Strand, [1786]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01015888837	Other	Description in British Library catalogue.
990001306	GB-Lbl	K.11.e.21.(3.)	Copy at K.11.e.21.(3.). Imperfect: the Discantus, Altus, Tenor and Vagans parts only; wanting the Bassus.	Title information: Versus ex hymno de passione Christi. Gedruckt zu Jhena: durch Donatum, 1561.	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01013533875	Other	Description in British Library catalogue.
990000246	GB-Lbl	h.3690.g.(2.)	Copy at h.3690.g.(2.). Imperfect: the piano part only.	Title information: Trois sonates pour le piano forte. A Paris: chez Naderman, Rue de la Loi, à la Clef d'Or, Passage du Caffé de foy, [1797?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01018729614	Other	Description in British Library catalogue.
990011349	GB-Lbl	h.303.dd.	Copy at h.303.dd. With ms additions to the catalogue of Corrette's works.	Title information: Six concerto pour les flûtes, violons, hautbois, avec la basse. A Paris: chez l'auteur, Sr Boivin, Sr Leclerc, [approximately 1729].	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01016218554	Other	Description in British Library catalogue.
991016259	GB-Lbl	H.1660.uu.(19.)	Copy at H.1660.uu.(19.). Imperfect: cropped; lacking the last line of the flute part.	Title information: The nurses 2d. song in Arsinoè. [London]: s.n, [1707?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01012956169	Other	Description in British Library catalogue.
991017603	GB-Lbl	H.2920.p.(18.)	Copy at H.2920.p.(18.). Imperfect: the piano part only.	Title information: A collection of strathspey reels &c. Edin.r: printed for the Author, [1794?]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01015970804	Other	Description in British Library catalogue.
990022738	GB-Lbl	A.959.yy.	Copy at A.959.yy. Imperfect : the Chorus Primus parts only (SATB).	Title information: Missa cum introitu, ac tribus motectis. Venetijs: apud Angelum Gardanum, M.D.LXXXVII [1587]	http://explore.bl.uk/BLVU1:LSCOP-ALL:BLL01017550944	Other	Description in British Library catalogue.
