001,240o,siglum,status
https://muscat.rism.info/admin/sources/410001284,Eb,CH-Lz,published
https://muscat.rism.info/admin/sources/410001416,Eb,CH-Lz,published
https://muscat.rism.info/admin/sources/410001419,Bb,CH-Lz,published
https://muscat.rism.info/admin/sources/410001647,G,CH-Lz,published
https://muscat.rism.info/admin/sources/410002847,Var,CH-BEl,published
https://muscat.rism.info/admin/sources/410002869,Var,CH-BEl,published
https://muscat.rism.info/admin/sources/410003732,Var,CH-Lz,published
https://muscat.rism.info/admin/sources/410004106,Var,CH-Lz,published
https://muscat.rism.info/admin/sources/410004176,Var,CH-BEl,published
https://muscat.rism.info/admin/sources/410004177,Var,CH-BEl,published
