Anzahl,falsch,richtig,,
45,"coro, org","Coro, org",,
3,"Coro (1), org","Coro, org",, 
7,"Coro,  org","Coro, org",,
1,"Coro, org,","Coro, org",,
1,"Coro, org.","Coro, org",,
11,"cl (3), brasses, gran cassa","cl (3), brasses, grancassa",,
1,"A (2),  orch, bc","A (2), orch, bc",,
2,"A,  bc","A, bc",,
1,"A, cembalo","A, cemb",,
1,"A, coro femminile, pf","A, Coro femminile, pf",,
1,"A, Coro Maschile","A, Coro maschile",,
1,"A, coro maschile, orch","A, Coro maschile, orch",,
2,"A, coro, orch, bc","A, Coro, orch, bc",,
1,"A, Coro,  orch, bc","A, Coro, orch, bc",,
2,"A, coro, pf","A, Coro, pf",,
1,"A, 5 i, bc","A, i (5), bc",,
1,"A, keyboard","A, keyb",,
1,"Solo A, org","A, org",,
1,"A,strings","A, strings",,
2,"A,  strings,  bc","A, strings, bc",,
1,"A, strings,  bc","A, strings, bc",,
1,"A, 2 vl, b","A, vl (2), b",,
1,"A, 3 vl, org","A, vl (3), org",,
1,"A, 3 vla","A, vla (3)",,
2,"A, 3 vla, org","A, vla (3), org",,
1,"A, 3 vla, vlne, org","A, vla (3), vlne, org",,
1,"A, 4 vla, b","A, vla (4), b",,
2,accordeon,accordion,,
1,akkordeon,accordion,,
1,[B],B,,
1,B.,B,,
1,B only,B,,
1,B(2),B (2),,
5,"B (2), b.fig*","B (2), bc",,
1,"B (2), Coro, orch,","B (2), Coro, orch",,
1,"B, Coro,  orch, bc","B, Coro, orch, bc",,
10,"B, i (x)","B, i (X)",,
1,"B, orch,org","B, orch, org",,
1,"VSol: B, orch, org","B, orch, org",,
1,"Solo: B, strings","B, strings",,
1,"B, strings,org","B, strings, org",,
1,"B, 2 vl, bc","B, vl (2), bc",,
1,"B,vl, bc","B, vl, bc",,
1,Banda,banda,,
1,Bariton; Coro maschile,"Bariton, Coro maschile",,
5,"Bariton, coro maschile, orch","Bariton, Coro maschile, orch",,
1,"Bariton, coro, orch","Bariton, Coro, orch",,
2,"Bariton, coro, org","Bariton, Coro, org",,
1,"Bariton, keyboard","Bariton, keyb",,
3,Brass,brasses,,
11,brass orch,brasses,,
2,"cl solo, orch","cl, orch",,
1,"cl-solo, orch","cl, orch",,
1,"Cl. solo, orch","cl, orch",,
5,"cl princ, orch","cl, orch",,
1,"Cl, orch","cl, orch",,
1,"clav,",clav,,
3,"clav, 2 vl, b","clav, vl (2), b",,
4,"clav, 2 vl, bc","clav, vl (2), bc",,
1,"clno 1, 2; timp","clno (2), timp",,
1,"cor 1, 2; clno","cor (2), clno",,
2,3 cor,cor (3) ,,
1,cor(9),cor (9),,
1,X cor,cor (X),,
1,cor; trp,"cor, trp",,
6,"Coro,",Coro,,
1,Chor,Coro,,
1,Choro,Coro,,
2,Chorus,Coro,,
30,coro,Coro,,
1,Coro;,Coro,,
6,Coro (1),Coro ,,
26,choir (2),Coro (2),,
1,Chor (2),Coro (2),,
21,coro (2),Coro (2),,
1,"coro 1, 2",Coro (2),,
1,"Coro 1, 2",Coro (2),,
1,"coro (2), bc","Coro (2), bc",,
1,Coro (2); bc,"Coro (2), bc",,
1,"choir (2), orch","Coro (2), orch",,
1,"choir (2), org","Coro (2), org",,
1,"coro (2), pf","Coro (2), pf",,
1,3 coro,Coro (3),,
9,3 Coro,Coro (3) ,,
2,"3 Coro, bc","Coro (3), bc",,
4,"coro, keyb","Coro, keyb",,
1,"Coro, keyboard","Coro, keyb",,
1,"Coro, keyb.","Coro, keyb",,
13,"Coro, keybd","Coro, keyb",,
1,"coro, och","Coro, orch",,
1,"[Coro], orch","Coro, orch",,
81,"coro, orch","Coro, orch",,
2,"Chor, Orchester","Coro, orch",,
1,"Choro, orch","Coro, orch",,
2,"chorus, orch","Coro, orch",,
1,"Coro , orch","Coro, orch",,
3,Coro; orch,"Coro, orch",,
12,"Coro, orch,","Coro, orch",,
17,"Coro, orch.","Coro, orch",,
5,"Coro, Orch","Coro, orch",,
1,"coro, orch, b","Coro, orch, b",,
1,"choir, orch, bc","Coro, orch, bc",,
2,"Coro, orch, keyboard","Coro, orch, keyb",,
3,"Coro, orch  org","Coro, orch, org",,
8,"coro, orch, org","Coro, orch, org",,
1,"Coro, orch,org","Coro, orch, org",,
2,"Coro, orch,  org","Coro, orch, org",,
1,"Coro, orch, org.","Coro, orch, org",,
2,"Coro, Orch, org","Coro, orch, org",,
75,"coro, pf","Coro, pf",,
1,"coro, piano","Coro, pf",,
2,"Chor, pf","Coro, pf",,
2,"choro, pf","Coro, pf",,
2,"Coro,pf","Coro, pf",,
1,"Coro, pf,","Coro, pf",,
1,"Coro, pf.","Coro, pf",,
1,"coro, pf, orch","Coro, pf, orch",,
1,"coro, strings","Coro, strings",,
1,"Coro,strings","Coro, strings",,
3,"Coro, strings;","Coro, strings",,
1,"Coro, strings,","Coro, strings",,
30,"Coro, strings.","Coro, strings",,
2,"Coro, strings, 2 arp, bc","Coro, strings, arp (2), bc",,
1,"Coro, strings, 2 arp, org","Coro, strings, arp (2), org",,
7,"coro, strings, bc","Coro, strings, bc",,
1,"Coro, strings, clno (2),  org","Coro, strings, clno (2), org",,
1,"coro, strings, fag, bc","Coro, strings, fag, bc",,
1,"Coro, strings, 2 fl, 2 cor","Coro, strings, fl (2), cor (2)",,
1,"Coro  strings, org","Coro, strings, org",,
1,"Coro, strings, org.","Coro, strings, org",,
1,"fl, 2 cor, pf","fl, cor (2), pf",,
1,"fl, 2 fag","fl, fag (2)",,
