990000081,A 80; AA 80,"Bremner's monthly series of periodical overtures, No. XVI"
990000229,A 228,"Journal de pièces de clavecin par différens auteurs, N|o 9"
990000254,A 253,"Musikalischer Sammler für das Piano-Forte, Heft No. [hs.:] 12"
990000260,A 259; AA 259,Ariettes italiennes ... del Signore Cimarosa ... No. 25
990000261,A 260; AA 260,Ariettes italiennes del Signore Nasolini ... No. 36
990000262,A 261; AA 261,Ariettes italiennes del Signore Giordanello ... No. 44
990000322,A 321; AA 321,"La muse du jour, journal de nouveauté pour le forte piano, première année"
990000329,A 328,Honoribus ... viri Dn. Johannis Balthasaris Schuppii ... cum is ... philosophiae magister ac doctor ... crearetur ... precantur professores
990000436,A 435,"Musikalisches Mancherley, drittes Vierteljahr"
990000471,A 470; AA 470,Der Gläubigen ... Adel und Würde ... bey Beerdigung des ... Johann Rudolph Ahlen ... den 11. Julij lauffendes 1673
990000747,A 746,Christliche Leichpredigt ...
990000842,A 841; AA 841,"Recueil d'ariettes, No. 1"
990000962,A 961,"Auswahl von Arien mit Begleitung des Pianoforte oder der Guitarre, No. 68"
990000964,A 963,"Auswahl von Arien mit Begleitung des Pianoforte oder der Guitarre, No. 69"
990000966,A 965; AA 965,"Apollo's Tempel des Gesanges, Nr. 31"
990001043,A 1042; AA 1042,"Arien und Duetten aus den neuesten deutschen Opern, Nr. 7"
990001044,A 1043; AA 1043,"Theater-Kalender, auf das Jahr 1778"
990001045,A 1044; AA 1044,"Theater-Kalender, auf das Jahr 1778"
990001049,A 1048,Theater-Journal für Deutschland vom Jahre 1777. Viertes Stück
990001070,A 1069,Etrennes pour les dames
990001071,A 1070,Etrennes pour les dames
990001076,A 1075; AA 1075,Adenlicher Zucht Ehrenspiegel
990001152,A 1151,"Journal d'ariettes italiennes, dédié à la Reine, 1780, N|o 25"
990001158,A 1157; AA 1157,"Journal d'ariettes italiennes, 1779, N|o 10"
990001163,A 1162,"Journal d'ariettes italiennes, N|o 380"
990001180,A 1179,"Mercure de France, oct. 1781, p. 60"
990001196,A 1195,"A collection of periodical Italian songs, No. 79"
990001198,A 1197,"A periodical Italian song, No. 18"
990001200,A 1199,"Journal d'ariettes italiennes, dédié à la Reine, 1784, N|o 141"
990001201,A 1200,"Journal d'ariettes italiennes, 1785, N|o 147"
990001202,A 1201,"La muse boufonne, suite d'ariettes italiennes pour la taille et la basse taille, No. 1"
990001457,A 1456,"The London Magazine, Dec., 1772"
990001481,A 1480; AA 1480,"The London Magazine, 1756, p. 84"
990001482,A 1481; AA 1481,"The Universal Magazine, 1756, vol. 18, p. 126"
990001514,A 1513,"Hibernian Magazine, Appendix"
990001515,A 1514,"Walker's Hibernian Magazine, March"
990001523,A 1522; AA 1522,"Gentleman's Magazine, vol. XX, 1750, p. 325"
990001524,A 1523; AA 1523,"Universal Magazine, 1750, vol. 7, p. 25"
990001543,A 1542,"Royal Magazine, 1765, vol. 13, p. 101"
990001544,A 1543; AA 1543,"Magazine, 1765, pp. 426-427"
990001548,A 1547; AA 1547,"London Magazine, Jan. 1774"
990001569,A 1568; AA 1568,"Universal Magazine, 1762, vol. 31, p. 95"
990001572,A 1571,"Literary Magazine, 1765, vol. 1, p. 102"
990001573,A 1572; AA 1572,"The London Magazine, 1758, p. 144"
990001574,A 1573,"Christian's Magazine, April, 1762, p. 178"
990001586,A 1585,"The Lady's Magazine, July, 1789"
990001602,A 1601; AA 1601,"Gentleman's Magazine, vol. XXV, p. 131"
990001605,A 1604,A collection of new & favorite songs
990001621,A 1620; AA 1620,"Piano-Forte Magazine, vol. II, No. 8"
990001670,A 1669; AA 1669,"The London Magazine, 1763, p. 42"
990001674,C 1690,"Raccolta dell'armonia, collezzione vigesima prima del magazino musicale"
990001677,A 1676,"The Lady's Magazine, 1762, vol. 4, p. 129"
990001678,A 1677; AA 1677,"The London Magazine, 1762, p. 669"
990001679,A 1678,"Royal Magazine, 1762, vol. 7, p. 97"
990001680,A 1679; AA 1679,"The Universal Magazine, 1764, vol. 34, p. 43"
990001689,A 1688,"Christian's Magazine, July, 1762, p. 324"
990001727,A 1726; AA 1726,"The Gentleman's Magazine, vol. 14, p. 98"
990001751,A 1750; AA 1750,"The Piano-Forte Magazine, vol. 3, No. 2"
990001768,A 1767; AA 1767,"The London Magazine, Nov., 1774"
990001772,A 1771; AA 1771,"The Gentleman's Magazine, 1753, vol. 23, p. 41"
990001810,A 1809; AA 1809,"New Musical Magazine, No. 27-29"
990001815,A 1814; AA 1814,"The Lady's Magazine, Aug., 1789"
990001819,A 1818; AA 1818,"The London Magazine, 1757, p. 556"
990001827,A 1826; AA 1826,"Piano-Forte Magazine, vol. X, No. 4"
990001831,A 1830; AA 1830,"London Magazine, 1748, p. 180"
990001837,A 1836,"The Literary Magazine, 1757, vol. 2, p. 45"
990001839,A 1838,"New Universal Magazine, May, 1757"
990001840,A 1839; AA 1839,"The Gentleman's Magazine, 1757, vol. 27, p. 229"
990001843,A 1842; AA 1842,"The London Magazine, 1752, p. 521"
990001848,A 1847; AA 1847,"The London Magazine, 1753, p. 235"
990001904,A 1903; AA 1903,"The London Magazine, 1751, p. 420"
990001905,A 1904,"New Universal Magazine, 1754, vol. 6, supplement"
990001947,A 1946,"Royal Magazine, 1762, vol. 7, p. 189"
990001951,A 1950; AA 1950,"Universal Magazine, 1767, vol. 41, p. 204"
990001955,A 1954; AA 1954,"London Magazine, 1761, p. 324"
990001956,A 1955; AA 1955,"Universal Magazine, 1763, vol. 32, p. 322"
990001957,A 1956; AA 1956,"Universal Magazine, 1761, vol. 28, p. 96"
990001958,A 1957,"Lady's Magazine, 1761, vol. II, p. 273"
990001960,A 1959; AA 1959,"Universal Magazine, 1760, vol. 27, p. 375"
990001970,C 1759; CC 1759,"Piano-Forte Magazine, vol. IV, No. 6"
990001972,A 1971,"Royal Magazine, 1763, vol. 8, p. 100"
990001975,A 1974; AA 1974,"London Magazine, 1761, p. 666"
990001976,A 1975; AA 1975,"Universal Magazine, 1769, vol. 44, p. 208"
990002021,A 2020,"The London Magazine, Jan., 1752"
990002024,A 2023; AA 2023,"The Universal Magazine, 1764, vol. 35, p. 262"
990002025,A 2024,"Royal Magazine, 1764, vol. 11, p. 321"
990002035,A 2034; AA 2034,"The London Magazine, 1752, p. 424"
990002036,A 2035; AA 2035,"The Universal Magazine, 1755, vol. 17, p. 33"
990002037,A 2036; AA 2036,"The Universal Magazine, 1758, vol. 22, p. 360"
990002039,C 1770,"Raccolta del armonia, ottogesima quarta del magazino musicale"
990002051,A 2050; AA 2050,"The Gentleman's Magazine, 1752, vol. 22, p. 471"
990002052,A 2051,"The London Magazine, Febr., 1752"
990002054,A 2053; AA 2053,"The London Magazine, 1753, p. 37"
990002058,A 2057; AA 2057,"The Universal Magazine, 1751, vol. 9, p. 224"
990002061,A 2060; AA 2060,"The London Magazine, Jan., 1772"
990002064,A 2063,"The Lady's Magazine, 1762, vol. 4, p. 271"
990002065,A 2064,"Royal Magazine, 1762, vol. 7, p. 259"
990002067,C 1781; CC 1781,"Piano-Forte Magazine, vol. XII, No. 5"
990002070,C 1784; CC 1784,"Piano-Forte Magazine, vol. VII, No. 1"
990002077,A 2076; AA 2076,"London Magazine, 1751, p. 36"
990002083,A 2082; AA 2082,"London Magazine, 1759, p. 549"
990002084,A 2083; AA 2083,"Universal Magazine, 1759, vol. 25, p. 256"
990002085,A 2084,"The Lady's Magazine, Nov., 1759"
990002095,A 2094; AA 2094,"The Universal Magazine, 1763, vol. 32, p. 96"
990002099,A 2098; AA 2098,"London Magazine, 1750, p. 515"
990002100,A 2099; AA 2099,"The Gentleman's Magazine, 1751, vol. 21, p. 83"
990002113,A 2112; AA 2112,"The London Magazine, 1763, p. 269"
990002127,A 2126,"The Universal Magazine, 1749, vol. 5, p. 222"
990002128,A 2127; AA 2127,"Universal Magazine, vol. 6, p. 270"
990002129,A 2128; AA 2128,"London Magazine, 1754, p. 372"
990002130,A 2129,Chloe or the musical magazine
990002134,A 2133; AA 2133,"Universal Magazine, 1764, vol. 35, p. 205"
990002135,A 2134,"Royal Magazine, 1764, vol. 10, p. 213"
990002149,A 2148; AA 2148,"London Magazine, 1753, p. 432"
990002196,A 2195; AA 2195,"Piano-Forte Magazine, vol. I, No. 1"
990002213,A 2212,"Walker's Hibernian Magazine, 1789, Appendix"
990002223,A 2222; AA 2222,"Piano-Forte Magazine, vol. VII, No. 10"
990002245,A 2244,"Arnold's works, vol. 14"
990002253,A 2252,"The European Magazine, Aug. 1782"
990002267,A 2266,"Walker's Hibernian Magazine, Feb., 1788"
990002284,A 2283,"Arnold's works, vol. 1"
990002291,A 2290,A select collection of the most admired songs ...
990002302,A 2301,The gentleman's amusement
990002346,A 2345; AA 2345,"Piano-Forte Magazine, vol. VII, No. 9"
990002347,A 2346,"Hibernian Magazine, July, 1781"
990002354,A 2353; AA 2353,"Piano-Forte Magazine, vol. VIII, No. 5"
990002358,A 2357; AA 2357,"The European Magazine, June 1782"
990002426,A 2425; AA 2425,"The European Magazine, vol. 5, p. 373"
990002867,A 2874,"Journal de musique pour les dames, No. 49"
990002870,A 2877; AA 2877,"Magazin de Musique des Théâtres, No. 63"
990002935,A 2946,"Raccolta dell'harmonia, collezzione cinquantesima nona del magazino musicale"
990003148,B 184,"The Christian's Magazine, 1765"
990003255,B 296; BB 296,"Piano-Forte Magazine, vol. III, No. 6"
990003330,B 373,"Piano-Forte Magazine, vol. XIII, No. 2"
990003408,B 454; BB 454,Musikalische Kunstwerke im Strengen Style von J. S. Bach und andern Meistern
990003435,B 481; BB 481,"Œuvres complettes de Jean Sebastien Bach, Cah. III"
990003447,B 493; BB 493,Musikalische Kunstwerke im Strengen Style von J. S. Bach und andern Meistern
990003449,B 495; BB 495,"Œuvres complettes de Jean Sebastien Bach, Cah. II"
990003453,B 499; BB 499,Musikalische Kunstwerke im Strengen Style von J. S. Bach und andern Meistern
990003469,B 515; BB 515,"Œuvres complettes de Jean Sebastien Bach, Cah. VIII"
990003476,B 523; BB 523,Musikalische Kunstwerke im Strengen Style von J. S. Bach und andern Meistern
990003491,B 538,Carmina gratulatoria in honorem ... Balthasaris Borschij Bruckebellani
990003606,B 655,"The Lady's Magazine, Dec., 1755"
990003607,B 656,"The Ladies Companion, p. 72"
990003611,B 662; BB 662,"The London Magazine, 1766, p. 261"
990003613,B 666,"The Lady's Magazine, March, 1788"
990003615,B 672,"Universal Visiter and Monthly Memorialist, July, 1756"
990003618,B 676; BB 676,"London Magazine, 1763"
990003619,B 677; BB 677,"Universal Magazine, vol. 34"
990003620,B 679,The Ladies Companion
990003621,B 680,"Universal Visiter and Monthly Memorialist, Oct. 1756"
990003622,B 681,"Universal Visiter and Monthly Memorialist, March, 1756"
990003623,B 683; BB 683,"Universal Magazine, 7"
990003627,B 687,The Ladies Companion
990003632,B 692,"Bland's collection of Divine Music, no. 7"
990003651,B 711; BB 711,"The Universal Magazine, vol. 27"
990003722,B 784; BB 784,Tablettes de Polymnie ... 20 février. 1811
990003781,B 845; BB 845,Cartella musicale ... |11601; Cartella musicale ... |21610; Cartella musicale ... |31614
990003782,B 846,Cartella musicale ...
990003783,B 847,Cartella musicale ...
990003843,B 908,"Raccolta dell'harmonia, collezzione trentezima quinta del magazino musicale"
990003848,B 913,The Ladies Companion
990003892,B 985; BB 985,"The London Magazine, April, 1772"
990003933,B 1105; BB 1105,"The European Magazine, vol. 4, p. 470"
990004086,B 1266; BB 1266,"The Lady's Magazine, Nov., 1794"
990004123,B 1308; BB 1308,"The London Magazine, 1760"
990004128,B 1319,The Juvenile Magazine
990004145,B 1338,Die andre Leich Predigt ... uber den ... seligen Abgang ... Veit Ludwigs von Hutten ... gehalten ... den 1. Augusti Anno 1655
990004146,B 1339,Meßianisches Wunder-Pflaster ... bey ... Leichbegängnis ... Johannis Petri Francken ... den 3. Iunii 1670
990004183,B 1378,I. N. SS. T. D. A. Jesus vera panacea ad vitam aeternam ... Christliche Leichpredigt ... bey ... Leichbestatung der ... Frauen Margarethen von und geborner Zabiltitzin ... welche den 12. April ... des 1663. Iahrs ... entschlaffen
990004258,B 1458,"Mercure de France, juillet 1727"
990004260,B 1460,"Recueil général des opéra bouffons ... tome 2, 1770"
990004264,B 1464; BB 1464,Journal d'orgue à l'usage des paroisses et communautés religieuses ... No. 1
990004265,B 1465,"Journal d'orgue, No. 2"
990004266,B 1466; BB 1466,"Journal d'orgue, No. 3"
990004268,B 1468; BB 1468,"Journal d'orgue, No. 4"
990004269,B 1469; BB 1469,"Journal d'orgue, No. 5"
990004271,B 1471,"Journal d'orgue, No. 6"
990004272,B 1472; BB 1472,"Journal d'orgue, No. 7"
990004274,B 1474,"Journal d'orgue, No. 8"
990004275,B 1475; BB 1475,"Journal d'orgue, No. 9"
990004277,B 1477; BB 1477,"Journal d'orgue, No. 10"
990004278,B 1478; BB 1478,"Journal d'orgue, No. 11"
990004280,B 1480; BB 1480,"Journal d'orgue, No. 12"
990004324,B 1524; BB 1524,Christliche Leichpredigt ... Johann Andreä ... den 4. Maji 1659 ... entschlaffen
990004334,B 1534,"Abgrund der seligmachenden Liebe Gottes, bey ... Leichbestattung, der ...Fr. Elisabethen ... Wegerich, [Titel an:]"
990004442,B 1645,"Selige Sterb-Kunst, gezeiget ... bey ... Leich-Bestattung des ... Herrn Michael Sommerls ... welcher am 13. Octobr. anno 1675 ... entschlaffen"
990004443,B 1646,Leben und Labung in Creutzes-Tod ... als der ... Herr Iohan Georg Würth ... nachdem er den 19. April dieses 1676ten Iahrs ... entschlaffen ... zu ... Ruhe gebracht wurde ... betrachtet
990004444,B 1647,I. N. J. Gottes Gnaden-Angedencken ... bey ... Leich-Bestattung des ... Herrn Matthaei Schmollii ... welcher ... den 30. Julij dises 1675. Iahrs ... entschlaffen
990004596,B 1801,"Mercure de France, 1776"
990004729,B 1935,"Raccolta dell'harmonia, collezzione decima del magazino musicale"
990004947,B 2155,"Mercure de France, 1771"
