001,852$a,856$u,856$x,856$z
00000990008490,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/1286,Digitalization,Digitized copy
00000990031535,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/25746,Digitalization,Digitized copy
00000990005730,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/30093,Digitalization,Digitized copy
00000990053211,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/30701,Digitalization,Digitized copy
00000990001809,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/30815,Digitalization,Digitized copy
00000990005027,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/34048,Digitalization,Digitized copy
00000990022996,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/35124,Digitalization,Digitized copy
00000990023062,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/35670,Digitalization,Digitized copy
00000990023132,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/36203,Digitalization,Digitized copy
00000990023174,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/36538,Digitalization,Digitized copy
00000990023250,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/37129,Digitalization,Digitized copy
00000990023365,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/37354,Digitalization,Digitized copy
00000990026453,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/37974,Digitalization,Digitized copy
00000990032348,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/40087,Digitalization,Digitized copy
00000990035995,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/40726,Digitalization,Digitized copy
00000990036275,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/40793,Digitalization,Digitized copy
00000990037648,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/41099,Digitalization,Digitized copy
00000990037663,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/41451,Digitalization,Digitized copy
00000990037869,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/42137,Digitalization,Digitized copy
00000990037901,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/42546,Digitalization,Digitized copy
00000990039770,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/43169,Digitalization,Digitized copy
00000990040448,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/43499,Digitalization,Digitized copy
00000990041664,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/45509,Digitalization,Digitized copy
00000990041840,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/45755,Digitalization,Digitized copy
00000990041859,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/45951,Digitalization,Digitized copy
00000990013262,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/46434,Digitalization,Digitized copy
00000990041470,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/47138,Digitalization,Digitized copy
00000990014020,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/47366,Digitalization,Digitized copy
00000990019436,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/47437,Digitalization,Digitized copy
00000990012464,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/47866,Digitalization,Digitized copy
00000990023303,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/48479,Digitalization,Digitized copy
00000990013700,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/50190,Digitalization,Digitized copy
00000990023029,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/51257,Digitalization,Digitized copy
00000990023041,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/51401,Digitalization,Digitized copy
00000990019858,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/52770,Digitalization,Digitized copy
00000990021772,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/53818,Digitalization,Digitized copy
00000990021871,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/54451,Digitalization,Digitized copy
00000990021969,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/54678,Digitalization,Digitized copy
00000990023164,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/55082,Digitalization,Digitized copy
00000990023323,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/55226,Digitalization,Digitized copy
00000990023344,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/55370,Digitalization,Digitized copy
00000990041719,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/56025,Digitalization,Digitized copy
00000990008505,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/56964,Digitalization,Digitized copy
00000991015744,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/59212,Digitalization,Digitized copy
00000991015820,US-Su,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/mm/id/59606,Digitalization,Digitized copy
00000990023117,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/36011,Digitalization,Digitized copy
00000990023151,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/36342,Digitalization,Digitized copy
00000990023220,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/36977,Digitalization,Digitized copy
00000990036306,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/40818,Digitalization,Digitized copy
00000990038593,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/42875,Digitalization,Digitized copy
00000990039053,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/42963,Digitalization,Digitized copy
00000990021870,US-Su,https://cdm16786.contentdm.oclc.org/digital/collection/mm/id/62471,Digitalization,Digitized copy
00000990001747,US-Su,https://hdl.handle.net/2027/wau.39352026303560,Digitalization,Digitized copy
00000990024709,US-Su,https://hdl.handle.net/2027/wau.39352026424192,Digitalization,Digitized copy
00000990014331,US-Su,https://hdl.handle.net/2027/wau.39352027234947,Digitalization,Digitized copy
00000990001617,US-Su,https://hdl.handle.net/2027/wau.39352027251552,Digitalization,Digitized copy
00000990001621,US-Su,https://hdl.handle.net/2027/wau.39352027251552,Digitalization,Digitized copy
00000990053592,US-Su,https://hdl.handle.net/2027/wau.39352027254523,Digitalization,Digitized copy
00000990053550,US-Su,https://hdl.handle.net/2027/wau.39352027296862,Digitalization,Digitized copy
00000990038122,US-Su,https://hdl.handle.net/2027/wau.39352027315407,Digitalization,Digitized copy
00000990002255,US-Su,https://hdl.handle.net/2027/wau.39352027329804,Digitalization,Digitized copy
00000990001582,US-Su,https://hdl.handle.net/2027/wau.39352027329978,Digitalization,Digitized copy
00000990001858,US-Su,https://hdl.handle.net/2027/wau.39352027329978,Digitalization,Digitized copy
00000990008950,US-Su,https://hdl.handle.net/2027/wau.39352028104370,Digitalization,Digitized copy
00000990002326,US-Su,https://hdl.handle.net/2027/wau.39352028104396,Digitalization,Digitized copy
00000990008953,US-Su,https://hdl.handle.net/2027/wau.39352028104420,Digitalization,Digitized copy
00000990004647,US-Su,https://hdl.handle.net/2027/wau.39352028104503,Digitalization,Digitized copy
00000990029360,US-Su,https://hdl.handle.net/2027/wau.39352028104727,Digitalization,Digitized copy
00000990038115,US-Su,https://hdl.handle.net/2027/wau.39352028104990,Digitalization,Digitized copy
00000990053559,US-Su,https://hdl.handle.net/2027/wau.39352028105831,Digitalization,Digitized copy
00000990052377,US-Su,https://hdl.handle.net/2027/wau.39352028106557,Digitalization,Digitized copy
00000990014400,US-Su,https://hdl.handle.net/2027/wau.39352058957028,Digitalization,Digitized copy
