1	856$u	856$x	856$z	852$c
993103951	http://hdl.loc.gov/loc.music/muspre1800.101255	Digitized	Digital copy	MT640.J9 Case 
993104150	http://hdl.loc.gov/loc.music/muspre1800.101576	Digitized	Digital copy	MT640.N3 Case 
993104216	https://loc.gov/item/ihas.200196631	Digitized	Digital copy	M1490.M89 Case 
993104309	http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200154789/default.html	Digitized	Digital copy	M1490.V5 D7 1541 Case
993104376	http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200154764/default.html	Digitized	Digital copy	M1490.M982 Case 
993120056	http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200196622/default.html	Digitized	Digital copy	M1490.L68 Case
993120100	https://loc.gov/item/ihas.200196622	Digitized	Digital copy	M1490.L68 Case
993120111	https://loc.gov/item/ihas.200196622	Digitized	Digital copy	M1490.L68 Case
993120118	https://loc.gov/item/ihas.200196622	Digitized	Digital copy	M1490.L68 Case
993120119	https://loc.gov/item/ihas.200196622	Digitized	Digital copy	M1490.L68 Case
993120100	https://loc.gov/item/ihas.200196622	Digitized	Digital copy	M1490.L68 Case
993120150	https://loc.gov/item/ihas.200196622	Digitized	Digital copy	M1490.L68 Case
993120216	https://loc.gov/item/ihas.200154765	Digitized	Digital copy	M1490.N93 Case
993120221	https://loc.gov/item/ihas.200182359	Digitized	Digital copy	M1490.N93 Case
993120232	https://loc.gov/item/ihas.200182423	Digitized	Digital copy	M1490.N93 Case
993120254	https://loc.gov/item/ihas.200154749	Digitized	Digital copy	M1490.L3 M25 Case
993120281	https://loc.govtes:/item/ihas.200154788	Digitized	Digital copy	M1490.V5 Case
990006450	https://www.loc.gov/resource/ihas.200215672.0/?sp=1	Digitized	Digital copy	M140.I5 1563 Case 
993120329	https://www.loc.gov/item/2014572364/	Digitized	Digital copy	M140.I5 1563 Case
990018166	https://loc.gov/item/ihas.200196609	Digitized	Digital copy	M1490.F52 Case
990019411	http://hdl.loc.gov/loc.music/muspre1800.100138	Digitized	Digital copy	MT640.G25 Case
993120804	https://www.loc.gov/item/2008561309/	Digitized	Digital copy	M1490.P76 Case 
993120941	https://loc.gov/item/ihas.200154786	Digitized	Digital copy	M1490 .T82 Case
990014894	http://hdl.loc.gov/loc.music/muspre1800.100422	Digitized	Digital copy	MT182.D46 Case
993121045	https://www.loc.gov/item/ihas.200198159/ 	Digitized	Digital copy	M1490.L55 Case
990053443	http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200154770/default.html	Digitized	Digital copy	M1490.R15 C3 Case
993121310	http://hdl.loc.gov/loc.music/muspre1800.100746	Digitized	Digital copy	MT640.D7 Case
990004710	https://www.loc.gov/item/m 55001229/	Digitized	Digital copy	M1490.B48 M82 1613 Case
990018851	https://www.loc.gov/item/2013568557/	Digitized	Digital copy	M1490.F822 Case
993121461	https://www.loc.gov/item/2011567025/	Digitized	Digital copy	M1490.B51 N7 Case
993121470	http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200196598/default.html	Digitized	Digital copy	M1490.B7 Case
993121539	https://loc.gov/item/ihas.200154781	Digitized	Digital copy	M1490.S778 A3 Case
990014899	http://hdl.loc.gov/loc.music/muspre1800.101737	Digitized	Digital copy	MT182.A2 D46 Case
990014897	http://hdl.loc.gov/loc.music/muspre1800.101737	Digitized	Digital copy	MT182.A2 D46 Case 
990007594	https://www.loc.gov/item/2011567142/	Digitized	Digital copy	M1490.B87 Case
1000000108	https://www.loc.gov/item/2010456606/	Digitized	Digital copy	M1490.E17 G4 Case
993121844	https://www.loc.gov/item/2008575478/	Digitized	Digital copy	M1490.M185 S2 Case
993121909	http://hdl.loc.gov/loc.music/muspre1800.101242	Digitized	Digital copy	MT590.P5 Case  
990038301	http://hdl.loc.gov/loc.music/muspre1800.101874	Digitized	Digital copy	MT49.A2 L6 Case
993121980	http://hdl.loc.gov/loc.music/muspre1800.101553	Digitized	Digital copy	MT224.P65 Case
990010676	https://www.loc.gov/item/2011563106/	Digitized	Digital copy	M1490.C67 Case
