Link,ID,593a,593b,510a,510c,THE ONLY ONE,,Notes,More notes
https://muscat.rism.info/admin/sources/1001109597,1001109597,Print,Notated music,A/I,E 668; EE 668,A-Ssm,[no indication],Use as 588,
https://muscat.rism.info/admin/sources/1001051568,1001051568,Print,Notated music,A/I,deest (Entfallene),CZ-Pu,[no indication],Use as 588,
https://muscat.rism.info/admin/sources/1001024780,1001024780,Print,Notated music,B/I,1543|7,D-Mbs,Rar. 900-1/35,Use as 588,
https://muscat.rism.info/admin/sources/1001034790,1001034790,Print,Notated music,B/VI,"vol.2, p.901",D-Fschneider,Mus 078,Use as 588,
https://muscat.rism.info/admin/sources/1001034793,1001034793,Print,Notated music,B/VI,"vol.2, p.539",D-Fschneider,Mus 079,Use as 588,
https://muscat.rism.info/admin/sources/1001034795,1001034795,Print,Notated music,B/VI,"vol.1, p.179",D-Fschneider,Mus 080,Use as 588,
https://muscat.rism.info/admin/sources/1001035765,1001035765,Print,Notated music,B/VI,"vol. 2, p.586",D-Fschneider,Mus 136,Use as 588,
https://muscat.rism.info/admin/sources/1001106990,1001106990,Print,Notated music,RISM A/I,V 657,XX-NN,[no indication],Use as 588,
https://muscat.rism.info/admin/sources/1000000007,1000000007,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 90,,
https://muscat.rism.info/admin/sources/1000000008,1000000008,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 130,,
https://muscat.rism.info/admin/sources/1000000010,1000000010,Print,Notated music,RISM A/I,,PL-Kj,mus.ant.pract. A 138,,
https://muscat.rism.info/admin/sources/1000000011,1000000011,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 210,,
https://muscat.rism.info/admin/sources/1000000012,1000000012,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 225,,
https://muscat.rism.info/admin/sources/1000000013,1000000013,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 285,,
https://muscat.rism.info/admin/sources/1000000014,1000000014,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 305,,
https://muscat.rism.info/admin/sources/1000000015,1000000015,Print,Notated music,RISM A/I,,RUS-SPk,"XVIII-I A-466, Инв. № 1988 ИКФ",,
https://muscat.rism.info/admin/sources/1000000017,1000000017,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 400,,
https://muscat.rism.info/admin/sources/1000000018,1000000018,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 590,,
https://muscat.rism.info/admin/sources/1000000019,1000000019,Print,Notated music,RISM A/I,,PL-Kj,Mus.ant.pract. A 600,,
