"Komponist","Einordnungstitel","RISM Dokumentnummer","Signatur 852 $c"
"Abbeille, Ludwig","2 Sonatas",990000036,"Abeille 1"
"Abel, Carl Friedrich","6 Symphonies",990000072,"Abel 1"
"Abingdon, Wiloughby Bertie","Cantatas",990000155,"Abingdon 1"
"Ahlefeldt, Maria Theresia","Telemak på Calypsos Øe",990000503,"PrD mus. 1"
"Albinoni, Tomaso","Symphonies",990000707,"F.K. Mus. 15./16. II. Abtheilung"
"Alexandre, Charles Guillaume","Le Petit-Maître en province",990000841,"Alexandre 1"
"Amon, Johannes","3 Symphonies",990000968,"Amon 1"
"Amon, Johannes","Symphonies",990000969,"Amon 2"
"André, Johann","Der Töpfer",990001050,"André 1/I"
"André, Johann","Lenore",990001066,"André 5/I"
"Anet, Jean-Baptiste","Sonatas",990001128,"F.K. Mus. 75 II. Abth."
"Anonymus","Songs",990071540,"Inc. VI/3"
"Anonymus","Stage music",991011208,"Inc. VIIa/6"
"Anonymus","3 Quartets",992004399,"Inc. IIIa/9"
"Asola, Giovanni Matteo","Masses",990002577,"F.K. Mus. 36/2"
"Asola, Giovanni Matteo","Le Vergini",990002610,"F.K. Mus. 27.28./5"
"Audinot, Nicolas-Médard","Le Tonnelier",990002840,"Gossec 16"
"Bach, Carl Philipp Emanuel","4 Symphonies",990003023,"C. P. E. Bach 1"
"Backofen, Johann Georg Heinrich","Concertos",990003539,"Backofen 1"
"Banchieri, Adriano","Fantasies",990003774,"F.K. Mus. 103/1"
"Baumbach, Friedrich August","Theresens Klagen über den Tod ihrer unglücklichen Mutter Maria Antonia",990004163,"Baumbach 1"
"Beecke, Ignaz von","Chansons",990004419,"Beecke 25"
"Benda, Georg","Der Holzhauer",990004671,"Benda 4"
"Benda, Georg","Medea",990004673,"Benda 2/I"
"Blaise, Adolphe-Benoît ","Isabelle et Gertrude",990005561,"Blaise 1"
"Bon, Anna Lucia","6 Sonatas",990006157,"A. Bon 1"
"Bon, Anna Lucia","Sonatas",990006158,"A. Bon 2"
"Boutmy, Guillaume","Sonatas",990006621,"Boutmy 1"
"Brandl, Johann Evangelist","Symphonies",990006867,"Brandl 1"
"Brandl, Johann Evangelist","6 Quintets",990006870,"Brandl 4"
"Brandl, Johann Evangelist","Quintets",990006872,"Brandl 5"
"Cambini, Giuseppe","Symphonies concertantes",990008106,"Cambini 2"
"Cambini, Giuseppe","Symphonies concertantes",990008124,"Cambini 3"
"Cambini, Giuseppe","3 Quartets",990008214,"Cambini 4"
"Cannabich, Carl August","Orfeo",990008602,"Cannabich 4"
