ACNR,TITEL,AUTOR,LIBRETTIST,JAHR,BARCODE,SIGNATUR,IMAGES,LINK_ALMA,LINK_ASTOR,
AC13908214,<<Il>> sacrificio di Noe,"Perroni, Giovanni","Stampiglia, Silvio",1722,+Z95048801,Mus.Hs.18209,286,https://data.onb.ac.at/rec/AC13908214,https://data.onb.ac.at/dtl/2588804, 
AC13908279,Rosinda ed Emiremo,"Perti, Giacomo Antonio","Arcoleo, Antonio",[ohne Jahresangabe],+Z95048606,Mus.Hs.17714,305,https://data.onb.ac.at/rec/AC13908279,https://data.onb.ac.at/dtl/2226669,
AC13908546,Laudate pueri,"Fux, Johann Joseph",,[ohne Jahresangabe],+Z95054709,Mus.Hs.16961,56,https://data.onb.ac.at/rec/AC13908546,https://data.onb.ac.at/dtl/9389792,
AC13909634,<<La>> speranza assicurata,"Reutter, Georg","Pasquini, Giovanni Claudio",1736,+Z95057504,Mus.Hs.17980,326,https://data.onb.ac.at/rec/AC13909634,https://data.onb.ac.at/dtl/2324003,
AC13909635,<<La>> speranza assicurata,"Reutter, Georg","Pasquini, Giovanni Claudio",1736,+Z95057607,Mus.Hs.17981,131,https://data.onb.ac.at/rec/AC13909635,https://data.onb.ac.at/dtl/2324658,
AC13925505,Dafne in Alloro,"Conti, Ignazio",,[ohne Jahresangabe],+Z9514050X,Mus.Hs.17527,206,https://data.onb.ac.at/rec/AC13925505,https://data.onb.ac.at/dtl/2803190,
AC13928774,David Umiliato,"Caldara, Antonio","Zeno, Apostolo",1731,+Z95141205,Mus.Hs.17132,366,https://data.onb.ac.at/rec/AC13928774,https://data.onb.ac.at/dtl/8923228,
AC13929121,"Giunio Bruto, ouero La caduta de Tarquinii","Cesarini, Carlo Francesco",,[1711],+Z95141904,Mus.Hs.16692,326,https://data.onb.ac.at/rec/AC13929121,https://data.onb.ac.at/dtl/2806021,
AC13930089,Dialogo fra Pallade e Marte,"Grimani, Maria Margharita",,1713,+Z95142805,Mus.Hs.17741,78,https://data.onb.ac.at/rec/AC13930089,https://data.onb.ac.at/dtl/5770257,
AC13938810,"Abgesungene Betrachtungen uber etwelche Geheimnüssen, des büttern Leyden und Sterbens Jesu Khristy. Bey dem, in der Jaromeridzer-Pfarrkirchen befindlichen heiligen Grab. Am Charfreytag, den 11. Aprill, 1727, Vormittag nach der Passion-Predig musikalisch vorgestelt.","Míča, František Antonín",,1727,+Z95074307,Mus.Hs.18145,65,https://data.onb.ac.at/rec/AC13938810,https://data.onb.ac.at/dtl/2432684,
AC13938821,L'Origine di Jaromeriz in Moravia,"Míča, František Václav","Blinoni, Nicodemo",1730,+Z95074204,Mus.Hs.17952,202,https://data.onb.ac.at/rec/AC13938821,https://data.onb.ac.at/dtl/5774969,
AC13940030,Dialoghetto. Osmino e Fileno.,Unbekannt,,[ohne Jahresangabe],+Z104610608,Mus.Hs.18317,57,https://data.onb.ac.at/rec/AC13940030,https://data.onb.ac.at/dtl/2558372,
AC14003062,"Dixit, et Confitebor. à 4. Voci, e 2. Violini in Conc: [Stimmen: S., A., T., B., S. Rip., A. Rip., T. Rip., B. Rip., Vl. I, Vl. II, Cornetto Rip., Alto Trombone Rip., Tenore Trombone Rip., Fagotto Rip., Vcl., Violone, Organo, M.D.C.]","Fux, Johann Joseph",,[ohne Jahresangabe],+Z104618802,Mus.Hs.17399,73,https://data.onb.ac.at/rec/AC14003062,https://data.onb.ac.at/dtl/2928193,
AC14003064,"Dixit, et Confitebor. à 4. Voci, e 2. Violini in Conc: [Stimmen: Soprano Conc.to, Alto Conc.to., Tenore Conc.to., Basso. Conc.to., Soprano Rip., Alto Rip., Tenore Rip., Basso Rip., Vl. I, Vl. II, Cornetto Rip., Trombone I Rip., Trombone II Rip., Fagotto Rip., Vcl., Violone, Organo, M:D:C:]","Fux, Johann Joseph",,[ohne Jahresangabe],+Z104618905,Mus.Hs.17369,61,https://data.onb.ac.at/rec/AC14003064,https://data.onb.ac.at/dtl/2928342,
AC14003427,La Morte d'Abel.,"Caldara, Antonio","Metastasio, Pietro",1732,+Z104619909,Mus.Hs.18146,314,https://data.onb.ac.at/rec/AC14003427,https://data.onb.ac.at/dtl/2979280,
AC14003557,Madalena à Piedi di Christo. [Maddalena ai Piedi di Cristo.],"Caldara, Antonio",,1713,+Z10462050X,Mus.Hs.17101,262,https://data.onb.ac.at/rec/AC14003557,https://data.onb.ac.at/dtl/2967298,
AC14003559,Madalena a Piedi di Christo. [Maddalena ai Piedi di Cristo.],"Caldara, Antonio",,1713,+Z104620602,Mus.Hs.17102/1,37,https://data.onb.ac.at/rec/AC14003559,https://data.onb.ac.at/dtl/2967825,
AC14003559,Madalena a Piedi di Christo. [Maddalena ai Piedi di Cristo.],"Caldara, Antonio",,1713,+Z104620705,Mus.Hs.17102/2,37,https://data.onb.ac.at/rec/AC14003559,https://data.onb.ac.at/dtl/2967902,
AC14003559,Madalena a Piedi di Christo. [Maddalena ai Piedi di Cristo.],"Caldara, Antonio",,1713,+Z104620900,Mus.Hs.17102/3,25,https://data.onb.ac.at/rec/AC14003559,https://data.onb.ac.at/dtl/2968032,
AC14003559,Madalena a Piedi di Christo. [Maddalena ai Piedi di Cristo.],"Caldara, Antonio",,1713,+Z104620808,Mus.Hs.17102/4,25,https://data.onb.ac.at/rec/AC14003559,https://data.onb.ac.at/dtl/2967979,
AC14003628,La Gara delle Virtu.,"Perroni, Giovanni","Arrighini, Domenicano",1721,+Z104621709,Mus.Hs.18211,172,https://data.onb.ac.at/rec/AC14003628,https://data.onb.ac.at/dtl/2968234,
AC14003649,Pastorale à Due Voci.,"Caldara, Antonio","Pasquini, Giovanni Claudio",1726,+Z104622003,Mus.Hs.17645,82,https://data.onb.ac.at/rec/AC14003649,https://data.onb.ac.at/dtl/4820739,
AC14003906,L'Angelica.,"Porpora, Nicola",,1720,+Z104622805,Mus.Hs.17050/1,170,https://data.onb.ac.at/rec/AC14003906,https://data.onb.ac.at/dtl/2996537,
AC14003906,L'Angelica.,"Porpora, Nicola",,1720,+Z104622702,Mus.Hs.17050/2,170,https://data.onb.ac.at/rec/AC14003906,https://data.onb.ac.at/dtl/2996194,
AC14003907,Sedecia.,"Caldara, Antonio","Zeno, Apostolo",1732,+Z104623007,Mus.Hs.17105,306,https://data.onb.ac.at/rec/AC14003907,https://data.onb.ac.at/dtl/2997367,
AC14003910,La Morte d'Abel,"Caldara, Antonio","Metastasio, Pietro",1732,+Z104622908,Mus.Hs.18202,242,https://data.onb.ac.at/rec/AC14003910,https://data.onb.ac.at/dtl/2996880,
AC14003911,Idaspe.,"Broschi, Riccardo",,1730,+Z10462310X,Mus.Hs.18281,386,https://data.onb.ac.at/rec/AC14003911,https://data.onb.ac.at/dtl/2997982,
AC14006649,Medea Riconosciuta,"Vinci, Leonardo","Frugoni, Carlo Innocenzo",1736,+Z104627104,Mus.Hs.17945/1,206,https://data.onb.ac.at/rec/AC14006649,https://data.onb.ac.at/dtl/3092779,
AC14006649,Medea Riconosciuta,"Vinci, Leonardo","Frugoni, Carlo Innocenzo",1736,+Z104627001,Mus.Hs.17945/2,158,https://data.onb.ac.at/rec/AC14006649,https://data.onb.ac.at/dtl/3092457,
AC14006649,Medea Riconosciuta,"Vinci, Leonardo","Frugoni, Carlo Innocenzo",1736,+Z104626902,Mus.Hs.17945/3,214,https://data.onb.ac.at/rec/AC14006649,https://data.onb.ac.at/dtl/3092026,
AC14007306,Il nome piu glorioso.,"Caldara, Antonio","Pariati, Pietro",1709,+Z104628303,Mus.Hs.18238,278,https://data.onb.ac.at/rec/AC14007306,https://data.onb.ac.at/dtl/3097030,
AC14007309,Il Nome piu glorioso,"Caldara, Antonio",,1709,+Z104628200,Mus.Hs.18239/1,33,https://data.onb.ac.at/rec/AC14007309,https://data.onb.ac.at/dtl/3096961,
AC14007309,Il Nome piu glorioso,"Caldara, Antonio",,1709,+Z104628108,Mus.Hs.18239/2,33,https://data.onb.ac.at/rec/AC14007309,https://data.onb.ac.at/dtl/3096892,
AC14007309,Il Nome piu glorioso,"Caldara, Antonio",,1709,+Z104628005,Mus.Hs.18239/3,21,https://data.onb.ac.at/rec/AC14007309,https://data.onb.ac.at/dtl/3096847,
AC14007309,Il Nome piu glorioso,"Caldara, Antonio",,1709,+Z104628406,Mus.Hs.18239/4,49,https://data.onb.ac.at/rec/AC14007309,https://data.onb.ac.at/dtl/3097589,
AC14008699,Cantate,"Ariosti, Attilio",,[ohne Jahresangabe],+Z10460010X,Mus.Hs.17591,114,https://data.onb.ac.at/rec/AC14008699,https://data.onb.ac.at/dtl/3133790,
AC14013756,"Mysteria gaudiosa beatae Mariae virginis, quaternis vocibus comitante organo concinenda","Fux, Johann Joseph",,[1719],+Z146033104,Mus.Hs.16756,54,https://data.onb.ac.at/rec/AC14013756,https://data.onb.ac.at/dtl/3580168,
AC14015591,Il Batista.,"Caldara, Antonio","Zeno, Apostolo",1727,+Z104635502,Mus.Hs.18143,390,https://data.onb.ac.at/rec/AC14015591,https://data.onb.ac.at/dtl/3313651,
AC14017059,Il Temistocle.,"Caldara, Antonio","Metastasio, Pietro",1736,+Z10463540X,Mus.Hs.17182/1,238,https://data.onb.ac.at/rec/AC14017059,https://data.onb.ac.at/dtl/3337459,
AC14017059,Il Temistocle.,"Caldara, Antonio","Metastasio, Pietro",1736,+Z104635204,Mus.Hs.17182/2,250,https://data.onb.ac.at/rec/AC14017059,https://data.onb.ac.at/dtl/3352528,
AC14017059,Il Temistocle.,"Caldara, Antonio","Metastasio, Pietro",1736,+Z104635307,Mus.Hs.17182/3,180,https://data.onb.ac.at/rec/AC14017059,https://data.onb.ac.at/dtl/3340461,
AC14017060,Euristeo.,"Caldara, Antonio","Zeno, Apostolo",1724,+Z104635101,Mus.Hs.17184/1,166,https://data.onb.ac.at/rec/AC14017060,https://data.onb.ac.at/dtl/3348483,
AC14017060,Euristeo.,"Caldara, Antonio","Zeno, Apostolo",1724,+Z104635009,Mus.Hs.17184/2,154,https://data.onb.ac.at/rec/AC14017060,https://data.onb.ac.at/dtl/3344590,
AC14017060,Euristeo.,"Caldara, Antonio","Zeno, Apostolo",1724,+Z10463490X,Mus.Hs.17184/3,172,https://data.onb.ac.at/rec/AC14017060,https://data.onb.ac.at/dtl/3341726,
AC14017061,Il Temistocle,"Caldara, Antonio","Metastasio, Pietro",1736,+Z104636907,Mus.Hs.17183/1,66,https://data.onb.ac.at/rec/AC14017061,https://data.onb.ac.at/dtl/3353086,
AC14017061,Il Temistocle,"Caldara, Antonio","Metastasio, Pietro",1736,+Z104637109,Mus.Hs.17183/2,62,https://data.onb.ac.at/rec/AC14017061,https://data.onb.ac.at/dtl/3346627,
AC14017061,Il Temistocle,"Caldara, Antonio","Metastasio, Pietro",1736,+Z104634807,Mus.Hs.17183/3,34,https://data.onb.ac.at/rec/AC14017061,https://data.onb.ac.at/dtl/3347554,
AC14017061,Il Temistocle,"Caldara, Antonio","Metastasio, Pietro",1736,+Z104637006,Mus.Hs.17183/4,42,https://data.onb.ac.at/rec/AC14017061,https://data.onb.ac.at/dtl/3351509,
AC14017062,Scipione nelle Spagne,"Caldara, Antonio","Zeno, Apostolo",1722,+Z104638709,Mus.Hs.18220/1,226,https://data.onb.ac.at/rec/AC14017062,https://data.onb.ac.at/dtl/3351017,
AC14017062,Scipione nelle Spagne,"Caldara, Antonio","Zeno, Apostolo",1722,+Z104638606,Mus.Hs.18220/2,198,https://data.onb.ac.at/rec/AC14017062,https://data.onb.ac.at/dtl/3345722,
AC14017062,Scipione nelle Spagne,"Caldara, Antonio","Zeno, Apostolo",1722,+Z104638503,Mus.Hs.18220/3,200,https://data.onb.ac.at/rec/AC14017062,https://data.onb.ac.at/dtl/3376332,
AC14017063,Semiramide in Ascalona,"Caldara, Antonio","Zeno, Apostolo",1725,+Z104638400,Mus.Hs.18227/1,76,https://data.onb.ac.at/rec/AC14017063,https://data.onb.ac.at/dtl/3348829,
AC14017063,Semiramide in Ascalona,"Caldara, Antonio","Zeno, Apostolo",1725,+Z104638308,Mus.Hs.18227/2,66,https://data.onb.ac.at/rec/AC14017063,https://data.onb.ac.at/dtl/3346754,
AC14017063,Semiramide in Ascalona,"Caldara, Antonio","Zeno, Apostolo",1725,+Z104638205,Mus.Hs.18227/3,48,https://data.onb.ac.at/rec/AC14017063,https://data.onb.ac.at/dtl/3342073,
AC14017063,Semiramide in Ascalona,"Caldara, Antonio","Zeno, Apostolo",1725,+Z104638102,Mus.Hs.18227/4,88,https://data.onb.ac.at/rec/AC14017063,https://data.onb.ac.at/dtl/3341530,
AC14017121,Ormisda.,"Caldara, Antonio","Zeno, Apostolo",1721,+Z10463800X,Mus.Hs.18253/1,260,https://data.onb.ac.at/rec/AC14017121,https://data.onb.ac.at/dtl/3342408,
AC14017121,Ormisda.,"Caldara, Antonio","Zeno, Apostolo",1721,+Z104637900,Mus.Hs.18253/2,274,https://data.onb.ac.at/rec/AC14017121,https://data.onb.ac.at/dtl/3339089,
AC14017121,Ormisda.,"Caldara, Antonio","Zeno, Apostolo",1721,+Z104637808,Mus.Hs.18253/3,262,https://data.onb.ac.at/rec/AC14017121,https://data.onb.ac.at/dtl/3338296,
AC14017131,Ifigenia in Aulide.,"Caldara, Antonio","Zeno, Apostolo",1718,+Z104640200,Mus.Hs.18255/1,244,https://data.onb.ac.at/rec/AC14017131,https://data.onb.ac.at/dtl/3353221,
AC14017131,Ifigenia in Aulide.,"Caldara, Antonio","Zeno, Apostolo",1718,+Z104640303,Mus.Hs.18255/2,210,https://data.onb.ac.at/rec/AC14017131,https://data.onb.ac.at/dtl/3347131,
AC14017131,Ifigenia in Aulide.,"Caldara, Antonio","Zeno, Apostolo",1718,+Z104640108,Mus.Hs.18255/3,200,https://data.onb.ac.at/rec/AC14017131,https://data.onb.ac.at/dtl/3343578,
AC14244046,Calcante ed Achille,"Porpora, Nicola",,[ohne Jahresangabe],+Z125346809,Mus.Hs.17654,74,https://data.onb.ac.at/rec/AC14244046,https://data.onb.ac.at/dtl/3425581,
AC14249055,Sedecia.,"Caldara, Antonio","Zeno, Apostolo",1732,+Z104658708,Mus.Hs.17069,426,https://data.onb.ac.at/rec/AC14249055,https://data.onb.ac.at/dtl/3655472,
AC14254802,Il Nascimento dell'Aurora,"Albinoni, Tomaso",,[1710],+Z104679505,Mus.Hs.17738,348,https://data.onb.ac.at/rec/AC14254802,https://data.onb.ac.at/dtl/4098803,
AC14254803,"Il nome glorioso in terra, santificato in cielo","Albinoni, Tomaso","Cassani, Vincenzo",1724,+Z19011040X,Mus.Hs.17730,176,https://data.onb.ac.at/rec/AC14254803,https://data.onb.ac.at/dtl/9369291,
AC14255648,Hymnus de sancta Theresia,Unbekannt,,[ohne Jahresangabe],+Z322208409,Mus.Hs.17513,24,https://data.onb.ac.at/rec/AC14255648,https://data.onb.ac.at/rep/1320009E,
AC14257846,La passione di Christo,"Ariosti, Attilio",,[1709],+Z194780307,Mus.Hs.17100,192,https://data.onb.ac.at/rec/AC14257846,https://data.onb.ac.at/dtl/5806175,
AC14257887,Oper ohne Titel,"Arrigoni, Carlo",,[ohne Jahresangabe],+Z190108404,Mus.Hs.17606,170,https://data.onb.ac.at/rec/AC14257887,https://data.onb.ac.at/dtl/9223788,
