# Logfile created on 2017-02-13 12:35:04 +0100 by logger.rb/44203
I, [2017-02-13T12:35:07.470232 #12085]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:36:57.262818 #12392]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:38:11.057101 #12606]  INFO -- : lab.rism: Size of collection --> 3907
I, [2017-02-13T12:38:18.079839 #12606]  INFO -- : lab.rism: Source #100137 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:38:41.814054 #12606]  INFO -- : lab.rism: Source #100138 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:39:02.781405 #12606]  INFO -- : lab.rism: Source #100150 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:39:19.435692 #12606]  INFO -- : lab.rism: Source #101751 add tag 500$a with content 'Commment on scoring: Coro: 8 V'
I, [2017-02-13T12:40:34.838734 #12606]  INFO -- : lab.rism: Source #107036 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:45.484625 #12606]  INFO -- : lab.rism: Source #107916 removed subfield $8 with 'Comment on scoring'
I, [2017-02-13T12:40:45.490610 #12606]  INFO -- : lab.rism: Source #100028792 add tag 500$a with content 'Commment on scoring: arp (cemb)'
I, [2017-02-13T12:40:45.510442 #12606]  INFO -- : lab.rism: Source #100500122 add tag 500$a with content 'Commment on scoring: bc: arp, cemb'
I, [2017-02-13T12:40:45.524195 #12606]  INFO -- : lab.rism: Source #100500261 add tag 500$a with content 'Commment on scoring: bc: acompañamiento'
I, [2017-02-13T12:40:45.527779 #12606]  INFO -- : lab.rism: Source #150201057 add tag 500$a with content 'Commment on scoring: bc: vlc, cemb'
I, [2017-02-13T12:40:45.537389 #12606]  INFO -- : lab.rism: Source #150201123 add tag 500$a with content 'Commment on scoring: no indication'
I, [2017-02-13T12:40:45.570687 #12606]  INFO -- : lab.rism: Source #150202791 add tag 500$a with content 'Commment on scoring: bc: org, cemb'
I, [2017-02-13T12:40:45.586540 #12606]  INFO -- : lab.rism: Source #150204801 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.597803 #12606]  INFO -- : lab.rism: Source #150205190 add tag 500$a with content 'Commment on scoring: bc: cemb'
I, [2017-02-13T12:40:45.601516 #12606]  INFO -- : lab.rism: Source #190006672 add tag 500$a with content 'Commment on scoring: fag (vlne)'
I, [2017-02-13T12:40:45.606346 #12606]  INFO -- : lab.rism: Source #190006745 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.609834 #12606]  INFO -- : lab.rism: Source #190006746 add tag 500$a with content 'Commment on scoring: bc: fag'
I, [2017-02-13T12:40:45.613193 #12606]  INFO -- : lab.rism: Source #190006747 add tag 500$a with content 'Commment on scoring: bc: vla'
I, [2017-02-13T12:40:45.617554 #12606]  INFO -- : lab.rism: Source #190006750 add tag 500$a with content 'Commment on scoring: bc: vla da gamba'
I, [2017-02-13T12:40:45.638181 #12606]  INFO -- : lab.rism: Source #190006754 add tag 500$a with content 'Commment on scoring: bc: theorbe, vlne'
I, [2017-02-13T12:40:45.655435 #12606]  INFO -- : lab.rism: Source #190006991 add tag 500$a with content 'Commment on scoring: bc: vla da gamba'
I, [2017-02-13T12:40:45.661176 #12606]  INFO -- : lab.rism: Source #190006994 add tag 500$a with content 'Commment on scoring: bc: vla da gamba'
I, [2017-02-13T12:40:45.667069 #12606]  INFO -- : lab.rism: Source #190006995 add tag 500$a with content 'Commment on scoring: bc: vla da gamba'
I, [2017-02-13T12:40:45.678683 #12606]  INFO -- : lab.rism: Source #190007982 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.685534 #12606]  INFO -- : lab.rism: Source #190008199 add tag 500$a with content 'Commment on scoring: bc: vla da gamba'
I, [2017-02-13T12:40:45.693493 #12606]  INFO -- : lab.rism: Source #190008284 add tag 500$a with content 'Commment on scoring: S or T'
I, [2017-02-13T12:40:45.704610 #12606]  INFO -- : lab.rism: Source #190008317 add tag 500$a with content 'Commment on scoring: fag (vlne)'
I, [2017-02-13T12:40:45.710108 #12606]  INFO -- : lab.rism: Source #190008744 add tag 500$a with content 'Commment on scoring: bc: cemb'
I, [2017-02-13T12:40:45.721667 #12606]  INFO -- : lab.rism: Source #190014105 add tag 500$a with content 'Commment on scoring: bc: org'
I, [2017-02-13T12:40:45.731213 #12606]  INFO -- : lab.rism: Source #190014144 add tag 500$a with content 'Commment on scoring: bc: fag, org'
I, [2017-02-13T12:40:45.752388 #12606]  INFO -- : lab.rism: Source #190014149 add tag 500$a with content 'Commment on scoring: bc: org'
