# Logfile created on 2018-01-29 09:45:31 +0100 by logger.rb/54362
I, [2018-01-29T09:45:31.956347 #29979]  INFO -- : lab.rism: Size of collection --> 2346
I, [2018-01-29T09:45:32.494864 #29979]  INFO -- : lab.rism: 112432: =240  10$aMr T$kMason's reel$mi$rA$04304291 --> Mr T. Mason's reel
I, [2018-01-29T09:45:32.873972 #29979]  INFO -- : lab.rism: 136652: =240  10$aMr$kShore's trumpet tune$mcemb$rD$03994319 --> Mr. Shore's trumpet tune
I, [2018-01-29T09:45:33.132465 #29979]  INFO -- : lab.rism: 141243: =240  10$aMr R$kCampbell of Shawfield's reel$mcemb$rB|b$04195055 --> Mr R. Campbell of Shawfield's reel
I, [2018-01-29T09:45:33.478218 #29979]  INFO -- : lab.rism: 141251: =240  10$aLady E$kLindsay's strathspey$mcemb$rB|b$04195056 --> Lady E. Lindsay's strathspey
I, [2018-01-29T09:45:33.765763 #29979]  INFO -- : lab.rism: 141281: =240  10$aMarch of the Cambridgeshire Lt$kdragoons$mcemb$rC$03996295 --> March of the Cambridgeshire Lt. dragoons
I, [2018-01-29T09:45:33.940675 #29979]  INFO -- : lab.rism: 150006299: =240  10$aSørgemusik til H$kM. Kong Christian VII$mCoro maschile, orch$04079464 --> Sørgemusik til H. M. Kong Christian VII
I, [2018-01-29T09:45:34.194711 #29979]  INFO -- : lab.rism: 150006300: =240  10$aSørgemusik til H$kM. Kong Christian VII$mCoro, orch$04079464 --> Sørgemusik til H. M. Kong Christian VII
I, [2018-01-29T09:45:34.494865 #29979]  INFO -- : lab.rism: 200022215: =240  10$aÉlégie harmonique sur la mort de son altesse royale M$kle prince$mpf$rf|x$04220225 --> Élégie harmonique sur la mort de son altesse royale M. le prince
I, [2018-01-29T09:45:34.874041 #29979]  INFO -- : lab.rism: 201008622: =240  10$aHocherhaben ist unser Gott$kArr?$mV (4), Coro, orch, bc$04334469 --> Hocherhaben ist unser Gott. Arr?
I, [2018-01-29T09:45:35.119721 #29979]  INFO -- : lab.rism: 201011879: =240  10$aAn C$kCilnius Mäcenas$mV (4)$03913453 --> An C. Cilnius Mäcenas
I, [2018-01-29T09:45:35.690949 #29979]  INFO -- : lab.rism: 211005642: =240  10$aMasses$kExcperts$mV (4)$03900051 --> Masses. Excperts
I, [2018-01-29T09:45:36.094791 #29979]  INFO -- : lab.rism: 211008730: =240  10$aDavid$kScetches$03923073 --> David. Scetches
I, [2018-01-29T09:45:36.269822 #29979]  INFO -- : lab.rism: 211010197: =240  10$aIntermezzo$kScetches$03958091 --> Intermezzo. Scetches
I, [2018-01-29T09:45:36.424153 #29979]  INFO -- : lab.rism: 211010198: =240  10$aDie ägyptische Helena$kScetches$04105917 --> Die ägyptische Helena. Scetches
I, [2018-01-29T09:45:36.782564 #29979]  INFO -- : lab.rism: 211011434: =240  10$aDie Liebe der Danae$kScetches$04039694 --> Die Liebe der Danae. Scetches
I, [2018-01-29T09:45:37.040170 #29979]  INFO -- : lab.rism: 212001840: =240  10$a27 Instrumental pieces$kArr.$morch$03906350 --> 27 Instrumental pieces. Arr.
I, [2018-01-29T09:45:37.278114 #29979]  INFO -- : lab.rism: 212008677: =240  10$aLa Risurrezione$kExceprts$mS, orch, b$04026170 --> La Risurrezione. Exceprts
I, [2018-01-29T09:45:37.924288 #29979]  INFO -- : lab.rism: 225007493: =240  10$aDie 15 Inventionen und 15 Sinfonien von J$kS. Bach$03967869 --> Die 15 Inventionen und 15 Sinfonien von J. S. Bach
I, [2018-01-29T09:45:38.232680 #29979]  INFO -- : lab.rism: 230008547: =240  10$aNon ti sdegnar o Filli$kArr.$mCoro$04081967 --> Non ti sdegnar o Filli. Arr.
I, [2018-01-29T09:45:38.563416 #29979]  INFO -- : lab.rism: 250009761: =240  10$aNon ti sdegnar o Filli$kArr.$mCoro$04081967 --> Non ti sdegnar o Filli. Arr.
I, [2018-01-29T09:45:38.899516 #29979]  INFO -- : lab.rism: 250012003: =240  10$aVariationen über ein Thema von F$kMax Anton$mvl (2), vlc$04294981 --> Variationen über ein Thema von F. Max Anton
I, [2018-01-29T09:45:39.257732 #29979]  INFO -- : lab.rism: 250013231: =240  10$aDer 150$kPsalm$mV (3), Coro, orch, org$04053039 --> Der 150. Psalm
I, [2018-01-29T09:45:39.632970 #29979]  INFO -- : lab.rism: 270002741: =240  10$aZar und Zimmermann$kExceprts$03905069 --> Zar und Zimmermann. Exceprts
I, [2018-01-29T09:45:39.799659 #29979]  INFO -- : lab.rism: 280000532: =240  10$aDer Ritter von St$kGeorges$03937184 --> Der Ritter von St. Georges
I, [2018-01-29T09:45:40.161729 #29979]  INFO -- : lab.rism: 280003220: =240  10$aSpanish overture No$k1$04098909 --> Spanish overture No. 1
I, [2018-01-29T09:45:40.303347 #29979]  INFO -- : lab.rism: 280004077: =240  10$aStoßt an$kJena soll leben$04233744 --> Stoßt an. Jena soll leben
I, [2018-01-29T09:45:40.736796 #29979]  INFO -- : lab.rism: 280007127: =240  10$aLohengrin$kExcertps$03908377 --> Lohengrin. Excertps
I, [2018-01-29T09:45:40.924686 #29979]  INFO -- : lab.rism: 290000406: =240  10$aHeiteres Vorspiel$kScetches$morch$04236513 --> Heiteres Vorspiel. Scetches
