# Logfile created on 2020-11-10 11:49:37 +0100 by logger.rb/56815
I, [2020-11-10T11:49:37.552419 #20436]  INFO -- : lab.rism: Size of collection --> 375
I, [2020-11-10T11:49:37.670549 #20436]  INFO -- : lab.rism: Source #240021 moved 787 to 599 with content 'Art 167f. Voriges, auf eine andre Weise; (OCoLC)946157738'
I, [2020-11-10T11:49:38.586615 #20436]  INFO -- : lab.rism: Source #240023 moved 787 to 599 with content 'Art 146a. Nun danket alle Gott; (OCoLC)946157738'
I, [2020-11-10T11:49:38.778208 #20436]  INFO -- : lab.rism: Source #240024 moved 787 to 599 with content '(OCoLC)891756726'
I, [2020-11-10T11:49:38.778296 #20436]  INFO -- : lab.rism: Source #240024 moved 787 to 599 with content 'Art 99b. O Anblick der mirs Herze bricht ... das; (OCoLC)946157738'
I, [2020-11-10T11:49:38.853898 #20436]  INFO -- : lab.rism: Source #240025 moved 787 to 599 with content '(OCoLC)891756600'
I, [2020-11-10T11:49:38.854000 #20436]  INFO -- : lab.rism: Source #240025 moved 787 to 599 with content 'Art 99b. O Anblick, der mirs Herze bricht; (OCoLC)946157738'
I, [2020-11-10T11:49:38.952350 #20436]  INFO -- : lab.rism: Source #240026 moved 787 to 599 with content 'Art 99b. O Anblick, der mirs Herz bricht; (OCoLC)946157738'
I, [2020-11-10T11:49:39.051683 #20436]  INFO -- : lab.rism: Source #240027 moved 787 to 599 with content 'Art 151a. O Haupt voll Blut und Wunden; (OCoLC)946157738'
I, [2020-11-10T11:49:39.168066 #20436]  INFO -- : lab.rism: Source #240028 moved 787 to 599 with content 'Art 182. Ich kriech, Erlöser, dir zu Füssen; (OCoLC)946157738'
I, [2020-11-10T11:49:39.250596 #20436]  INFO -- : lab.rism: Source #240031 moved 787 to 599 with content 'Art 242. Heilige dir deine Leute; (OCoLC)946157738'
I, [2020-11-10T11:49:39.305784 #20436]  INFO -- : lab.rism: Source #240039 moved 787 to 599 with content '(OCoLC)891757593'
I, [2020-11-10T11:49:39.305853 #20436]  INFO -- : lab.rism: Source #240039 moved 787 to 599 with content 'Art 157 Fröhlich sol mein Herze springen.; (OCoLC)946157738'
I, [2020-11-10T11:49:39.357220 #20436]  INFO -- : lab.rism: Source #240040 moved 787 to 599 with content 'Art 112b. Er wird es thun, der fromme, treue Gott.; (OCoLC)946157738'
I, [2020-11-10T11:49:39.415849 #20436]  INFO -- : lab.rism: Source #240042 moved 787 to 599 with content 'p. 160; (OCoLC)505259526'
I, [2020-11-10T11:49:39.523948 #20436]  INFO -- : lab.rism: Source #240160 moved 787 to 599 with content 'Art 232. Herzlich lieb hab ich dich, l Herr!; (OCoLC)946157738'
I, [2020-11-10T11:49:39.712642 #20436]  INFO -- : lab.rism: Source #240163 moved 787 to 599 with content 'Art. 29. Hier left mein Sinn sich vor dir nieder; (OCoLC)946157738'
I, [2020-11-10T11:49:39.815312 #20436]  INFO -- : lab.rism: Source #240164 moved 787 to 599 with content '(OCoLC)891759067'
I, [2020-11-10T11:49:39.907280 #20436]  INFO -- : lab.rism: Source #240173 moved 787 to 599 with content '(OCoLC)891759123'
I, [2020-11-10T11:49:40.022585 #20436]  INFO -- : lab.rism: Source #240180 moved 787 to 599 with content '(OCoLC)891758901'
I, [2020-11-10T11:49:40.134760 #20436]  INFO -- : lab.rism: Source #240181 moved 787 to 599 with content '(OCoLC)891759231'
I, [2020-11-10T11:49:40.205328 #20436]  INFO -- : lab.rism: Source #240192 moved 787 to 599 with content 'Art 168b. Jesu, der du meine Seele; (OCoLC)946157738'
I, [2020-11-10T11:49:40.286663 #20436]  INFO -- : lab.rism: Source #240193 moved 787 to 599 with content 'Art 11a. Jesu, komm doch selbst zu mir.; (OCoLC)946157738'
