1,240$k,240$o
653006197,Excerpts,Arr
464001381,Excerpts,Arr
201010400,Excerpts,Arr
464120349,Excerpts,Arr
455027789,Excerpts,Arr
655001136,Excerpts,Arr
655001137,Excerpts,Arr
655001138,Excerpts,Arr
655001139,Excerpts,Arr
655001140,Excerpts,Arr
655001141,Excerpts,Arr
250015235,Excerpts,Arr
454502953,Excerpts,Arr
150202355,Excerpts,Arr
409003485,Excerpts,Arr
409003487,Excerpts,Arr
409003484,Excerpts,Arr
409003488,Excerpts,Arr
409003493,Excerpts,Arr
409003491,Excerpts,Arr
409003483,Excerpts,Arr
409003490,Excerpts,Arr
409003494,Excerpts,Arr
409003496,Excerpts,Arr
409003497,Excerpts,Arr
409003499,Excerpts,Arr
409003500,Excerpts,Arr
409003502,Excerpts,Arr
409003503,Excerpts,Arr
409003525,Excerpts,Arr
409003526,Excerpts,Arr
409003528,Excerpts,Arr
410004101,Excerpts,Arr
990049363,Excerpts,Arr
659400171,Excerpts,Arr
450119630,Excerpts,Arr
702012255,Excerpts,Arr
300041733,Excerpts,Arr
300041734,Excerpts,Arr
300041735,Excerpts,Arr
300041745,Excerpts,Arr
300041743,Excerpts,Arr
300041739,Excerpts,Arr
300041744,Excerpts,Arr
300041736,Excerpts,Arr
300041737,Excerpts,Arr
300041738,Excerpts,Arr
300041740,Excerpts,Arr
300041746,Excerpts,Arr
300041747,Excerpts,Arr
300041741,Excerpts,Arr
300041742,Excerpts,Arr
280001718,Excerpts,Arr
900001802,Excerpts,Arr
300514261,Excerpts,Arr
250015813,Excerpts,Arr
243363,Excerpts,Arr
243346,Excerpts,Arr
243347,Excerpts,Arr
243355,Excerpts,Arr
243356,Excerpts,Arr
243357,Excerpts,Arr
243358,Excerpts,Arr
243359,Excerpts,Arr
243360,Excerpts,Arr
243361,Excerpts,Arr
400187607,Excerpts,Arr
1001045609,Excerpts,Arr
1001008886,Excerpts,Arr
1001033037,Excerpts,Arr
1001033042,Excerpts,Arr
1001104513,Excerpts,Arr
408003527,Excerpts,Arr
408004452,Excerpts,Arr
409000025,Excerpts,Arr
409000026,Excerpts,Arr
409000028,Excerpts,Arr
409000029,Excerpts,Arr
409000030,Excerpts,Arr
409000031,Excerpts,Arr
840016052,Excerpts,Arr
840011139,Excerpts,Arr
840014493,Excerpts,Arr
840017958,Excerpts,Arr
840017957,Excerpts,Arr
840017985,Excerpts,Arr
840017956,Excerpts,Arr
840015950,Excerpts,Arr
840012008,Excerpts,Arr
840016470,Excerpts,Arr
840016473,Excerpts,Arr
840025409,Excerpts,Arr
840026195,Excerpts,Arr
840026847,Excerpts,Arr
840026851,Excerpts,Arr
840026852,Excerpts,Arr
840026853,Excerpts,Arr
840026855,Excerpts,Arr
840026856,Excerpts,Arr
840026884,Excerpts,Arr
840026885,Excerpts,Arr
840026887,Excerpts,Arr
840026888,Excerpts,Arr
840026892,Excerpts,Arr
840026893,Excerpts,Arr
840026897,Excerpts,Arr
840026898,Excerpts,Arr
840026903,Excerpts,Arr
840026908,Excerpts,Arr
840026909,Excerpts,Arr
840026911,Excerpts,Arr
840026913,Excerpts,Arr
840026915,Excerpts,Arr
840026916,Excerpts,Arr
840026919,Excerpts,Arr
840026920,Excerpts,Arr
840026921,Excerpts,Arr
840026922,Excerpts,Arr
1001057914,Excerpts,Arr
241173,Excerpts,Arr
241174,Excerpts,Arr
241221,Excerpts,Arr
241218,Excerpts,Arr
242182,Excerpts,Arr
242205,Excerpts,Arr
242492,Excerpts,Arr
241847,Excerpts,Arr
242750,Excerpts,Arr
242216,Excerpts,Arr
242985,Excerpts,Arr
243035,Excerpts,Arr
240630,Excerpts,Arr
240631,Excerpts,Arr
240829,Excerpts,Arr
241101,Excerpts,Arr
241110,Excerpts,Arr
241121,Excerpts,Arr
241157,Excerpts,Arr
241354,Excerpts,Arr
241808,Excerpts,Arr
241809,Excerpts,Arr
241820,Excerpts,Arr
241835,Excerpts,Arr
242453,Excerpts,Arr
242456,Excerpts,Arr
242707,Excerpts,Arr
242754,Excerpts,Arr
242799,Excerpts,Arr
242809,Excerpts,Arr
243025,Excerpts,Arr
243036,Excerpts,Arr
243072,Excerpts,Arr
243112,Excerpts,Arr
243187,Excerpts,Arr
243191,Excerpts,Arr
243193,Excerpts,Arr
243336,Excerpts,Arr
243406,Excerpts,Arr
243408,Excerpts,Arr
243428,Excerpts,Arr
243037,Excerpts,Arr
243289,Excerpts,Arr
243290,Excerpts,Arr
453600408,Excerpts,Arr
455028963,Excerpts,Arr
201011319,Excerpts,Arr
806519258,Excerpts,Arr
280002792,Excerpts,Arr
900020766,Excerpts,Arr
659400091,Excerpts,Arr
659400095,Excerpts,Arr
451008637,Excerpts,Arr
450063286,Excerpts,Arr
301007047,Excerpts,Arr
301007045,Excerpts,Arr
301007046,Excerpts,Arr
850040677,Excerpts,Arr
108463,Excerpts,Arr
850029855,Excerpts,Arr
820000019,Excerpts,Arr
123806,Excerpts,Arr
124724,Excerpts,Arr
180000565,Excerpts,Arr
190022091,Excerpts,Arr
190022092,Excerpts,Arr
201009538,Excerpts,Arr
201009539,Excerpts,Arr
450114563,Excerpts,Arr
450114683,Excerpts,Arr
551005322,Excerpts,Arr
551005979,Excerpts,Arr
551006310,Excerpts,Arr
852029226,Excerpts,Arr
852029232,Excerpts,Arr
852029243,Excerpts,Arr
852029244,Excerpts,Arr
852029245,Excerpts,Arr
852029247,Excerpts,Arr
850040713,Excerpts,Arr
850010907,Excerpts,Arr
850040676,Excerpts,Arr
180000559,Excerpts,Arr
190022108,Excerpts,Arr
225001009,Excerpts,Arr
852033664,Excerpts,Arr
135773,Excerpts,Arr
852033665,Excerpts,Arr
852029223,Excerpts,Arr
852029234,Excerpts,Arr
852029235,Excerpts,Arr
852029236,Excerpts,Arr
852029237,Excerpts,Arr
852029240,Excerpts,Arr
852029241,Excerpts,Arr
852029248,Excerpts,Arr
852033564,Excerpts,Arr
852034143,Excerpts,Arr
852033697,Excerpts,Arr
852029252,Excerpts,Arr
852029259,Excerpts,Arr
455013196,Excerpts,Arr
455039842,Excerpts,Arr
201005059,Excerpts,Arr
450017982,Excerpts,Arr
450025579,Excerpts,Arr
450025580,Excerpts,Arr
450109614,Excerpts,Arr
455013812,Excerpts,Arr
104753,Excerpts,Arr
112166,Excerpts,Arr
450010232,Excerpts,Arr
450010875,Excerpts,Arr
450011823,Excerpts,Arr
450110152,Excerpts,Arr
451011137,Excerpts,Arr
451511888,Excerpts,Arr
452008784,Excerpts,Arr
500034296,Excerpts,Arr
530003541,Excerpts,Arr
550255249,Excerpts,Arr
600026494,Excerpts,Arr
600026495,Excerpts,Arr
600026497,Excerpts,Arr
600026723,Excerpts,Arr
600077529,Excerpts,Arr
600192357,Excerpts,Arr
600659081,Excerpts,Arr
600659082,Excerpts,Arr
464122479,Excerpts,Arr
464122478,Excerpts,Arr
550400460,Excerpts,Arr
550400459,Excerpts,Arr
550400461,Excerpts,Arr
190016780,Excerpts,Arr
201007953,Excerpts,Arr
201007983,Excerpts,Arr
211008356,Excerpts,Arr
220033542,Excerpts,Arr
230003977,Excerpts,Arr
230004319,Excerpts,Arr
230004813,Excerpts,Arr
230004821,Excerpts,Arr
230007196,Excerpts,Arr
230007197,Excerpts,Arr
300036165,Excerpts,Arr
300036166,Excerpts,Arr
300036167,Excerpts,Arr
450000524,Excerpts,Arr
450007399,Excerpts,Arr
450013347,Excerpts,Arr
450017985,Excerpts,Arr
450020177,Excerpts,Arr
450022173,Excerpts,Arr
450025574,Excerpts,Arr
450025575,Excerpts,Arr
450025576,Excerpts,Arr
450031356,Excerpts,Arr
450031357,Excerpts,Arr
450037775,Excerpts,Arr
450055313,Excerpts,Arr
451000037,Excerpts,Arr
451011846,Excerpts,Arr
452012817,Excerpts,Arr
452012984,Excerpts,Arr
452013390,Excerpts,Arr
452500982,Excerpts,Arr
453008817,Excerpts,Arr
453011384,Excerpts,Arr
453011385,Excerpts,Arr
455012184,Excerpts,Arr
455025254,Excerpts,Arr
500034291,Excerpts,Arr
600659083,Excerpts,Arr
600659084,Excerpts,Arr
600659085,Excerpts,Arr
600659086,Excerpts,Arr
600659087,Excerpts,Arr
600659089,Excerpts,Arr
553004884,Excerpts,Arr
500034288,Excerpts,Arr
550400311,Excerpts,Arr
550400833,Excerpts,Arr
201007661,Excerpts,Arr
211008672,Excerpts,Arr
225000855,Excerpts,Arr
230003132,Excerpts,Arr
230004431,Excerpts,Arr
230004591,Excerpts,Arr
230007199,Excerpts,Arr
230007200,Excerpts,Arr
230007201,Excerpts,Arr
240003899,Excerpts,Arr
250009677,Excerpts,Arr
450017039,Excerpts,Arr
450037294,Excerpts,Arr
450115764,Excerpts,Arr
450116221,Excerpts,Arr
451007124,Excerpts,Arr
453001852,Excerpts,Arr
453001853,Excerpts,Arr
453001854,Excerpts,Arr
453006150,Excerpts,Arr
453011386,Excerpts,Arr
455020661,Excerpts,Arr
455020775,Excerpts,Arr
456001793,Excerpts,Arr
550040877,Excerpts,Arr
550040881,Excerpts,Arr
650005527,Excerpts,Arr
850001480,Excerpts,Arr
455022682,Excerpts,Arr
500027845,Excerpts,Arr
600033715,Excerpts,Arr
500034298,Excerpts,Arr
500034299,Excerpts,Arr
500034300,Excerpts,Arr
500034301,Excerpts,Arr
500034302,Excerpts,Arr
500034303,Excerpts,Arr
500034304,Excerpts,Arr
551007256,Excerpts,Arr
600219782,Excerpts,Arr
453013069,Excerpts,Arr
600258845,Excerpts,Arr
550040879,Excerpts,Arr
455031534,Excerpts,Arr
240003898,Excerpts,Arr
250000146,Excerpts,Arr
451011046,Excerpts,Arr
455024950,Excerpts,Arr
500027528,Excerpts,Arr
500034292,Excerpts,Arr
500034293,Excerpts,Arr
500034294,Excerpts,Arr
500034295,Excerpts,Arr
530000636,Excerpts,Arr
550400518,Excerpts,Arr
453006145,Excerpts,Arr
451026465,Excerpts,Arr
451026466,Excerpts,Arr
450019135,Excerpts,Arr
453010964,Excerpts,Arr
456003740,Excerpts,Arr
453010585,Excerpts,Arr
454016038,Excerpts,Arr
455041608,Excerpts,Arr
456001227,Excerpts,Arr
450115922,Excerpts,Arr
450028856,Excerpts,Arr
230009759,Excerpts,Arr
280002327,Excerpts,Arr
450018729,Excerpts,Arr
450105898,Excerpts,Arr
452516082,Excerpts,Arr
452516086,Excerpts,Arr
454001476,Excerpts,Arr
455010391,Excerpts,Arr
456016304,Excerpts,Arr
550280859,Excerpts,Arr
550509754,Excerpts,Arr
450019143,Excerpts,Arr
450055304,Excerpts,Arr
451501360,Excerpts,Arr
453010594,Excerpts,Arr
550401765,Excerpts,Arr
553004327,Excerpts,Arr
654000993,Excerpts,Arr
456001222,Excerpts,Arr
220000813,Excerpts,Arr
450063147,Excerpts,Arr
452512554,Excerpts,Arr
455012093,Excerpts,Arr
455016046,Excerpts,Arr
250012302,Excerpts,Arr
301009626,Excerpts,Arr
450059862,Excerpts,Arr
270002390,Excerpts,Arr
301009637,Excerpts,Arr
450059825,Excerpts,Arr
450062983,Excerpts,Arr
453006025,Excerpts,Arr
455040597,Excerpts,Arr
650006793,Excerpts,Arr
250012305,Excerpts,Arr
450037591,Excerpts,Arr
451005683,Excerpts,Arr
453600227,Excerpts,Arr
455004777,Excerpts,Arr
455016045,Excerpts,Arr
280005284,Excerpts,Arr
280005286,Excerpts,Arr
280005285,Excerpts,Arr
280005287,Excerpts,Arr
450019148,Excerpts,Arr
280004023,Excerpts,Arr
280005585,Excerpts,Arr
450019134,Excerpts,Arr
301001830,Excerpts,Arr
450065836,Excerpts,Arr
280002325,Excerpts,Arr
300033653,Excerpts,Arr
301008024,Excerpts,Arr
450013059,Excerpts,Arr
450019146,Excerpts,Arr
450019149,Excerpts,Arr
450023695,Excerpts,Arr
450038370,Excerpts,Arr
450105952,Excerpts,Arr
450118520,Excerpts,Arr
450119830,Excerpts,Arr
451512035,Excerpts,Arr
453005979,Excerpts,Arr
453006262,Excerpts,Arr
455002562,Excerpts,Arr
455017691,Excerpts,Arr
456004835,Excerpts,Arr
456004836,Excerpts,Arr
550270104,Excerpts,Arr
550508894,Excerpts,Arr
600072866,Excerpts,Arr
702003293,Excerpts,Arr
220017444,Excerpts,Arr
302002360,Excerpts,Arr
450019144,Excerpts,Arr
451502028,Excerpts,Arr
454005708,Excerpts,Arr
550450625,Excerpts,Arr
550508192,Excerpts,Arr
550508208,Excerpts,Arr
702010809,Excerpts,Arr
850039513,Excerpts,Arr
852016630,Excerpts,Arr
852033680,Excerpts,Arr
451512241,Excerpts,Arr
453008309,Excerpts,Arr
455034973,Excerpts,Arr
650013758,Excerpts,Arr
123376,Excerpts,Arr
201001798,Excerpts,Arr
230004457,Excerpts,Arr
230004623,Excerpts,Arr
230009753,Excerpts,Arr
250012338,Excerpts,Arr
250014892,Excerpts,Arr
250015556,Excerpts,Arr
250015683,Excerpts,Arr
301004247,Excerpts,Arr
450065963,Excerpts,Arr
450116201,Excerpts,Arr
451500383,Excerpts,Arr
452027017,Excerpts,Arr
452509213,Excerpts,Arr
453006112,Excerpts,Arr
454000917,Excerpts,Arr
454001481,Excerpts,Arr
454007220,Excerpts,Arr
454501721,Excerpts,Arr
455003382,Excerpts,Arr
455004817,Excerpts,Arr
455029425,Excerpts,Arr
455040581,Excerpts,Arr
455042168,Excerpts,Arr
456016303,Excerpts,Arr
550270105,Excerpts,Arr
550506948,Excerpts,Arr
553005033,Excerpts,Arr
650014327,Excerpts,Arr
700001903,Excerpts,Arr
700008619,Excerpts,Arr
701001843,Excerpts,Arr
454007813,Excerpts,Arr
301004246,Excerpts,Arr
451512240,Excerpts,Arr
111206,Excerpts,Arr
201001795,Excerpts,Arr
301009606,Excerpts,Arr
455040584,Excerpts,Arr
600658733,Excerpts,Arr
650012267,Excerpts,Arr
455009716,Excerpts,Arr
450117875,Excerpts,Arr
702003210,Excerpts,Arr
450033657,Excerpts,Arr
455003636,Excerpts,Arr
450065844,Excerpts,Arr
450108677,Excerpts,Arr
451502799,Excerpts,Arr
451502912,Excerpts,Arr
451503260,Excerpts,Arr
451503389,Excerpts,Arr
451503532,Excerpts,Arr
452013225,Excerpts,Arr
453006085,Excerpts,Arr
453600482,Excerpts,Arr
454000739,Excerpts,Arr
454016686,Excerpts,Arr
455018297,Excerpts,Arr
455033256,Excerpts,Arr
455040615,Excerpts,Arr
456005497,Excerpts,Arr
550270106,Excerpts,Arr
550401998,Excerpts,Arr
701001848,Excerpts,Arr
201001833,Excerpts,Arr
455034971,Excerpts,Arr
605200574,Excerpts,Arr
702003049,Excerpts,Arr
301009607,Excerpts,Arr
450019145,Excerpts,Arr
450037696,Excerpts,Arr
450065960,Excerpts,Arr
450108680,Excerpts,Arr
453600445,Excerpts,Arr
455029424,Excerpts,Arr
550504385,Excerpts,Arr
650011280,Excerpts,Arr
701001842,Excerpts,Arr
703004377,Excerpts,Arr
455040529,Excerpts,Arr
451512316,Excerpts,Arr
301009608,Excerpts,Arr
451512246,Excerpts,Arr
454013279,Excerpts,Arr
451512238,Excerpts,Arr
455000551,Excerpts,Arr
451512236,Excerpts,Arr
450062991,Excerpts,Arr
280005266,Excerpts,Arr
450056274,Excerpts,Arr
450062992,Excerpts,Arr
280005267,Excerpts,Arr
450056275,Excerpts,Arr
280005268,Excerpts,Arr
450056272,Excerpts,Arr
280005270,Excerpts,Arr
450056276,Excerpts,Arr
250010470,Excerpts,Arr
280005271,Excerpts,Arr
450056277,Excerpts,Arr
