"510 RISM Serie";"RISM-ID";"852 $a Bibliothek ";"852 $q";"852 $c";"856 $u";"856 $z";"856 $x";"691 $a";"691 $n";"500 Bemerkungen ";
"1542/12";;"H-Ba";"S, A, B";"Bártfa Mus pr. 8/b";;;;;;;
"1558/3";;"S-Uu ";"(S, T, B)";;;;;;;;
"1562/7";;"US-Pu";"T ";;;;;"BujaB 1996";"p. 357";;
"1566/10";;"A-Wn ";"S, T, B";"SA.77.F.18/1-3";;;;;;;
"1576/5";;"PL-Wn ";"T, V 5 ";;;;;"KolbuszewskaR 1992";"p. 24";"Gehörte ursprünglich mit B aus PL-LEtpn zusammen";
"1576/5";;"PL-LEtpn ";"B";;;;;;;"Gehörte ursprünglich mit T, 5 aus PL-Wn zusammen";
"1585/1";;"PL-Wn ";"B  ";;"https://polona.pl/item/sacrae-cantiones-cum-quinque-sex-et-pluriubus-vocibus-de-festis-praecipuis-totius,MTAwNDIyMzU0/";"Digital copy";"Quellendigitalisat";;;;
"1613/1";;"PL-WRu  ";"S, A, T, B, V 7, V 8";;;;;;;;
"1613/1";;"D-Mbs";"complete";;"https://bpl.bibliocommons.com/item/show/5720026075";"Digitalisat des Musikdrucks";"Quellendigitalisat";;;;
"1614/3";;"I-Rsmt";"complete";;;;;"SimiBoniniM 2000";"p. 389f";;
"1614/3";;"I-BRams";"complete";;;;;;;;"OPAC ICCU (SBN) und OPAC Bib"
"1614/3";;"I-Ma";"T 2";;;;;;;;"OPAC ICCU (SBN)"
"1614/3";;"E-JA";"S 2";;"https://hispanicpolyphony.eu/source/25494";"Link to record in Books of Hispanic Polyphony";"Sonstige";;;;
"1616/7";;"B-Gu";;;"https://lib.ugent.be/catalog/rug01:001739474";"Link to record in catalog of Ghent university";"Sonstige";;;;
"1617/7";;"GB-Ob";"Harding H 849";;;;;;;;"OPAC GB-Ob"
"1621/10";;"B-Gu";;;"https://lib.ugent.be/catalog/rug01:001739475";"Link to record in catalog of Ghent university";"Sonstige";;;;
"1635/1";;"I-ASc";"S, A, org";;;;;;;;"OPAC ICCU (SBN)"
"1636/2";;"PL-WRu ";"partitura, voce";;;;;;;;
"1643/5";;"A-KR ";"vox 1";;;;;;;"Datiert mit 1642";
"1646/1";;"V-CVbav";;"(Fondo Casimiri)";;;;;;;
"1646/1";;"I-Rsmt";"S, A (2x), B (2x), org";;;;;"SimiBoniniM 2000";"p. 393f.";"Mit 1662-1 zusammengebunden. ";
"1646/1";;"I-Rsgf";;;;;;"DiDonatoR 2015";"p.  128f.";;
"1646/10";;"D-WRtl ";;;;;;;;;
"1662/1";;"I-Rsmt";"S, T (2x)";;;;;"SimiBoniniM 2000";"p. 393f.";"Mit 1646-1 zusammengebunden. ";
"1700/5";;"NL-DHnmi ";"dessus, b";;;;;;;;
"1562/22";;"I-Bc";"S  ";"Q.142(8)";;;;;;;
"1585/18";;"US-Bp";"V 5";;"https://bpl.bibliocommons.com/item/show/5720026075";"Digital copy";"Quellendigitalisat";;;;
"1588/21";;"US-NH ";"A";;;;;;;;
"1609/28";;"PL-WRu ";"S, T, B, V 5, V 6";;;;;;;;
"1622/15";;"US-NH ";"A";;;;;;;;
"A 2474";;"NL-DHa ";;;;;;;;;
"A 266 ";;"NL-DHa ";;;;;;;;;
"A 277";;"NL-As ";;;;;;;;"Impressum überklebt, Marke defekt";
"A 2930 ";;"NL-DHnmi";;;;;;;;;
"A 731";;"NL-DHnmi";;;;;;;;;
"A 934 ";;"NL-Uim ";;;;;;;;;
"AA 748 I,49";;"B-Bc";;;;;;;;;
"AN 1750";;"A-Wn ";;;;;;;;;
"B 106";;"A-Wnh";;"SH.J.P.E.Bach.38";;;;;;"Verlag überklebt mit Etikett Ch. A. André, Frankfurt a. M.";
"B 109";;"D-Km";;;;;;;;;
"B 109";;"NL-Uim ";;;;;;;;;
"B 1121";;"NL-DHnmi";;;;;;;;;
"B 121";;"A-Wnh";;"SH.J.P.E.Bach.58 ";;;;;;;
"B 124";;"NL-Uim ";;;;;;;;;
"B 128";;"NL-Uim ";;;;;;;;;
"B 134";;"A-Wnh";;"SH.Theoretica.52";;;;;;;
"B 136";;"A-Wnh";;"SH.J.P.E.Bach.49 ";;;;;;;
"B 167 ";;"NL-AN  ";;;;;;;;;
"B 2010";;"NL-BUkoopman";;;;;;;;;
"B 2013";;"NL-BUkoopman";;;;;;;;;
"B 227";;"A-Wnh";;"SH.J.Christian.Bach.7";;;;;;;
"B 2493";;"D-Lr";;;;;;;;;
"B 2524";;"NL-AN ";;;;;;;;;
"B 2525";;"NL-AN ";;;;;;;;;
"B 3032";;"NL-BUkoopman";;;;;;;;;
"B 333";;"A-Wnh";;"SH.J.Christian.Bach.24";;;;;;;
"B 335 ";;"B-Bc  ";;;;;;;;;
"B 3700";;"NL-BUkoopman";;;;;;;;;
"B 3840";;"NL-Uim ";;;;;;;;;
"B 4109";;"NL-HIr";;;;;;;;;
"B 418";;"A-Wnh";;"SH.J.Christoph.Bach.1 ";;;;;;;
"B 430";;"A-Wnh";;"SH.J.S.Bach.9";;;;;;;
"B 430";;"A-Wnh";;"SH.J.S.Bach.10/1";;;;;;;
"B 431";;"A-Wnh";;"SH.J.S.Bach.10/2";;;;;;;
"B 431";;"NL-DHnmi";;;;;;;;;
"B 433";;"A-Wnh";;"SH.J.S.Bach.11";;;;;;;
"B 435";;"A-Wnh";;"SH.J.S.Bach.17";;;;;;;
"B 436";;"D-LÜh ";;;;;;;;;
"B 436";;"A-Wnh";;"SH.J.S.Bach.19";;;;;;;
"B 437";;"A-Wnh";;"SH.J.S.Bach.20";;;;;;;
"B 438";;"D-LÜh ";;;;;;;;;
"B 440";;"A-Wnh";;"SH.J.S.Bach.2-3";;;;;;;
"B 443";;"A-Wnh";;"SH.J.S.Bach.4";;;;;;;
"B 446";;"A-Wnh";;"SH.J.S.Bach.1";;;;;;;
"B 447";;"A-Wnh";;"SH.J.S.Bach.7";;;;;;;
"B 466";;"A-Wnh";;"SH.J.S.Bach.41";;;;;;;
"B 471";;"A-Wnh";;"SH.J.S.Bach.38";;;;;;;
"B 474";;"A-Wnh";;"SH.J.S.Bach.27";;;;;;;
"B 481";;"A-Wnh";;"SH.J.S.Bach.34";;;;;;;
"B 486";;"A-Wnh";;"SH.J.S.Bach.34";;;;;;;
"B 490";;"NL-DHnmi";;;;;;;;;
"B 50";;"NL-Uim ";;;;;;;;;
"B 5060";;"NL-BUkoopman";;;;;;;;;
"B 5076";;"NL-BUkoopman";;;;;;;;;
"B 586";;"NL-DHnmi";;;;;;;;;
"B 602";;"NL-DHnmi";;;;;;;;;
"B 61";;"A-Wnh";;"SH.J.P.E.Bach.32 ";;;;;;;
"B 63";;"B-Bc ";"vl 1, vl 2, b";;;;;;;;
"B 64";;"B-Bc ";"vl 1, vl 2/fl, b";;;;;;;;
"B 744";;"PL-WRu ";"bc";;;;;;;;
"B 758";;"D-As ";;;;;;;;;
"B 758";;"D-Es";;;;;;;;;
"B 95";;"A-Wnh";;"SH.J.P.E.Bach.28 ";;;;;;;
"BB 2423a";;"PL-WRu ";"A, B";;;;;;;;
"BB 433a";;"A-Wnh";;"SH.J.S.Bach.12";;;;;;;
"BB 434b";;"A-Wnh";;"SH.J.S.Bach.15";;;;;;;
"BB 436a";;"A-Wnh";;"SH.J.S.Bach.18";;;;;;;
"BB 447b";;"A-Wnh";;"SH.J.S.Bach.8";;;;;;;
"BB 494a";;"A-Wnh";;"SH.J.S.Bach.45";;;;;;;
"BB 495a";;"A-Wnh";;"SH.J.S.Bach.46";;;;;;;
"BB 519a";;"A-Wnh";;"SH.J.S.Bach.71";;;;;;;
"BB 524a";;"B-Ac";;;;;;;;;
"BB 524a";;"A-Wnh";;"SH.J.S.Bach.107";;;;;;;
"C 1621";;"A-KR ";;;;;;;;;
"C 1686";;"B-Bc ";;;;;;;;;
"C 2025";;"NL-Usg";;;;;;;;;
"C 2135";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 2557";;"US-NYp ";"recueil 8, 16";;;;;;;;
"C 2801";;"B-Bc";;;;;;;;;
"C 3143";;"GB-Cf";;;;;;;;;
"C 3278";;"B-Bc";;;;;;;;;
"C 3623";;"NL-DHnmi ";;"10 C 38";;;;;;;
"C 3676";;"NL-DHnmi  ";"vl 1, vl 2, bc, org";;;;;;;;
"C 3679";;"B-Bc   ";"vl 1, vl 2, bc";;;;;;;;
"C 3692 ";;"NL-BUkoopman ";"vl 1, vl 2, bc";;;;;;;;
"C 3713";;"NL-DHnmi ";"vl 1, vl 2, vlne, org";;;;;;;;
"C 3727";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3748";;"D-JE ";"vl 1, vl 2, bc";;;;;;;;
"C 3755";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3758";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3775";;"NL-DHnmi ";"vl 1, vl 2, bc";;;;;;;;
"C 3779";;"B-Bc  ";"vl 1, vl 2, bc";;;;;;;;
"C 3793";;"B-Bc ";"vl 1, vl 2, bc";;;;;;;;
"C 3807";;"NL-BUkoopman";;;;;;;;;
"C 3860 ";;"B-Bc ";"complete";;;;;;;;
"C 3870";;"NL-Uim ";;;;;;;;;
"C 3875";;"NL-Uim ";;;;;;;;;
"C 3876";;"NL-Uim ";;;;;;;;;
"C 4085";;"NL-BUkoopman";;;;;;;;;
"C 4132";;"NL-BUkoopman";;;;;;;;;
"C 4181";;"B-Bc";;;;;;;;;
"C 424 ";;"B-Bc ";"vl 1, vl 2, vla, vlc";;;;;;;;
"C 4283";;"B-Bc";;;;;;;;;
"C 4290";;"B-Bc";;;;;;;;;
"C 4349";;"NL-DHnmi";;;;;;;;;
"C 458";;"B-Bc ";"vl 1, vl 2, vla, vlc";;;;;;;;
"C 638 ";;"NL-DHnmi ";"vl 1, vl 2, bc";;;;;;;;
"C 833";;"B-Bc  ";"vl 1, vl 2, vla, vlc";;;;;;;;
"CC 2028 I,23";;"NL-DHnmi";;;;;;;;;
"CC 2028 I,58";;"NL-At   ";;;;;;;;;
"CC 2943a";;"D-LÜh";;;;;;;;;
"CC 3729a";;"NL-BUkoopman ";"vl 1, vl 2, vlc, bc";;;;;;;;
"CC 3761a";;"NL-BUkoopman ";"vl 1, vl 2, org";;;;;;;;
"D 1000";;"B-Bc ";"complete";;;;;;;;
"D 1003 ";;"B-Bc ";"complete";;;;;;;;
"D 1004 ";;"NL-DHnmi ";"complete";;;;;;;;
"D 1033";;"NL-DHnmi";;;;;;;;;
"D 11 ";;"B-Bc ";"complete";;;;;;;;
"D 1141";;"NL-Uim ";;;;;;;;;
"D 1233";;"B-Bc";;;;;;;;;
"D 1235";;"B-Bc";;;;;;;;;
"D 1520 ";;"B-Bc ";"complete";;;;;;;;
"D 1975 ";;"NL-Areede ";"fl 1, fl 2, fl 3";;;;;;;;
"D 2000";;"NL-DHnmi ";;;;;;;;;
"D 2096";;"B-Bc ";"fag 1, fag 2";;;;;;;;
"D 3285 ";;"B-Bc  vollst";;;;;;;;;
"D 3377 ";;"NL-DHa";;;;;;;;;
"D 3593";;"US-NYp";;;;;;;;;
"D 3838";;"NL-Uim ";;;;;;;;;
"D 3839";;"NL-Uim ";;;;;;;;;
"D 3840";;"NL-Uim ";;;;;;;;;
"D 3871 ";;"NL-DHnmi";;;;;;;;;
"D 3872 ";;"NL-DHnmi";;;;;;;;;
"D 3963";;"NL-At ";;;;;;;;;
"D 4724 ";;"NL-DHnmi";;;;;;;;;
"D 4726";;"NL-DHnmi";;;;;;;;;
"D 748";;"B-Bc";;;;;;;;;
"D 795 ";;"NL-Uim ";;;;;;;;;
"E 162";;"B-Bc";;;;;;;;;
"EE 902 I,1";;"NL-At ";;;;;;;;;
"EE 902 I,3";;"NL-At ";;;;;;;;;
