ID,NAME,ADDRESS,COUNTRY,PLACE
34,Niedersächsische Staats- und Universitätsbibliothek [Göttingen],"Niedersächsische Staats- und, Universitätsbibliothek, [Göttingen], Papendiek 14, 37073 Göttingen",XA-DE,Göttingen
359,Universität [Erlangen; Nürnberg],"Universität [Erlangen], Schloßplatz 4, 91054 Erlangen",XA-DE,Erlangen
370,Stadtarchiv [Duisburg],"Stadtarchiv [Duisburg], Karmelplatz 5, 47049 Duisburg",XA-DE,Duisburg
375,Stadtarchiv [Würzburg],"","",""
391,Nachlaß: 12,"","",""
443,Deutsches Zentralarchiv [Potsdam],"","",""
447,Niedersächsisches Staatsarchiv [Wolfenbüttel],"Niedersächsisches, Staatsarchiv [Wolfenbüttel], Forstweg 2, 38302 Wolfenbüttel",XA-DE,Wolfenbüttel
448,Städtische Volkshochschule [Nürnberg],"","",""
452,Universität [Kopenhagen],"","",""
469,"Stadtarchiv [Offenbach, Main]","Stadtarchiv [Offenbach, Main], Herrnstr. 61,, 63065 Offenbach am Main",XA-DE,Offenbach am Main
479,Festspiele [Salzburg],"","",""
486,Stadtarchiv [Augsburg],"Stadtarchiv [Augsburg], Fuggerstraße 12, 86150 Augsburg","",Augsburg
488,Ernst Barlach Haus [Hamburg],"","",""
489,"Barlach-Gedenkstätte, Ratzeburg","","",""
490,"Busch-Reisinger Museum [Cambridge, Mass.]","","",""
491,"Ernst-Barlach-Gedenkstätte, Güstrow","","",""
508,Universität [Bern],"","",""
545,"Fürstlich Löwensteinsches Archiv, Wertheim a.M","","",""
581,Stadtarchiv [München],"","",""
589,AEG [Berlin],"","",""
593,Stadtmuseum [Dresden],"Stadtmuseum [Dresden], Wildruffer Str. 2, 01067 Dresden",XA-DE,Dresden
620,"Pestalozzianum, Zürich, Beckenhofstr. 31-37","","",""
636,"Arbetarrörelsens Artiv, Stockholm","","",""
639,"Johannes-Robert-Becher-Archiv, Berlin-Niederschönhausen, Majakowski-Ring 34","","",""
653,Sporthochschule [Köln],"","",""
656,Universität [Würzburg],"",XA-DE,""
664,Konservatorium [Frankfurt],"","",""
674,"Stadt-u.LB, Bonn","","",""
675,Grünes Gewölbe [Dresden],"","",""
686,Gehe-Stiftung [Dresden] / Bibliothek,"",XA-DE,Dresden
723,St. Michaeli [Hamburg],"","",""
727,Universität [Cambridge],"","",""
728,Akademie [Düsseldorf],"","",""
733,Université [Toulouse],"",XA-FR,""
738,St. Stephan [Wien],"","",""
754,Historische Kommission [Berlin],"","",""
759,Schweizerisches Literaturarchiv [Bern],"",XA-CH,""
783,Universität [Köln],"",XA-DXDE,""
809,Bundesarchiv Ffm,"","",""
824,"Kernstock-Museum, Festenburg","","",""
841,"Arbetarrörelsens Arkiv, Stockholm","","",""
845,University [Cambridge],"","",""
850,Universität [Helmstedt],"","",""
860,Archiv für Arbeiterdichtung und Soziale Literatur [Dortmund],"","",""
894,Università degli Studi [Bologna],"","",""
913,University [Chicago],"","",""
931,Sternwarte [Berlin],"","",""
935,Burda GmbH,"Deutsche Verlags-Anstalt [Stuttgart], Stuttgart, Deutschland",XA-DE,Stuttgart
1004,"Landesarchiv [Altenburg, Leipzig]","","",""
1010,Universität [Karlsruhe],"","",""
1015,Konservatorium [Dresden],"","",""
1020,Deutsches Auslands-Institut [Stuttgart],"","",""
1027,Telefunken Gesellschaft,"","",""
1033,"Ernst-Moritz-Arndt-Haus, Bonn","","",""
1034,"Ernst-Moritz-Arndt-Museum, Rügen","","",""
1042,"Paul-Kläui-Bibliothek, Uster","","",""
1044,University [Oxford],"","",""
1056,Blücher-Museum Kaub am Rhein,"","",""
1060,Stadtarchiv [Erlangen] / Platen-Archiv,"","",""
1081,Museum für Literatur am Oberrhein [Karlsruhe],"","",""
1108,B701,"","",""
1109,"Kleist-Gedenkstätte, Frankfurt/Oder","","",""
1117,Universität [Graz],"","",""
1118,Universität [Wittenberg],"","",""
1122,Frankfurter Zeitung [Frankfurt/Main],"",XA-DE,Frankfurt/Main
1131,Droste-Museum [Meersburg],"Droste-Museum [Meersburg], Stettener Str. 9, Meersburg, Deutschland",XA-DE,Meersburg
1132,"Droste-Museum, Schloß Hülshoff [Münster, Westfalen]","","",""
1133,Annette-Droste-Hülshoff-Museum [Nienberge],"","",""
1149,"Max-Klinger-Gedenkstätte, Naumburg","","",""
1160,Universität [Stockholm],"","",""
1173,"Klopstock-Museum, Quedlinburg","","",""
1191,Ernst-Bloch-Zentrum [Ludwigshafen],"Ernst-Bloch-Zentrum, [Ludwigshafen], Walzmühlstr. 63, 67061 Ludwigshafen",XA-DE,Ludwigshafen
1201,University [London],"",XA-GB,""
1206,Universität [Basel],"",XA-CH,Basel
1210,Rijksuniversiteit [Groningen],"","",""
1229,Landeshauptarchiv [Weimar],"","",""
1232,"Kneipp-Museum, Bad Wörishofen","","",""
1244,Museum [Osnabrück],"","",""
1285,"Eisfeld, Heimatmuseum","","",""
1298,Universitätsbibliothek [Dortmund],"","",Dortmund
1316,Landwirtschaftliche Hochschule [Hohenheim],"","",""
1319,Wallraf-Richartz-Museum [Köln],"","",""
1332,"Hermann-Allmers-Heim [Rechtenfleth, bei Bremerhaven]","","",""
1398,Museum Höxter-Corvey,"","",""
1417,Amerikanische Kongressbibliothek,"","",""
1439,Stadtarchiv Celle,"","",""
1440,Das Gleimhaus [Halberstadt],"Das Gleimhaus [Halberstadt], Domplatz 31, 38820  Halberstadt","",Halberstadt
1461,"Johns Hopkins University [Baltimore, Md.] / Library","","",""
1499,Koschat-Museum [Klagenfurt],"","",""
1522,Kirchenmusikschule [Regensburg],"","",""
1524,Wilhelmsstift [Tübingen],"","",""
1554,Philharmonische Gesellschaft [Petersburg],"","",""
1581,Universitäts- und Landesbibliothek Düsseldorf,"Universitäts- und Landesbibliothek, Düsseldorf, Universitätsstr. 1, 40225 Düsseldorf, Deutschland Nordrhein-Westfalen",XA-DE-NW,Düsseldorf
1597,Deutscher Archäologisches Institut [Berlin] / Archiv,"","",""
1643,Akademie der Bildenden Künste [München],"",XA-DXDE,""
1650,"Bezirksmuseum, Buchen","","",""
1701,Landesbibliothek Oldenburg,"","",""
1707,Deutschland [Bundesrepublik] / Auswärtiges Amt / Politisches Archiv und Historisches Referat,"","",""
1709,Botanischer Garten [Göttingen],"","",""
1712,Universität [Bonn] / Germanistisches Seminar,"","",""
1716,"University of Missouri [Columbia, Mo.]","","",""
1735,Universitätsbibliothek [Duisburg],"","",""
1744,Königliche Musikschule [Würzburg],"","",""
1747,"Institut für Sozialforschung, Frankfurt a.M.","","",""
1749,Städtisches Museum Schweinfurth,"","",""
1750,Rückert-Gedächtnisstätte Neuses,"","",""
1751,Stadtarchiv Schweinfurth,"","",""
1754,"Honnold Library, Claremont/California","","",""
1772,Thomasschule [Leipzig],"",XA-DE,Leipzig
1775,Institut für Sozialgeschichte [Amsterdam],"","",""
1783,Institut für Kunstgeschichte [Marburg],"","",""
1796,"University of California [Berkeley, Calif.] / Library","","",""
1804,Singakademie [Bremen],"","",""
1805,"Philipp-Reis-Gedächtnisstätte, Friedrichsdorf/Taunus","","",""
1847,"Soziologische Arbeitsberichte [Kiel, Universität ]","","",""
1848,Berliner Montagszeitung,"",DX,Berlin
1874,Vereinigte Stadttheater [Zürich],"","",""
1877,"University of California [Berkeley, Calif.]","","",""
1883,Staatskapelle [München],"","",""
1899,"Haydn-Museum, Eisenstadt","","",""
1924,"Johns Hopkins University [Baltimore, Md.]","","",""
1929,Universität [Bremen],"",XA-DE,""
1989,"Conservatoire Botanique, Genf","","",""
2024,"Stadtbücherei Wilmersdorf, Hauptstelle [Berlin]","","",""
2039,Deutsche Gesellschaft für ethische Kultur,"","",""
2072,Gymnasium [Hamburg],"","",""
2106,"Harvard University [Cambridge, Mass.]","","",""
2123,"John F. Reynolds Colby College, Waterville/Main 04901 Deptmnt. of Modern Foreign Languages","","",""
2125,University [Minnesota],"","",""
2142,"GerhartHauptmann-Gedächtnisstätten, Erkner und Hiddensee","","",""
2153,"Städtisches Heimatmuseum, Reinfeld","Städtisches Heimatmuseum, Reinfeld, Neuer Garten 9, 23858 Reinfeld","",""
2163,Allgemeiner Musiker-Verband [Leipzig],"","",""
2164,Verein für ältere kirchliche Gesangswerke,"","",""
2173,Königliche Musikschule [München],"","",""
2197,Kaiserliches Patentamt [Berlin],"","",""
2204,Deutsche Zeitung [Heidelberg],"","",""
2209,Landesarchiv Schleswig,"","",""
2215,Haydn-Museum Eisenstadt,"","",""
2216,Haydn-Museum Rohrau,"","",""
2217,Haydn-Museum Wien,"","",""
2231,Hebbel-Museum [Wesselburen],"Hebbel-Museum [Wesselburen], Österstraße 6, 25764 Wesselburen",XA-DE,Wesselburen
2232,Hebbel-Museum [Kiel],"","",""
2258,Universität [Oslo],"","",""
2268,Gustav-Sack-Archiv [Lochham bei München],"","",""
2274,Preussische Staatszeitung,"","",""
2293,Preussische Akademie der Wissenschaften [Berlin],"","",""
2306,Preussische Akademie der Wissenschaften,"","",""
2355,NSDAP,"","",""
2383,Universität [Bamberg],"","",""
2425,Heidegger-Archiv in Messkirch,"","",""
2453,Kaiserliche Universitäts- und Landesbibliothek [Straßburg],"","",""
2463,Stadtarchiv [Ingolstadt],"Stadtarchiv [Ingolstadt], Auf der Schanz 45, 85049 Ingolstadt",XA-DE,Ingolstadt
2465,Universität [Pforta],"","",""
2514,"Hermann-Cohen-Archiv, Zürich","","",""
2592,Pinakothek [München],"","",""
2596,Brandenburgische Landes- und Hochschulbibliothek [Potsdam],"","",""
2691,Münchner Stadtmuseum,"","",""
2699,Bistum [Regensburg],"","",""
2712,Vatikanische Bibliothek [Rom],"","",""
2780,Städtische Kunstsammlung [München],"","",""
2799,"University of Michigan [Ann Arborr, Mich.]","","",""
2800,Landesarchiv [Magdeburg],"","",""
2846,"Deutsches Institut für Internationale Pädagogische Forschung [Frankfurt, Main]","Deutsches Institut für, Internationale Pädagogische, Forschung [Frankfurt, Main], Schloßstraße 29, 60486 Frankfurt",XA-DE,Frankfurt
2861,Domschule [Ratzeburg],"","",""
2883,"Robert-Franz-Haus [Halle, Saale]","","",""
2898,Princeton University,"",XD-US,""
2910,Haenel-Pancera Familien-Museum Bad Ischl,"","",""
2918,Deutscher Verein für Versicherungswissenschaft,"",DX,""
2921,British Museum [London] / Natural History,"","",London
2942,Stadtmuseum [Ludwigshafen],"","",""
2947,London School of Economics and Political Science,"",XA-GB,""
2961,Lyzeum [Frankfurt/M.],"","",""
3016,Stadttheater [Baden-Baden],"",XA-DE,""
3019,Musée Georg Herwegh [Liestal/CH],"","",""
3028,Preußisches Kultusministerium,"","",""
3037,"Gerhard Marcks Stiftung, Bremen","","",""
3045,Stadtarchiv [Wuppertal],"","",""
3131,Bistum [Eichstätt],"","",""
3157,Mendelssohn-Scholarship-Foundation [London],"","",""
3166,Westermann Verlagsarchiv Braunschweig,"","",""
3179,Kölnische Zeitung [Köln],"","",""
3254,Karl-Marx-Haus [Trier],"","",""
3270,Deutsches Zentralarchiv [Koblenz],"","",""
3290,Martinus-Bibliothek [Mainz],"",XA-DE,""
3298,Frobenius-Institut [Frankfurt/M.],"","",""
3305,University [Manchester],"","",""
3324,"Klingspor-Museum [Offenbach, Main]","","",""
3370,Fuggersches Familien- und Stiftungsarchiv [Augsburg],"","",""
3419,"Lehár-Museum, Bad Ischl","","",""
3434,"Österreichische Nationalbibiothek, Wien","","",""
3442,Deutsches Theatermuseum [München],"","",""
3459,"Melanchthon-Haus, Bretten/Baden","","",""
3460,Stadtarchiv [Amberg],"",XA-DE,""
3461,"Stadt Minden, Kulturamt","","",""
3480,"Klaus-Groth-Museum, Heide/Holstein","","",""
3486,Universität [Bombay],"","",""
3497,Musikwissenschaftliches Institut [Mainz],"","",""
3507,Universitätsbibliothek [Mainz],"Universitätsbibliothek [Mainz], Jakob-Welder-Weg 6, 55128 Mainz",XA-DE,Mainz
3529,"Franz-Xaver-Gruber-Museum, Arnsdorf","","",""
3562,"Lenau-Archiv in Stockerau, Österreich","","",""
3583,"Stadttheater [Münster, Westfalen]","","",""
3619,Universität [Prag],"","",""
3680,Theologisches Seminar [Maulbronn],"","",""
3689,"Gustav-Adolf-Gedenkstätte, Lützen","","",""
3690,Weimar,"","",""
3703,Lessingmuseum Kamenz,"","",""
3706,Universitätsbbliothek Amsterdam,"","",""
3757,Karl-v.-Holtei-Archiv [Köln],"","",""
3758,UB Wroclaw,"","",""
3780,Jugenderziehungsanstalt [Plassenburg],"","",""
3787,Gymnasium Aegidianum [Nürnberg],"","",""
3791,Universität [Regensburg],"",XA-DE,Regensburg
3799,"Bundesarchiv [Koblenz] / Außenstelle [Frankfurt, Main]","","",""
3842,Universität [Zürich],"","",""
3848,Stadtbibliothek [Winterthur],"","",""
3859,Karl-Liebknecht-Haus [Jena; Leipzig],"","",""
3860,Internationales Institut für Sozialgeschichte,"","",""
3873,University [Edinburgh],"","",""
3898,Josef-Limburg-Museum [Berlin],"","",""
3929,Neue Hamburger Zeitung [Hamburg],"","",""
3940,Fakultät für Berufspädagogik und Kulturwissenschaft [Dresden] / Bibliothek,"","",""
3942,Aargauische Kantonsbibliothek [Aarau],"","",""
3968,British & Foreign Bible Society [London],"","",""
4036,Historisches Archiv [Köln],"Historisches Archiv [Köln], Severinstr. 222-228, 50676 Köln",XA-DE,Köln
4049,Öffentliche Bibliothek [Basel],"Öffentliche Bibliothek [Basel], Schönbeinstrasse 18-20, 4056 Basel",XA-CH,Basel
4088,"Haenel-Pancera-Familien-Museum, Bad Ischl, Österreich","","",""
