SOURCE ID,LIB_SIGLUM,COLLECTION ID,COLLECTION LIB_SIGLUM
104559,US-CA,104558,US-CAh
104560,US-CA,104558,US-CAh
104561,US-CA,104558,US-CAh
104562,US-CA,104558,US-CAh
104563,US-CA,104558,US-CAh
104564,US-CA,104558,US-CAh
104565,US-CA,104558,US-CAh
104566,US-CA,104558,US-CAh
104567,US-CA,104558,US-CAh
104568,US-CA,104558,US-CAh
104569,US-CA,104558,US-CAh
104570,US-CA,104558,US-CAh
104571,US-CA,104558,US-CAh
104572,US-CA,104558,US-CAh
104573,US-CA,104558,US-CAh
104574,US-CA,104558,US-CAh
104575,US-CA,104558,US-CAh
104576,US-CA,104558,US-CAh
104577,US-CA,104558,US-CAh
104578,US-CA,104558,US-CAh
104579,US-CA,104558,US-CAh
104580,US-CA,104558,US-CAh
104581,US-CA,104558,US-CAh
104582,US-CA,104558,US-CAh
104583,US-CA,104558,US-CAh
104584,US-CA,104558,US-CAh
104585,US-CA,104558,US-CAh
104586,US-CA,104558,US-CAh
104587,US-CA,104558,US-CAh
104588,US-CA,104558,US-CAh
104589,US-CA,104558,US-CAh
104590,US-CA,104558,US-CAh
104591,US-CA,104558,US-CAh
104592,US-CA,104558,US-CAh
100016791,E-SC,100017085,E-VAcp
400104186,"",400104184,CH-EN
400104194,"",400104193,CH-EN
400104195,"",400104193,CH-EN
400108684,"",400108683,CH-BM
400108686,"",400108683,CH-BM
400108687,"",400108683,CH-BM
400108688,"",400108683,CH-BM
400108689,"",400108683,CH-BM
400108700,"",400108683,CH-BM
400108701,"",400108683,CH-BM
400108702,"",400108683,CH-BM
400108704,"",400108683,CH-BM
400108705,"",400108683,CH-BM
400108854,"",400108853,CH-BM
400108855,"",400108853,CH-BM
400111107,"",400111105,CH-BM
402004121,"",402004119,CH-E
402005024,"",402005018,CH-Bu
402005026,"",402005018,CH-Bu
402005029,"",402005027,CH-Bu
402005030,"",402005027,CH-Bu
402005031,"",402005027,CH-Bu
402005043,"",402005040,CH-Bu
402005049,"",402005047,CH-Bu
402005129,"",402005128,CH-Bu
402005130,"",402005128,CH-Bu
402005132,"",402005128,CH-Bu
402005133,"",402005128,CH-Bu
402005134,"",402005128,CH-Bu
402005135,"",402005128,CH-Bu
402005137,"",402005128,CH-Bu
402005140,"",402005138,CH-Bu
402005141,"",402005138,CH-Bu
402005143,"",402005138,CH-Bu
402005263,"",402005261,CH-Bu
402005264,"",402005261,CH-Bu
402005961,"",402005960,CH-LAc
402006283,"",402006282,CH-SGd
402006284,"",402006282,CH-SGd
402006285,"",402006282,CH-SGd
402006725,"",402006722,CH-SGd
403013519,"CH-E, CH-E",403013518,CH-E
403013520,"CH-E, CH-E",403013518,CH-E
406000195,"CH-SO, CH-SO",406000191,CH-SO
406000196,"CH-SO, CH-SO",406000191,CH-SO
406000197,"CH-SO, CH-SO",406000191,CH-SO
406001409,"CH-Bu, CH-Bu",406001405,CH-Bu
407002306,CH-Bu,407002305,""
407002307,CH-Bu,407002305,""
407002308,CH-Bu,407002305,""
410001884,"",410001874,CH-NYan
410001916,"",410001914,CH-NYan
450036556,D-KA,450036555,D-DO
450036557,D-KA,450036555,D-DO
450036558,D-KA,450036555,D-DO
450036559,D-KA,450036555,D-DO
450036560,D-KA,450036555,D-DO
450063563,D-KNmi,450063529,D-KNu
450065214,D-BNms,450065105,D-BNu
450065215,D-BNms,450065105,D-BNu
450065216,D-BNms,450065105,D-BNu
450065217,D-BNms,450065105,D-BNu
450065218,D-BNms,450065105,D-BNu
450065219,D-BNms,450065105,D-BNu
450065220,D-BNms,450065105,D-BNu
450065221,D-BNms,450065105,D-BNu
450065222,D-BNms,450065105,D-BNu
450065223,D-BNms,450065105,D-BNu
450065224,D-BNms,450065105,D-BNu
450065225,D-BNms,450065105,D-BNu
450065226,D-BNms,450065105,D-BNu
450065227,D-BNms,450065105,D-BNu
450065228,D-BNms,450065105,D-BNu
450065229,D-BNms,450065105,D-BNu
450065230,D-BNms,450065105,D-BNu
450065231,D-BNms,450065105,D-BNu
450065232,D-BNms,450065105,D-BNu
450065233,D-BNms,450065105,D-BNu
450065234,D-BNms,450065105,D-BNu
450065235,D-BNms,450065105,D-BNu
450065236,D-BNms,450065105,D-BNu
450065237,D-BNms,450065105,D-BNu
450065238,D-BNms,450065105,D-BNu
450065239,D-BNms,450065105,D-BNu
450065240,D-BNms,450065105,D-BNu
450065241,D-BNms,450065105,D-BNu
450065242,D-BNms,450065105,D-BNu
450065243,D-BNms,450065105,D-BNu
450065244,D-BNms,450065105,D-BNu
