ID,Anzahl Drucke,Digitalisat vorhanden
993104176,27,Ja
993104197,12,Ja
993104224,10,Ja
993104230,17,Ja
993104242,15,Ja
990000329,1,Nein
990000689,3,Ja
990000730,5,Nein
990000750,2,Nein
990000938,8,Ja
990001305,1,Nein
990001307,3,Nein
990003076,13,Ja
990003080,40,Ja
990003084,20,Nein
990003085,27,Ja
990003088,51,Ja
990003099,44,Ja
990003814,4,Ja
990004664,5,Nein
990005543,48,Nein
990005986,7,Nein
990005987,7,Nein
990006289,3,Nein
990006496,3,Nein
990007626,3,Nein
990008039,5,Ja
990008465,11,Nein
990008467,20,Ja
990008472,28,Ja
990008478,12,Nein
990008480,4,Nein
990008481,3,Nein
990008484,2,Nein
990008485,4,Nein
990008486,4,Nein
990008495,17,Nein
990008497,28,Ja
990009119,2,Nein
990009120,6,Nein
990009467,6,Nein
990010087,4,Nein
990010090,5,Nein
990010092,4,Ja
990010094,4,Nein
990010097,4,Nein
990010099,5,Nein
990010100,6,Ja
990010109,1,Nein
990010113,1,Nein
990010117,4,Nein
990010121,1,Nein
990010125,4,Nein
990010128,3,Nein
990010584,32,Ja
990010588,34,Ja
990010590,19,Nein
990010710,23,Nein
990011229,39,Nein
990011320,3,Nein
990011758,2,Nein
990012703,4,Nein
990013607,21,Ja
990013662,21,Ja
990013665,31,Ja
990015273,4,Nein
990015274,10,Ja
990015278,4,Ja
990015279,5,Nein
990015357,6,Nein
990015428,3,Nein
990015429,2,Ja
990015430,2,Nein
990015431,3,Nein
990015433,8,Ja
990015434,8,Nein
990015509,33,Ja
990016392,4,Nein
990017146,6,Ja
990017347,6,Ja
990018028,2,Nein
990018191,7,Nein
990018948,1,Nein
990019013,36,Ja
990019021,40,Ja
990019083,4,Nein
990019099,5,Nein
990019111,6,Nein
990019777,4,Ja
990022620,56,Ja
990022625,16,Nein
990022643,4,Nein
990023151,83,Ja
990023344,68,Ja
990023718,7,Ja
990024549,1,Nein
990024569,14,Nein
990024591,1,Nein
990024660,2,Nein
990025045,3,Nein
990025046,3,Nein
990025281,29,Ja
990025285,17,Ja
990025432,40,Ja
990025451,56,Nein
990025455,16,Nein
990025510,8,Nein
990025512,4,Nein
990025963,2,Nein
990026179,36,Nein
990026500,1,Nein
990026501,1,Nein
990026502,1,Nein
990026503,1,Nein
990026682,57,Ja
990026684,88,Ja
990026697,5,Nein
990026744,54,Ja
990026769,9,Ja
990028838,49,Ja
990028856,8,Nein
990028887,3,Nein
990029313,11,Ja
990029314,8,Nein
990029317,4,Nein
990029318,4,Nein
990029372,38,Nein
990029385,13,Nein
990029475,22,Nein
990030380,3,Nein
990031454,5,Nein
990031456,5,Nein
990031458,7,Ja
990031463,3,Nein
990032301,31,Ja
990032612,4,Ja
990033051,4,Nein
990033079,5,Nein
990033279,19,Ja
990033647,16,Nein
