ID, Model, Unicode-Character, Sample
Source,200022424,TABULATOR,"ll Opera"".[TABULATOR]004[TABULATOR]DE=5"
Source,201010228,TABULATOR,a Schumann[TABULATOR]auf eine K
Source,211008440,TABULATOR,1690153393[TABULATOR]$xDigitize
Source,212001656,TABULATOR,EF}{GABG}/[TABULATOR]$rF=031 
Source,212006420,TABULATOR,. 1724  1.[TABULATOR]Paggio all
Source,212006972,TABULATOR,a1$b2$c2$e[TABULATOR]$gC-1$mS s
Source,212008118,TABULATOR,hrieben.  [TABULATOR]In den Ms.
Source,212008611,TABULATOR,MEDONTE   [TABULATOR]T   [TABULATOR]Panza
Source,212008640,TABULATOR, Arsace   [TABULATOR]   [TABULATOR]Mazzan
Source,212008651,TABULATOR,TASERSE   [TABULATOR]   [TABULATOR]Leonar
Source,212008654,TABULATOR,"ssandro   [TABULATOR]Raaff, Ant"
Source,212008660,TABULATOR,ripte:  1.[TABULATOR]Ein Kontra
Source,212008682,TABULATOR,"ofoonte   [TABULATOR]Babbi, Gre"
Source,220040045,TABULATOR, 1790-1800[TABULATOR]$801=300
Source,290002787,TABULATOR, Orchester[TABULATOR][TABULATOR] [TABULATOR][TABULATOR] [TABULATOR][TABULATOR] [TABULATOR][TABULATOR]
Source,300511327,TABULATOR,-8C4C'bB/8[TABULATOR]AAAABA{Bx'
Source,300512640,TABULATOR,}{6FEDC}/ [TABULATOR]$rC=031 
Source,300514038,TABULATOR,"-{8''G'G}/[TABULATOR]$rD$zCoro,"
Source,302000086,TABULATOR,"C,B'D}/$t [TABULATOR]Frohlocket"
Source,302000134,TABULATOR,ativ$mT$t [TABULATOR]Vollführ i
Source,302000135,TABULATOR,C4.D8E/$t [TABULATOR]Hier nur i
Source,302000136,TABULATOR,/{FG}-/$t [TABULATOR]Mache mir 
Source,302000137,TABULATOR,D8DC4-/$t [TABULATOR]Halleluia 
Source,302000138,TABULATOR,}8'C6- $t [TABULATOR]Wenn ich m
Source,302000139,TABULATOR,"C,B}8A-$t [TABULATOR]O wie seli"
Source,302000207,TABULATOR,dChoral$t [TABULATOR]Selig sind
Source,302000208,TABULATOR,mT solo$t [TABULATOR]Ich will v
Source,302000210,TABULATOR,mS solo$t [TABULATOR]Mein Heila
Source,302000248,TABULATOR,",AFAFD/$t [TABULATOR]Lobe nur S"
Source,302000251,TABULATOR,B/{AG}F$t [TABULATOR]Verstumme 
Source,302000253,TABULATOR,t $gC-1$m [TABULATOR]S solo $nx
Source,302000254,TABULATOR,dChoral$t [TABULATOR]Vor allem 
Source,302000255,TABULATOR,+/FDE2C$t [TABULATOR]Ich muß en
Source,302000256,TABULATOR,8'BA}4G$t [TABULATOR]Rauschende
Source,302000257,TABULATOR,mT solo$t [TABULATOR]Verkürze m
Source,302000258,TABULATOR,mB solo$t [TABULATOR]Wie freu' 
Source,302000259,TABULATOR,6AG}8A-$t [TABULATOR]Nun rufe d
Source,302000262,TABULATOR,ativ$mS$t [TABULATOR]Ich habe m
Source,302000263,TABULATOR,'B}4A-/$t [TABULATOR]Du bist da
Source,302000264,TABULATOR,BA/AG-/$t [TABULATOR]In dir o W
Source,302000265,TABULATOR,4G/2FE/$t [TABULATOR]Hoffe nur 
Source,302000266,TABULATOR,F}8E/--$t [TABULATOR]Nun scheu'
Source,302000267,TABULATOR,dChoral$t [TABULATOR]So kann ic
Source,302000268,TABULATOR,}/4''CE$t [TABULATOR]Wer bin ic
Source,302000269,TABULATOR,'BnA}8B$t [TABULATOR]Was zeitli
Source,302000310,TABULATOR,4'AG-/-$t [TABULATOR]Das Herze 
Source,302000385,TABULATOR,"8C,B}4A$t [TABULATOR]Gott ruft "
Source,302000391,TABULATOR,{GF}8E-$t [TABULATOR]Vater zieh
Source,302000755,TABULATOR,}8F4-/ $t [TABULATOR]Matt ruft 
Source,350000284,TABULATOR,a Ninensei[TABULATOR]  ワタシハ　二年生
Source,350000285,TABULATOR,suno Sekku[TABULATOR]五月ノ　セック$mV
Source,350000286,TABULATOR,10$aKi-u-e[TABULATOR]  木ウエ$mV$r
Source,350000294,TABULATOR, 10$aUsagi[TABULATOR] ウサギ$mV$rC
Source,350000295,TABULATOR,Fujinoyama[TABULATOR]富士ノ　 山$mV$
Source,350000296,TABULATOR,Kikunohana[TABULATOR]菊ノ　花$mV$rC
Source,350000336,TABULATOR,Ichinensei[TABULATOR]ワタシハーネンセイ$
Source,350000337,TABULATOR, 10$aShiro[TABULATOR]シロ$mV$rF$0
Source,350000344,TABULATOR,Mizu-asobi[TABULATOR]ミヅアソビ$mV$r
Source,350000348,TABULATOR,no O-u-chi[TABULATOR]  ワタシ　ノ　オウ
Source,350000349,TABULATOR, 10$aTsuki[TABULATOR]ツキ$mV$rF$0
Source,350000353,TABULATOR, Mochihiki[TABULATOR]ネズミ　ノ　モチヒキ
Source,350000354,TABULATOR,amu Kosamu[TABULATOR]大サム　小サム$mV
Source,350000356,TABULATOR,Yukidaruma[TABULATOR]雪ダルマ$mV$rB
Source,350000358,TABULATOR,nasakajiji[TABULATOR]ハナサカヂヂイ$mV
Source,350000363,TABULATOR,$aHaya-oki[TABULATOR]ハヤオキ$mV$rF
Source,350000365,TABULATOR,10$aHibari[TABULATOR]ひばり$mV$rF$
Source,350000367,TABULATOR,etsukabuto[TABULATOR] てつかぶと$mV$
Source,350000369,TABULATOR,10$aSa Syu[TABULATOR]さ　舟$mV$rF$
Source,350000371,TABULATOR,10$aRaji-o[TABULATOR] ラヂオ$mV$rD
Source,350000374,TABULATOR,-i-hei San[TABULATOR]すゐへいさん$mV$
Source,350000378,TABULATOR,okeino Uta[TABULATOR]時計の歌$mV$rG
Source,350000381,TABULATOR,inamatsuri[TABULATOR]ひなまつり$mV$r
Source,350000383,TABULATOR,ujino Yama[TABULATOR]富士の山$mV$rD
Source,350000389,TABULATOR,$aSyokugyo[TABULATOR]職業$mV$rD$0
Source,350000391,TABULATOR,  10$aChyo[TABULATOR]蝶$mV$rD$04
Source,350000393,TABULATOR, 10$aTokei[TABULATOR]時計$mV$rD$0
Source,350000399,TABULATOR, 10$aNatsu[TABULATOR]夏$mV$rG$04
Source,350000401,TABULATOR,Kakikyugyo[TABULATOR]夏期休業$mV$rG
Source,350000402,TABULATOR,aHubono on[TABULATOR]父母의 恩$mV$r
Source,350000404,TABULATOR,aGakuto ka[TABULATOR]學徒歌$mV$rG$
Source,350000410,TABULATOR,  10$aHuyu[TABULATOR]冬$mV$rC$04
Source,350000412,TABULATOR, 10$aInshi[TABULATOR]隱士$mV$rD$0
Source,350000416,TABULATOR,ngaku Ichi[TABULATOR]勸學一$mV$rC$
Source,350000417,TABULATOR,Kingaku Ni[TABULATOR]勸學二$mV$rC$
