ID,Incipitnr,PIKaDo 823,PIKaDo 824
100005, 1.2.1, c;3/8, 
100005, 1.8.1, c;3/8, 
100006, 1.2.1, c;c/, 
100040, 1.2.1, c;c, 
100060, 1.2.1, c;3/4, 
100063, 1.9.1, c;c, 
100082, 1.1.1, c;12/8, 
100112, 1.1.1, c;2/4, 
100143, 1.1.1, c;3/2, 3/2
100188, 1.3.1, c;3/4, 
100470, 1.2.1, c;c, 
100471, 1.1.1, c;c, 
100471, 1.4.1, c;c/, 
100799, 1.1.1, c;6/8, 
100799, 1.6.1, c;6/8, 
100804, 1.5.1, c;6/8, 
101204, 1.1.1, c;3/4, 
101216, 1.15.1, c;3/4, 
101467, 1.2.1, c;c/, 
102064, 1.2.1, c;3/4, 
102083, 1.1.1, c;3/4, 
102084, 1.1.1, 3/4;c, 
102086, 1.1.1, c;3/4, 
102089, 1.1.1, 3/4;c, 
102266, 1.1.1, c;c/, 
102266, 1.2.1, c;3/4, 
102266, 1.4.1, c;c/, 
102266, 1.6.1, c;c/, 
102266, 1.7.1, c;3/2, 
102266, 1.10.1, c;c/, 
102266, 1.11.1, c;c/, 
102268, 1.27.1, 18/16;3/4, 
102270, 1.6.1, c;c/, 
102278, 1.1.1, c;2/4, 
102295, 1.2.1, c;6/8, 
102295, 1.3.1, c;6/8, 
102312, 1.6.1, c;c/, 
102313, 1.7.1, c;c/, 
102317, 1.4.1, c;2/4, 
102325, 1.6.1, c;c/, 
102957, 1.6.1, c;3/4, 
102997, 1.2.1, c;c/, 
103009, 1.2.1, c;2/4, 
103010, 1.3.1, c;c/, 
103015, 1.1.1, 3/4;c, 
103016, 1.2.1, c;3/4, 
103219, 1.3.1, c;c, 
103259, 1.1.1, c;c/, 
103285, 1.8.1, c;3/4, 
103413, 1.2.1, c;c, 
103413, 1.2.2, c;c, 
103441, 1.2.1, c;c/, 
103824, 1.2.2, 3/4;3/4, 
103846, 1.3.2, 3/4;3/4, 
103873, 1.3.1, c;c, 
103954, 1.9.1, c/;c/, 
104462, 1.2.1, c;c/, 
105052, 1.47.1, c;3/4, 
106103, 1.1.1, c;3/4, 0
106244, 1.9.1, c;c/, 
106245, 1.2.1, c;c/, 0
106551, 1.1.1, c;4/2, 0
106989, 1.1.1, c;3/2, 0
106989, 1.2.1, c;3/2, 
107033, 1.6.1, c;c, 
107035, 1.2.1, c;3/4, 
107035, 1.4.1, c;c, 
107552, 1.7.1, c;c/, 
107553, 1.4.1, c;c, 
107822, 1.1.1, c;2/4, 
107822, 1.2.1, c;3/8, 
107829, 1.3.1, c;c/, 
107831, 1.4.1, c;c/, 
107831, 1.7.1, c;c/, 
107836, 1.1.1, c;c/, 0
107854, 1.8.1, c;c/, 
107854, 1.9.1, c;c/, 
108522, 1.1.1, c;c, 
108955, 1.3.1, c;c, 
108963, 1.1.1, c;c, 
108999, 1.1.1, c;3/4, 0
109006, 1.2.1, c;3/4, 
109006, 1.3.1, c;6/8, 
109007, 1.2.1, c;3/4, 
109571, 1.20.1, c/;c/, 
109571, 1.28.1, c;c/, 
110044, 1.1.1, c;c, 
110093, 1.1.1, c/;6/4, 
110120, 1.5.1, c;3/2, 
