ID,SIGLUM,TAG
990008602:33014,D-KA,593 multiple
990008617:33099,D-KA,593 multiple
990053569:51019661,F-Po,593 multiple
990053590:51019664,F-Po,593 multiple
1001127350:51029012,US-BETm,593 multiple
1001156606:51031318,SK-BRnm,593 multiple
1001166449:51034364,US-BETm,593 multiple
1001168594:51034727,US-BETm,593 multiple
1001168840:51034772,US-BETm,593 multiple
1001168860:51034780,US-BETm,593 multiple
1001168865:51034782,US-BETm,593 multiple
1001170343:51035188,US-BETm,593 multiple
1001171754:51035592,US-BETm,593 multiple
1001207892:51045868,US-BETm,593 multiple
1001213410:51048235,US-BETm,593 multiple
1001227480:51052647,US-BETm,593 multiple
1001074808:51053807,A-LA,593 multiple
1001232028:51053894,US-BETm,593 multiple
