RISMID,596$a
51768,RISM A/I
51769,RISM A/I
51770,RISM A/I
51771,RISM A/I
51772,RISM A/I
51774,RISM A/I
51791,RISM A/I
51792,RISM A/I
51793,RISM A/I
51794,RISM A/I
51795,RISM A/I
51796,RISM A/I
51798,RISM A/I
51800,RISM A/I
51801,RISM A/I
51802,RISM A/I
51805,RISM A/I
51808,RISM A/I
100003,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100005,RISM A/I
100008,RISM A/I
100010,RISM A/I
100010,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100011,RISM A/I
100013,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100050,RISM A/I
100051,RISM A/I
100051,RISM A/I
100051,RISM A/I
100051,RISM A/I
100051,RISM A/I
100051,RISM A/I
100051,RISM A/I
100051,RISM A/I
100052,RISM A/I
100056,RISM A/I
100059,RISM A/I
100067,RISM A/I
100069,RISM A/I
100069,RISM A/I
100069,RISM A/I
100069,RISM A/I
100069,RISM A/I
100070,RISM A/I
100070,RISM A/I
100070,RISM A/I
100070,RISM A/I
100070,RISM A/I
100071,RISM A/I
100071,RISM A/I
100071,RISM A/I
100071,RISM A/I
100072,RISM A/I
100072,RISM A/I
100072,RISM A/I
100072,RISM A/I
100072,RISM A/I
100073,RISM A/I
100073,RISM A/I
100073,RISM A/I
100073,RISM A/I
100074,RISM A/I
100074,RISM A/I
100074,RISM A/I
100074,RISM A/I
100074,RISM A/I
100075,RISM A/I
100075,RISM A/I
100075,RISM A/I
100075,RISM A/I
100075,RISM A/I
100076,RISM A/I
100076,RISM A/I
100077,RISM A/I
100077,RISM A/I
100077,RISM A/I
100077,RISM A/I
100078,RISM A/I
100078,RISM A/I
100078,RISM A/I
100078,RISM A/I
100078,RISM A/I
100087,RISM A/I
100087,RISM A/I
100097,RISM A/I
100097,RISM A/I
100097,RISM A/I
100100,RISM A/I
100100,RISM A/I
100100,RISM A/I
100100,RISM A/I
100101,RISM A/I
100102,RISM A/I
100103,RISM A/I
100104,RISM A/I
100105,RISM A/I
100106,RISM A/I
100107,RISM A/I
100108,RISM A/I
100109,RISM A/I
100110,RISM A/I
100111,RISM A/I
100112,RISM A/I
100113,RISM A/I
100114,RISM A/I
