ID,TEMPLATE,100a,RISM-SIGEL,Shelfmark
850600342,collection,"Colonna, Giovanni Paolo",I-PAc,Sanv.C.4
850600368,collection,"Piticchio, Francesco",I-PAc,Sanv.B.15
850600374,collection,"Colonna, Giovanni Paolo",I-PAc,Sanv.C.21
850600425,collection,"Caldara, Antonio",I-PAc,Sanv.B.42
850601376,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.B.7
850601449,collection,"Crescentini, Girolamo",I-PAc,Sanv.B.25
850601463,collection,"Blangini, Felice",I-PAc,Sanv.B.28
850601524,collection,"Durante, Francesco",I-PAc,Sanv.B.5
850601539,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.B.8
850601543,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.B.83
850601556,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.B.9
850601588,collection,"Millico, Giuseppe",I-PAc,Sanv.B.17
850601599,collection,"Crescentini, Girolamo",I-PAc,Sanv.B.24
850601611,collection,"Crescentini, Girolamo",I-PAc,Sanv.B.26
850601634,collection,"Caldara, Antonio",I-PAc,Sanv.B.38
850601892,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.B.10
850601899,collection,"Carapella, Tommaso",I-PAc,Sanv.B.12
850602061,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.B.11
850602089,collection,"Clari, Giovanni Carlo Maria",I-PAc,Sanv.C.17
850603728,collection,"Quilici, Massimiliano",I-PAc,Sanv.C.706
850627210,collection,"Meneghetti, Giovanni",I-BGc,N.C.2.6
850628173,collection,"Spontini, Gaspare",I-Rsc,G-Mss-993
850635074,collection,"Mayr, Johann Simon",I-BGc,Mayr 311.3
850638719,collection,"Bigatti, Carlo",I-Msc,4.2
850649917,collection,"Donizetti, Gaetano",I-Rsc,G-Mss-2410
850655099,collection,"Beretta, Francesco",I-Rsc,G.MS 069
850682636,collection,"Di Gennaro, Andrea",I-Nc,Cantate 60
850694934,collection,"Boccherini, Luigi",I-Ria,Mss.Vess. 255
850694938,collection,"Hugot, Antoine",I-Ria,Mss.Vess. 264
850695119,collection,"Küffner, Joseph",I-Ria,Mss.Vess. 274
850701716,collection,"Colletti, Francesco Maria",I-VId,XXXVII.5
850709520,collection,"Grotto, Antonio",I-VId,XVII. 5
850713448,collection,"Buzzolla, Antonio",I-Vc,Busta 40.72
850727917,collection,"Mozart, Wolfgang Amadeus",I-BEc,AM.ms94
850729910,collection,"Valente, Saverio",I-Mc,Noseda I.88.2
850734291,collection,"Miari, Antonio Angelo",I-BEc,AM.ms14
850741757,collection,"Lolli, Antonio",I-Mc,Noseda Q.39.5.a
850743124,collection,"Perla, Michele",I-Nc,Mus.Rel. 1583
850743128,collection,"Perla, Michele",I-Nc,Mus.Rel.1584
850743264,collection,"Pera, Girolamo",I-Nc,32.1.6(3)
850743271,collection,"Laccetti, Guido",I-Nc,8.1-3
850743281,collection,"Musorgskij, Modest Petrovič",I-Nc,9.9
850743432,collection,"Leo, Leonardo",I-Nc,9.2
850743603,collection,"Pera, Girolamo",I-Nc,32.1.6(1)
850743606,collection,"Davico, Vincenzo",I-Nc,18.5.10(8)
850743900,collection,"Tommasini, Vincenzo",I-Nc,10.5.9
850743905,collection,"Guerrini, Guido ",I-Nc,18.5.10(2)
850744179,collection,"Gallenberg, Wenzel Robert",I-Nc,18.8.13
850744317,collection,"Pannain, Antonio",I-Nc,18.3.20(1-2)
850744333,collection,"Ricupero, Francesco",I-Nc,Mus.Rel. 4862(13)
850747579,collection,"Cafaro, Pasquale",I-Nc,22.6.9(10)
850748515,collection,"Donadio, Giovanni ",I-Nc,65.3.101 (35)
850748999,collection,"Filiasi, Luigi",I-Nc,Filiasi 3.5
850749146,collection,"Filiasi, Luigi",I-Nc,Filiasi 3.6
850750740,collection,"Sarmiento, Giulio",I-Nc,78.1.1(1-21)
850750912,collection,"Trento, Vittorio",I-Nc,Oratori 102
850752728,collection,"Zingarelli, Niccolò Antonio",I-Nc,Mus.Rel. 3490(1-6)
