ID,SIGLUM
100814,US-Bc
102560,US-Bp
107711,US-WGw
108082,US-WS
108506,US-Bh
108509,US-Bh
112229,US-MED
112275,US-MED
115110,US-SFsc
115120,US-SFsc
115640,US-SFsc
115784,US-BEm
116410,US-Eu
119090,US-R
119311,US-R
119343,US-R
119620,US-BEm
120750,US-Eu
121472,US-Eu
126000,US-R
126020,US-R
126040,US-R
126060,US-R
126080,US-R
126110,US-R
126190,US-R
126200,US-R
126210,US-R
126220,US-R
126917,US-SA
128970,US-R
138939,US-CAward
240718,US-WS
800271977,GB-Lbl
800271978,GB-Lbl
800271980,GB-Lbl
806291419,GB-Cu
806291570,GB-Cu
806291627,GB-Cu
806291628,GB-Cu
806291629,GB-Cu
806291633,GB-Cu
806291636,GB-Cu
806291637,GB-Cu
806291642,GB-Cu
806292094,GB-Cu
806293511,GB-Cu
806293523,GB-Cu
806293525,GB-Cu
806293660,GB-Cu
806294377,GB-Cu
806294574,GB-Cu
806294575,GB-Cu
806294576,GB-Cu
806294949,GB-Cu
806629865,GB-CH
806630296,GB-AB
806630297,GB-AB
806630298,GB-AB
806630299,GB-AB
806630300,GB-AB
806630301,GB-AB
806630304,GB-AB
806630305,GB-AB
806630306,GB-AB
806630307,GB-AB
806630308,GB-AB
806630309,GB-AB
806630310,GB-AB
806630311,GB-AB
806630312,GB-AB
806630313,GB-AB
806630314,GB-AB
806630327,GB-AB
806630349,GB-AB
806630350,GB-AB
806630351,GB-AB
806630352,GB-AB
806630376,GB-AB
806630377,GB-AB
806630381,GB-AB
806630432,GB-AB
806630433,GB-AB
806630434,GB-AB
806630435,GB-AB
806630436,GB-AB
806630460,GB-AB
806630540,GB-AB
806630541,GB-AB
806630542,GB-AB
806630543,GB-AB
806630544,GB-AB
806630546,GB-AB
806630551,GB-AB
806630559,GB-AB
806630560,GB-AB
806630561,GB-AB
806630563,GB-AB
806630594,GB-AB
806630595,GB-AB
806630638,GB-AB
806630639,GB-AB
806630826,GB-Eca
806902327,GB-A
806902328,GB-A
806902329,GB-A
806902330,GB-A
806902331,GB-A
806902332,GB-A
806902333,GB-A
806902334,GB-A
806902338,GB-MOa
806902356,GB-AYRac
806902364,GB-KWo
806930292,GB-WMl
806930293,GB-WMl
806930294,GB-WMl
806930295,GB-WMl
806930749,GB-DRc
806930824,GB-Lfom
806930827,GB-Lfom
806930831,GB-Lfom
806930834,GB-Lfom
806930837,GB-Lfom
806930840,GB-Lfom
806931001,GB-Lfom
806931003,GB-Lfom
806931006,GB-Lfom
806931008,GB-Lfom
806931010,GB-Lfom
806931013,GB-Lfom
806931015,GB-Lfom
806931017,GB-Lfom
806931303,GB-Lfom
806931319,GB-Lfom
806931321,GB-Lfom
806931337,GB-Lfom
806931339,GB-Lfom
806931354,GB-Lfom
806931383,GB-Lfom
806931391,GB-Lfom
806931393,GB-Lfom
806931394,GB-Lfom
806931397,GB-Lfom
806931403,GB-Lfom
806931411,GB-Lfom
806931413,GB-Lfom
806931416,GB-Lfom
806931418,GB-Lfom
806931422,GB-Lfom
806931424,GB-Lfom
806931437,GB-Lfom
806931443,GB-Lfom
806931447,GB-Lfom
806931449,GB-Lfom
806931453,GB-Lfom
806934592,GB-Lfom
806934594,GB-Lfom
806934598,GB-Lfom
806934604,GB-Lfom
806934607,GB-Lfom
806934615,GB-Lfom
806934618,GB-Lfom
806934620,GB-Lfom
806934629,GB-Lfom
806934631,GB-Lfom
806934634,GB-Lfom
806934637,GB-Lfom
806934640,GB-Lfom
806934641,GB-Lfom
806934644,GB-Lfom
806934645,GB-Lfom
806935519,GB-Lfom
806935520,GB-Lfom
806935521,GB-Lfom
806935522,GB-Lfom
806935523,GB-Lfom
806935524,GB-Lfom
806935525,GB-Lfom
806935526,GB-Lfom
806940132,GB-Lbl
806940136,GB-Lbl
806940138,GB-Lbl
806940140,GB-Lbl
806940142,GB-Lbl
806940143,GB-Lbl
806940144,GB-Lbl
806940145,GB-Lbl
806940148,GB-Lbl
806940149,GB-Lbl
806940151,GB-Lbl
806940153,GB-Lbl
806940154,GB-Lbl
806940158,GB-Lbl
806940159,GB-Lbl
806940160,GB-Lbl
806940162,GB-Lbl
806940239,GB-SUrose
806940242,GB-Lbl
806940243,GB-Lbl
806940244,GB-Lbl
806940246,GB-Lbl
900006407,US-NH
1001044842,US-WS
1001045250,US-WS
1001049539,GB-Cu
1001053755,US-WS
1001056545,US-WS
1001078977,US-NHub
1001101935,US-Wc
1001106149,GB-STA
1001214348,US-Wc
1001215145,US-Wc
1001215150,US-Wc
1001215154,US-Wc
1001215296,US-BETm
1001215299,US-BETm
1001215307,US-BETm
1001215312,US-BETm
1001215591,US-BETm
1001224445,US-Wc
1001243271,US-Wc
1001246318,US-Wc
1001247254,US-Wc
1001247956,US-Wc
1001252053,US-Wc
1001252055,US-Wc
