ID,Term,Alternativ
25133,Masses,Messen
25134,Requiems,""
25135,Exsequiae,""
25137,Litanies,Litaneien
25138,Konzertstücke,""
25139,Passacaglias,Passacaglien
25140,Pasticcios,""
25141,Melodramas,Melodramen
25142,Zarzuelas,""
25143,Operettas,Operetten
25145,Hours of the Office,"Stundengebete
Officium Divinum"
25147,Elegies (inst./voc.),Elegien (instr./vok.)
25148,Stage music,Bühnenwerk
25149,Vespers,Vespern
25150,Introits,Introitus
25151,Communions,"Trecanum
Transitorium
Antiphona ad accedentes
Koinonikon"
25156,Tracts,Tractus
25157,Improperia,""
25158,Movements,Instrumentalsätze
25159,Funeral music,Trauermusik
25160,Operas,"Opern
Favola in musica
Opera scenica
Tragedia musicale
Opera tragicomica
Dramma musicale
Dramma per musica
Opera buffa
Opera semiseria
Opéra comique
Opera seria
Dramma giocoso per musica
Musikdrama
Commedia in musica"
25161,Concerti grossi,""
25162,Divertimentos,"Cassations
Notturnos (inst.)
Serenades
Trattenimenti
Kassationen
Serenaden"
25167,Duets (voc.),"Duetti
Duette"
25169,Fugues (voc.),Fugen (vok.)
25170,Symphonies concertantes,Konzertante Sinfonien
25171,Solfeggios (inst./voc.),"Solfeggien (instr./vok.)
Solfèges"
25172,Ballets,Ballette
25173,Capriccios (inst.),Caprices
25174,Catches,""
25175,Glees,""
25176,Concertos,Konzerte
25178,Dances,"Balletti
Balli
Tänze"
25181,Duets (inst.),Duos (instr.)
25184,Exercises (inst.),Übungsstücke (instr.)
25185,Fantasies,"Fancies
Fantasien
Fantasias"
25187,Fugues (inst.),Fugen (instr.)
25188,Incidental music,"Curtain tunes
Entrees
Schauspielmusiken"
25189,Marches,"Märsche
Marce"
25192,Minuets,"Menuette
Minuette"
25196,Overtures,"Sinfonias
Ouvertures
Ouvertüren"
25199,Partitas,Partiten
25200,Modinhas,Modas
25202,Postludes,Postludien
25203,Polonaises,Polonaisen
25204,Preludes,"Präludien
Praeambula"
25205,Quartets (inst.),Quartette (instr.)
25207,Ricercares (inst.),"Ricercari (inst.)
Recercares (inst.)"
25212,Contrapuntal studies (inst./voc.),Kontrapunkt-Studien (instr./vok.)
25213,Sonatas,Sonaten
25214,Suites,Suiten
25215,Symphonies,"Sinfonias
Symphonien
Sinfonien
Sinfonie"
25216,Toccatas,Tokkaten
25217,Trios (inst.),Trios (instr.)
25218,Variations,"Variationen
Variazioni"
25219,Villancicos,""
25220,Waltzes,"Walzer
Valses"
25223,Airs (inst.),Airs (instr.)
25224,Arias (voc.),Arien (vok.)
25225,Canons (inst.),Kanons (instr.)
25226,Cantatas,"Cantatilles
Kantaten"
25227,Lieder,""
25229,Liederspiele,""
25230,Oratorios,"Oratorien
Oratori"
25233,Songs,""
25234,Anthems,""
25235,Antiphons,"Antiphonen
Antiennes
"
25237,Chorales,Choräle
25238,Hymns,Hymnen
25239,Graduals,Gradualien
25240,Motets,Motetten
25241,Lamentations,Lamentationen
25242,Offertories,Offertorien
25243,Instrumental pieces,Instrumentalstücke
25244,Terzets (voc.),"Terzette
Terzetti"
25246,Passions,Passionen
25248,Responsories,Responsorien
25249,Sequences,"Sequenzen
Prosa"
25250,Sacred songs,Geistliche Gesänge
25252,Character pieces,Charakterstücke
25254,Chorale arrangements,"Choralbearbeitungen
Chorale preludes
Choralvorspiele
Chorale fugues
Choralfugen"
25256,Serenatas,""
25257,Madrigals,Madrigale
25258,Canzoni (voc.),"Kanzonen (vok.)
Canzonas (voc.)"
25259,Recitatives,Rezitative
25260,Festive music,"Festa teatrale
Festa di camera
Gelegenheitsmusik"
25261,Interludes,Interludien
25262,Programme music,"Programmusik
Program music"
25264,Pantomimes,Pantomimen
25265,Calendas,""
25266,Consorts,""
25268,Symphonic poems,Symphonische Dichtungen
25270,Cavatinas,Kavatinen
25271,Scenes,Szenen
25272,National anthems,Nationalhymnen
25273,Notturni (voc.),Notturni (vok.)
25274,Pieces,Musikstücke
25275,Vocal pieces,Vokalstücke
25276,Fanfares,"Fanfaren
Sonneries"
25278,Chansons,Chansonettes
25280,Ballad operas,""
25283,Wind music,Harmoniemusik
25285,Entr'actes,"Entreakte
Musical interludes"
25286,Gigues,"Jigs
Gighe
Jigg
Giguen"
25290,Folias,"Folies d'Espagne
Follie
Fedeles"
25297,Tarantellas,""
25302,Tambourins,Tembourins
25304,Basse danses,"Bassa danze
Baixes dances"
25307,Loures,""
25308,Short comic stage music,""
25309,Courantes,"Corants
Corantos
English Courants"
25311,Pasodobles,Paso doble
25313,Folk songs,Volkslieder
25315,Canzonettas,"Kanzonetten
Canzonets"
25316,Sarabandes,"Zarabandas
Sarabanden"
25318,Inventions,Inventionen
25319,Exercises (voc.),Übungsstücke (vok.)
25320,Services,""
25321,Grounds,""
25327,Allemandes,"Almains
Allemanden"
25329,Possen,Farces
25330,Dialogues,Dialoge
25331,Partimentos,Partimenti
25332,Table entertainments,""
25333,Tutors (voc.),Gesangsschulen
25335,Rhapsodies (inst.),Rhapsodien (instr.)
25336,Rhapsodies (voc.),Rhapsodien (vok.)
25337,Romances (inst.),Romanzen (instr.)
25338,Quodlibets,"Ensalada
Fricassée
Misticanza"
25343,Parodies,Parodien
25344,Masques,""
25348,Toys,""
25349,Intonations (voc.),Intonationen (vok.)
25350,Intonazione (inst.),Intonationen (instr.)
25351,Afterpieces,""
25352,Atti di contrizione,"Actus paenitentiae
Acto de contrición"
25353,Janissary music,"Turkish music
Janitscharenmusik
Musique de turque
Banda turca"
25358,Canzonas (inst.),Kanzonen (instr.)
25359,Murkies,"Mourqui
Murckie
Murkys
Morqui
Murckij"
25362,Sacred concerts (voc.),"Geistliche Konzerte (vok.)
Symphoniae sacrae"
25365,Lamentos,""
25366,Odes,Oden
25367,Couplets,""
25368,Vaudevilles,""
25369,Prologues (stage),Prologe (Bühnenwerk)
25370,Intradas,"Entrata
Entrada
Entrée
Entry
Aufzug
Einzug
Intraden"
25377,Contredanses,Kontretänze
25379,Canaries,Canarios
25384,Bourrées,"Laboures
Borea
Buore
Borries
Borres"
25390,Galliards,"Gaiarde
Gagliarde
Gaillardes
Gallardas
Galliarden"
25395,Gavottes,Gavotten
25396,Reels,Hreols
25398,Strathspeys,Traspeys
25400,Hornpipes,""
25401,Voltas,"Lavolte
Volten"
25403,Saltarellos,Saltarelli
25404,Ländler,"Landlerische
Tyrolienne"
25407,Quadrilles,"Cuadrillas
Quadriglie
Francia négyesek
Quadrillen"
25411,Polkas,""
25413,Écossaises,Ekossaisen
25414,Anglaises,"Inglese
Engloises
Englische
Anglaisen"
25419,Galops,"Galopades
Gallope
Kvapík"
25422,Passamezzos,""
25423,Pavans,"Pavins
Pavanen"
25425,Passepieds,""
25426,Boleros,""
25428,Seguidillas,""
25429,Forlanas,"Friauler
Furlane
Frulane"
25433,Branles,"Brandi
Bransles
Brawls
Brangills"
25438,Musettes,Muzettes
25440,Hopser,""
25442,Dreher,""
25443,Fandangos,""
25444,Rigaudons,Rigodons
25446,Deutsche Tänze,"Tedeschi
Allemanden"
