SIGNATUR,KOMPONIST,EINORDNUNGSTITEL,300$a,590$b,RISM-ID,INDEX
Mus.712,"Adam, Johann","Concertos - fl, strings; GroF 1733",5 parts,"",200017564,01
Mus.713,"Adlgasser, Anton Cajetan","Concertos - cemb, strings; CatAd 16.02",4 parts,"",200017565,01
Mus.723,"Alberti, Domenico",Sonatas - cemb; WörA 1,score: 2f.,"",200017596,01
Mus.726,"Albrechtsberger, Johann Georg",12 Fugues - cemb; SchA 1/1,score: 20f.,"",200017598,01
Mus.729,"Albrechtsberger, Johann Georg",Fugues - cemb; SchA 47/7,score: 3f.,"",200017599,01
Mus.727,Collection,3 Pieces - cemb,score: 4f.,"",200017600,01
Mus.734,"Alessandri, Felice","Ezio - Excerpts; S, orch",score: 8f.,"",200017607,01
Mus.733,"Alessandri, Felice","L'Ouverture du grand opéra italien à Nankin - Excerpts; S (2), orch",score: 14f.,"",200017611,01
Mus.735,"Alessandri, Felice","Questi vostri cicisbei - V (2), strings",score: 10f.,"",200017612,01
Mus.737|a,"Allegri, Gregorio",Miserere - Coro,60 parts,"",200017614,01
Mus.742,"Andreae, Johann Gottfried","Ich will dich erhöhen mein Gott - V (4), Coro, orch",score: 94f.,"",200017627,01
Mus.743,"Andreae, Johann Gottfried","Psalms - S, Coro, orch",score: 55f.,"",200017628,01
"","","",25 parts,"","",02
Mus.745,"Andreozzi, Gaetano","Sofronia ed Olindo - Excerpts; S, orch",score: 28f.,"",200017630,01
Mus.750,"Anfossi, Pasquale","Alessandro nell'Indie - Excerpts; S, orch",score: 14f.,"",200017636,01
Mus.751,"Anfossi, Pasquale","Antigono - Excerpts; S, orch",10 parts,"",200017637,01
Mus.747,"Anfossi, Pasquale",Zenobia di Palmira,"score (2vol.): 105, 133f.","",200017643,01
Mus.752,"Anfossi, Pasquale","Quante stelle in cielo - S, strings",score: 2f.,"",200017646,01
"","","",5 parts,"","",02
Mus.754,"Anfossi, Pasquale",Symphonies,9 parts,"",200017648,01
Mus.755,"Anfossi, Pasquale",Symphonies - JohA D16,10 parts,"",200017649,01
Mus.761,"Appel, Georg Albert","Symphonies - vl (2), vla, b",4 parts,"",200017802,01
Mus.762,"Appel, Georg Albert",Suites - pf,score: 4f.,"",200017803,01
