DNB,ID
38229-2,30000749
2031351-2,10
2022551-9,12
2002498-8,30000800
2005707-6,26
2069298-5,30078213
2092583-9,58
2024162-8,74
10008839-9,30000836
5056677-5,30000660
2150918-9,30000695
2022802-8,115
1072938529,172
1124262903,172
116009802,172
1009021-6,67087
38352-1,282
2027366-6,284
2024315-7,304
5036103-X,331
36175-6,333
2024222-0,417
10065153-7,453
00010926-5,477
2085343-9,30000692
8599-6,698
5508697-4,737
2024114-8,776
37488-X,798
36165-3,831
10623-9,1040
10001698-4,1062
2067942-7,1115
2044334-1,1402
2024276-1,1681
2118215-2,2052
2022696-2,2393
10033160-9,2748
2005531-6,3023
2012952-X,3498
2019457-2,3795
2040971-0,4006
2045260-3,4071
2024031-4,4117
2022332-8,4663
36801-5,4758
020308299,4819
2024680-8,30000047
1009721-1,5143
2026599-2,5800
17905-X,7065
2016736-2,7108
2041000-1,7267
5058957-X,8529
235357-X,8643
107297469X,9278
35862-9,9453
211975-4,9989
31893-0,10077
2005684-9,10946
2018509-1,11783
4351303-7,11915
33000977X,12065
2032848-5,13373
2020099-7,14710
10017718-9,14794
35487-9,14890
10016964-8,15575
107301830X,15645
504859-X,16284
508928-1,16440
5237922-X,16440
36167-7,16660
16106240-4,17270
5004690-1,17313
1223366-3,17397
65460-7,17953
1008744-8,18665
30054-8,18849
2008616-7,19988
1073010120,20734
1072957655,20734
2037129-9,21335
5323123-5,21337
62868-2,21414
1011773-8,21436
1002214-4,21457
1040054-0,21518
2042265-9,21519
672255-6,21680
25993-7,21742
2024611-0,21817
2120681-8,21916
6744-1,22137
43218-0,22255
1001526-7,22320
38966-3,30003825
2105508-7,22459
1053967-0,22596
5102403-2,22910
1005067-X,23042
2046434-4,23384
35174-X,23539
2028855-4,23542
2146157-0,23686
1041908-1,23747
5125483-9,23753
2037333-8,23771
020127596,24140
2035883-0,64083
2006075-0,30001048
2128246-8,24346
2025683-8,24381
020191839,24416
2007352-5,24420
2015876-2,30003253
1011355-1,24474
35244-5,24826
273753-X,24834
40680-6,24858
503029-8,24860
000379034,24944
6016992-8,25127
120030-6,25162
2004240-1,25165
10054142-2,25256
10027542-4,25497
113466-8,25613
2115425-9,25626
2021225-2,25654
2002513-0,25981
2015969-9,25986
020332785,26132
2041839-5,26133
2126462-4,30000882
2004272-3,26369
2121143-7,26429
600920-7,26445
43027-4,26617
501128-0,26779
501150-4,26782
2014397-7,26910
8576-5,27125
10209-X,27651
2022287-7,27682
35152-0,27771
18092-0,27773
35151-9,27775
15088-5,27776
2008552-7,27979
2035114-8,27980
2012270-6,28023
2025039-3,28024
10208-8,28051
2165606-X,28052
2014194-4,28259
2011993-8,28260
2021156-9,28289
2021196-X,28290
2025927-X,28414
211974-2,28444
2026638-8,28532
5186244-X,28533
37102-6,28535
5093115-5,28573
5093237-8,28574
121597-8,28576
5093238-X,28577
2019947-8,28724
43217-9,28744
2025548-2,28870
36652-3,28877
2020360-3,28943
2020352-4,28944
271458-9,28984
276351-5,28985
2008667-2,29314
2027763-5,29672
001225197,29758
45535-0,29762
2034061-8,30060
2044569-6,30083
514628-8,30311
16150681-1,30494
1053649-8,30502
35143-X,30598
2025655-3,30667
02029642-3,30713
1087004-0,30926
125631-2,30927
2074303-8,31065
2048665-0,31118
1025695-7,31119
5174570-7,31120
5267274-8,31129
1038474-1,31506
2065776-6,31602
5028591-9,31643
2020461-9,31666
1017622-6,31697
35661-X,31706
10029691-9,31707
134328-2,31747
2116082-X,31748
1072882272,31769
5188743-5,31793
1078717923,31909
5121523-8,32123
2122223-X,32124
10071073-6,32125
119981-X,32183
38379-X,32224
1032139-1,32279
007107218,32427
17247-9,32438
24285-8,32445
35247-0,32451
35216-0,32455
35871-X,32457
2067632-3,32565
2038651-5,32670
5076948-0,32857
10067967-5,32898
35122-2,32977
5013894-7,33022
37867-7,33177
37863-X,33178
1050464-3,33179
510202-9,33180
10342-1,33328
2082647-3,33388
63344-6,33606
2000084-4,33662
5055816-X,33666
501273-9,33787
80998-6,33828
1023402-0,33853
1023420-2,33854
2039929-7,33857
5103479-7,33899
2017315-5,33923
64685-4,33924
2017412-3,33973
1044303-4,33974
122263-6,34320
2026742-3,34569
5115499-7,34570
65461-9,34770
1215316-3,34840
5056651-9,34948
2072114-6,35199
2080936-0,35201
3009547-5,35213
5053416-6,35220
5119223-8,35229
2076367-0,35355
5088274-0,35374
2022829-6,35378
2063692-1,35379
2063106-6,35380
2005573-0,30002772
1214493-9,35398
1052703062,35475
1022577-8,35490
2024853-2,35491
5073418-0,35492
42770-6,35518
2006035-X,35531
1022336-8,35538
1020656-5,35541
3024135-2,35571
5307084-7,35593
10044701-6,35684
2119799-4,35688
320198-3,35722
2013195-1,35733
2070980-8,35740
515251-3,35777
5024216-7,35784
2045257-3,35843
2027065-3,35862
10071076-1,35872
2133245-9,35897
2163735-0,35930
2082148-7,36002
276816-1,36057
2090324-8,36199
2049017-3,36200
5098432-9,36241
1040015-1,36324
5177399-5,36325
2138142-2,36339
2126383-8,36462
2096518-7,36478
10006215-5,36485
2012161-1,36501
2006998-4,36533
2016995-4,36534
2163228-5,36535
276907-4,36548
10059380-X,36560
262889-2,36719
1082176-4,36820
2025932-3,36851
36539-7,36871
5335917-3,36973
2112849-2,36976
