ID,031_q,031_m
103150,t,S
106053,t,S
100015385,t,V
100017007,t,V
100017360,t,V
100029131,t,S
100029135,t,S
100029142,t,S
100029144,t,S
100029146,t,S
100029148,t,S
100029151,t,S
100029151,t,S
100029153,t,S
100029155,t,S
100029156,t,S
100029170,t,S
100029172,t,T coro 1
100029172,t,S 1 coro 2
100029176,t,S
100029177,t,S
100029178,t,S
100029185,t,S
100029186,t,S
100029188,t,S
100029195,t,S
100029200,t,S
100029202,t,S
100029223,t,S
100029225,t,S
100029227,t,S
100029229,t,S
100029231,t,S
100029239,t,S
100029240,t,S
100029258,t,S 1
100029259,t,S
100029260,t,S
100029261,t,S
100029262,t,S
100029264,t,S
100029265,t,T coro 1
100029267,t,S
100029268,t,S
100029269,t,S 1 coro 1
100029270,t,T coro 1
100029271,t,S
100029274,t,S
100029279,t,S
100029282,t,S
100029283,t,S
100029288,t,S
100029292,t,T coro 1
100029299,t,T coro 1
100029300,t,A coro 1
100029301,t,S
100029304,t,S
100029306,t,S
100029307,t,T coro 1
100029308,t,A
100029308,t,S
100029309,t,A
100029309,t,S
100029316,t,S
100029340,t,S
100029341,t,S
100029350,t,A
100029350,t,S
100029351,t,S
100029352,t,T coro 1
100029356,t,S
100029357,t,T coro 1
100029359,t,S
100029365,t,S
100029366,t,S
100029369,t,S
100029370,t,S
100029371,t,S
100029372,t,S
100029373,t,S
100029374,t,S
100029378,t,A
100029379,t,S
100029384,t,A
100029386,t,S
100029390,t,T coro 1
100029392,t,S
100029395,t,T
100029396,t,S
100029397,t,S
100029398,t,S
100029400,t,S
100029402,t,S
100029403,t,S
100029405,t,A coro 1
100029406,t,T coro 1
100029415,t,S
100029420,t,S
100029422,t,S
100029423,t,S
100029425,t,S
100029426,t,S
100029428,t,S
100029429,t,S
100029433,t,S
100029435,t,A coro 1
100029437,t,S
100029439,t,S
100029441,t,S
100029445,t,S
100029448,t,S
100029453,t,S
100029454,t,S
100029455,t,T coro 1
100029456,t,S 2 coro 1
100029457,t,T coro 1
100029458,t,S
100029459,t,S
100029460,t,S
100029463,t,S
100029471,t,T coro 1
100029472,t,A coro 1
100029473,t,S
100029474,t,T coro 1
100029479,t,S
100029493,t,S
100029494,t,S
100029497,t,S
100029499,t,S
100029521,t,T
100029524,t,S
100029530,t,S
100029536,t,S
100029542,t,S
100029551,t,S
100029552,t,S
100029554,t,S
100029563,t,S
100029564,t,S
100029565,t,T
100029567,t,S
100029568,t,S
100029576,t,A coro 1
100029577,t,S
100029578,t,S
100029579,t,A coro 1
100029579,t,S coro 1
100029580,t,S
100029581,t,A coro 1
100029582,t,S
100029583,t,A coro 1
100029584,t,T coro 1
100029586,t,S
100029587,t,S
100029591,t,V
100029627,t,V
100029646,t,V
100029648,t,V
100029649,t,V
100029650,t,A coro 1
100029652,t,V
100029653,t,S 2 coro 1
100029654,t,V
100029655,t,V
100029656,t,V
100029658,t,V
100029659,t,V
100029660,t,V
100029662,t,V
100030023,t,V
100030027,t,V
100030029,t,V
100030034,t,V
100030038,t,V
100030048,t,V
100030054,t,V
100030056,t,V
100030057,t,V
100030058,t,V
100030059,t,V
100030060,t,V
100030091,t,A
100030099,t,V
100030102,t,V
100030103,t,V
100030103,t,V
100030103,t,V
100030103,t,V
100030103,t,V
100030103,t,V
100030104,t,V
100030104,t,V
100030105,t,V
100030106,t,V
100030107,t,V
100030108,t,V
100030109,t,S coro 1
100030109,t,T coro 1
100030110,t,V
100030321,t,V
100030323,t,V
100030324,t,A
100030327,t,A
100030327,t,S 1
100030328,t,V
100030330,t,V
100030331,t,V
100030332,t,S 2 coro 1
100030334,t,S
100030335,t,S
100030336,t,V
100030337,t,S
100030338,t,S
100030339,t,V
100030340,t,S
100030341,t,S
100030342,t,S
100030343,t,S
100030345,t,V
100030349,t,V
100030354,t,V
100030355,t,V
100030356,t,V
100030357,t,V
100030358,t,V
100030359,t,V
100030360,t,V
100030361,t,V
100030362,t,V
100030363,t,V
100030364,t,V
100030366,t,V
100030367,t,V
100030368,t,S
100030369,t,V
100030402,t,A
100030403,t,A
100030407,t,V
100030408,t,V
100030409,t,V
100030409,t,V
100030415,t,V
100030416,t,V
100030417,t,A
100030419,t,S
100030420,t,V
100030421,t,A
100030422,t,V
100030424,t,V
100030434,t,V
100030438,t,A 1
100030440,t,V
100030441,t,V
100030442,t,V
100030443,t,V
100030445,t,V
100030446,t,V
100030447,t,A coro 2
100030447,t,S coro 1
100030448,t,V
100030449,t,V
100030450,t,V
100030451,t,V
100030452,t,T coro 2
100030452,t,S 1 coro 1
100030453,t,V
100030454,t,A coro 1
100030454,t,S 1 coro 1
100030455,t,V
100030457,t,V
100030458,t,V
100030461,t,V
100030463,t,A coro 1
100030464,t,V
100030465,t,V
100030466,t,V
100030467,t,A
100030467,t,S 1
100030469,t,V
100030470,t,V
100030476,t,V
100030478,t,V
100030479,t,V
100030777,t,T
100030777,t,S 1
100030787,t,T 2
100030787,t,T 1
100030795,t,S
100030795,t,S
100030807,t,A
100030811,t,V
100030836,t,V
100030838,t,V
100030839,t,V
100030840,t,V
100030841,t,V
100030842,t,S
100030843,t,S
100030844,t,V
100030847,t,T
100030847,t,S
100030849,t,V
100030850,t,V
100030851,t,Contra-A
100030852,t,V
100030853,t,V
100030855,t,V
100030857,t,V
100030858,t,T
100030863,t,V
100030865,t,V
100030866,t,V
100030867,t,V
100030877,t,S
100030878,t,V
100030880,t,A
100030900,t,V
100030904,t,S coro 1
100030905,t,V
100030906,t,V
100030906,t,V
100030907,t,V
100030908,t,V
100030909,t,V
100030910,t,V
100030911,t,V
100030912,t,V
100030914,t,S
100030917,t,S 2
100030927,t,S
100030937,t,V
100030945,t,V
100030947,t,S coro 2
100030947,t,S 1 coro 1
100030951,t,V
100030952,t,V
100030956,t,T coro 1
100030957,t,V
100030958,t,V
100030959,t,V
100030960,t,V
100030961,t,V
100030962,t,V
100198137,t,V
100198149,t,V
100198150,t,V
100198150,t,V
100198150,t,V
100198153,t,V
100198176,t,V
100198177,t,V
100198178,t,V
100500004,t,S
100500004,t,S
100500004,t,S
