ID,588,Holdings
"<a href=""https://muscat.rism.info/admin/sources/300605121"">300605121</a>", PL-Wbfc 686n,PL-Wnifc; D-B; PL-Wtm
"<a href=""https://muscat.rism.info/admin/sources/406003248"">406003248</a>", D 641 1-11,CH-FI
"<a href=""https://muscat.rism.info/admin/sources/406003753"">406003753</a>", D 672 1-17,CH-FI; CH-Fcu
"<a href=""https://muscat.rism.info/admin/sources/410000087"">410000087</a>", D 673 1-5,CH-FI
"<a href=""https://muscat.rism.info/admin/sources/410007923"">410007923</a>",Ebaz II-104,CH-Fcu
"<a href=""https://muscat.rism.info/admin/sources/990000067"">990000067</a>",US-Betm LCM Add E Orc 1 Beth pr,D-B; F-Pc; S-HÖ; S-SK; S-Skma; US-BETm; S-STr
"<a href=""https://muscat.rism.info/admin/sources/990000115"">990000115</a>",NL-NHmni NMI 2 N 65,I-Nc; NL-At; NL-DHnmi; S-SK; RUS-Mrg; S-Skma
"<a href=""https://muscat.rism.info/admin/sources/990000859"">990000859</a>",I- Bc V.63,D-Rp; I-Bc; I-Ls; I-Rsc
"<a href=""https://muscat.rism.info/admin/sources/990000891"">990000891</a>",PK-Kj Mus.ant.pract. A 316,D-SAh; PL-Kj
"<a href=""https://muscat.rism.info/admin/sources/990001007"">990001007</a>",D-DO Don Mus. Dr. 63,D-KA
"<a href=""https://muscat.rism.info/admin/sources/990001065"">990001065</a>",D-DO Don Mus. Dr. 68,A-Wgm; D-KA; D-Gs; D-Mbs; D-WIl; F-Pc; F-Sim; GB-Lbl; US-CA; D-OF
"<a href=""https://muscat.rism.info/admin/sources/990001437"">990001437</a>",CND-Lu,AUS-Sfl; CDN-Lu; CDN-Tu; D-KIl; GB-Ckc; GB-Lbl; GB-Lcm; GB-Lgc; NZ-Ap; US-Cn; US-NH
"<a href=""https://muscat.rism.info/admin/sources/990002094"">990002094</a>",Pl-ŁŹu M 4130,B-Bc; B-Gc; CDN-Lu; CH-Gc; D-Mbs; D-WRha; F-Lm; F-Pc; F-Pn; GB-Lbl; GB-Oharding; V-CVbav; NL-DHnmi; NL-Uim; PL-ŁA; PL-ŁŹu; S-Smf; S-St; RUS-Mrg; US-AAu; US-LAum; US-NYp; US-R; US-Wc; D-Wa; F-AM; F-Sim; D-B
"<a href=""https://muscat.rism.info/admin/sources/990002866"">990002866</a>",D-DO DonMusDr 122,CZ-Pnm; D-KA; D-HAu; D-Rp; I-Nc; HR-Zha
"<a href=""https://muscat.rism.info/admin/sources/990002990"">990002990</a>",Gb-Lbl D.30,GB-Lbl
"<a href=""https://muscat.rism.info/admin/sources/990003088"">990003088</a>",D-DO Don Mus. Dr. 151,A-KR; A-Wgm; A-Wn; A-Wnh; B-Bc; B-Br; CH-Gpu; CZ-Pnm; D-B; D-BDk; D-KA; D-F; D-Gs; D-Hs; D-HAu; D-KIl; D-KNu; D-LEm; D-LÜh; D-Mbs; D-MZfederhofer; D-MZsch; D-Rp; D-RAd; D-ROu; D-SWl; DK-Kk; F-Pc; F-Sim; GB-Lbl; GB-Lcm; GB-Y; H-Bn; N-Onm; NL-DHnmi; PL-WRu; RUS-Mrg; S-Skma; S-Uu; US-AAu; US-NH; US-NYj; US-NYp; US-PO; US-R; US-Wc; US-WM; US-CAe; GB-Lbl; CZ-Nlob; PL-GD; D-Bsommer; D-B
"<a href=""https://muscat.rism.info/admin/sources/990003262"">990003262</a>",A-Wn-h SH.J.Christian.Bach.16,A-Wnh; D-B; DK-Kk; S-Skma; US-NYp
"<a href=""https://muscat.rism.info/admin/sources/990003418"">990003418</a>",A-Wn-h SH.J.S.Bach.40,A-Wnh; D-LEb; GB-Lbl; NL-DHnmi; US-PRu; D-B
"<a href=""https://muscat.rism.info/admin/sources/990005272"">990005272</a>",I-Lc,D-Rp; I-Bc; I-Ls; I-PS
"<a href=""https://muscat.rism.info/admin/sources/990007616"">990007616</a>",D-DO Don Mus. Dr. 3234,D-KA; D-HAu; D-LEb; F-Pc
"<a href=""https://muscat.rism.info/admin/sources/990007807"">990007807</a>",I.Bc X.192,I-Bc
"<a href=""https://muscat.rism.info/admin/sources/990008613"">990008613</a>",D-MZsch Mus.Schott.Ha 825,D-Mbs; D-Mbs; D-Mbs
"<a href=""https://muscat.rism.info/admin/sources/990011061"">990011061</a>",I-FO Pianc. R.P.M.73-76,AUS-Msl; B-Ac; GB-AM; GB-Ckc; GB-Cu; GB-Er; I-FOc; I-Mc; NL-At; US-NH; US-Wc; S-Skma; GB-Lbl
"<a href=""https://muscat.rism.info/admin/sources/990012038"">990012038</a>",D-DO DonMusDr 7730,A-Wn; CH-Bu; CZ-CH; D-KA; NL-DHnmi
"<a href=""https://muscat.rism.info/admin/sources/990012583"">990012583</a>","",A-Wst; CZ-K; D-Dl; D-KA; D-Mbs; D-LM; F-Pc; D-SPlb
"<a href=""https://muscat.rism.info/admin/sources/990012592"">990012592</a>","",A-Wgm; D-MHst; H-KE; NL-At
"<a href=""https://muscat.rism.info/admin/sources/990012596"">990012596</a>","",D-KNmi; D-MHst; D-SPlb
"<a href=""https://muscat.rism.info/admin/sources/990012780"">990012780</a>",I-Lcs,CDN-Tu; GB-Ckc; GB-Lbl; GB-Ob; I-Nc; US-Cn; I-LOVcs
"<a href=""https://muscat.rism.info/admin/sources/990012813"">990012813</a>",Incipits based on US-BETm SCM 2,A-Wgm; CH-BEk; CH-E; CH-W; D-Dl; D-GBR; D-KA; D-LÜh; D-Mbs; D-Tes; I-BGc; US-Wc; US-WS; D-Dl; CH-SGd; D-SPlb
